gene,cluster_id,max_level_survived,mean_log2fc_sig,direction
CD226,10,4,0.6628362833688057,up
CD28,10,4,0.584226438849039,up
DOCK2,10,4,0.8128447243950374,up
ELMO1,10,4,0.6914331275582248,up
FADS2,10,4,1.3439782234349695,up
FCGR2B,10,4,0.8501145703024511,up
FOS,10,4,1.5846766573330928,up
ITLN1,10,4,1.2939688187003355,up
NDC80,10,4,0.6111279956370419,up
PTPRC,10,4,1.2557995701330893,up
ADGRL2,11,4,1.4384571216466977,up
CD274,11,4,1.5246554851998855,up
FAP,11,4,1.3787517825759525,up
IL1R1,11,4,1.2475865034168068,up
IL33,11,4,1.3298056029245287,up
PDE4B,11,4,1.5551696829657276,up
PRDM1,11,4,1.5213378136952025,up
SBNO2,11,4,1.3160799712531999,up
TAGAP,11,4,1.410791088301884,up
CCL2,12,4,2.211535341535931,up
CXCR2,12,4,1.7888322215764407,up
FCGR2A,12,4,1.7384501222662252,up
ICAM1,12,4,1.710120606717787,up
INHBA,12,4,2.169620604858449,up
OSMR,12,4,1.9228868834112383,up
PLAU,12,4,1.9268372993978797,up
TRIB2,12,4,1.6951362852681793,up
VWF,12,4,1.686039756841209,up
ALPI,13,4,-1.4107505982070758,down
BCL2L11,13,4,-0.5628938286744706,down
GPR35,13,4,-0.3331708759849361,down
GPX4,13,4,-0.7091435067153622,down
IFNGR2,13,4,-0.3394798402853425,down
IFNLR1,13,4,-0.5378278626973403,down
NEU4,13,4,-0.4048968240399624,down
ELF1,14,4,-0.37698083860453896,down
INAVA,14,4,-0.41792616270624805,down
IPMK,14,4,-0.4514868249349491,down
LCOR,14,4,-0.34189973782968747,down
MGAT5,14,4,-0.314350882399203,down
PUS10,14,4,-0.8403812534976683,down
SGF29,14,4,-0.2532627659892321,down
SLC1A1,14,4,-1.369627912900888,down
SLC52A3,14,4,-1.0297663883453183,down
UBAC2,14,4,-0.2577449633345375,down
ZMIZ1,14,4,-0.24575146427084663,down
ESR1,15,4,0.40876199630305204,up
GPR65,15,4,0.8672608842244104,up
PDE4A,15,4,0.355060441828386,up
RASA2,15,4,0.39554256529310755,up
SP140L,15,4,0.36052620599545343,up
CCDC88B,16,4,0.42295338473657296,up
NEK6,16,4,0.20774225377892908,up
RPS6KA4,16,4,0.21232759362499434,up
TMEM50B,16,4,0.2283048004879523,up
TNRC18,16,4,0.22780376320243287,up
UCP1,16,4,0.19731810243389183,up
CD40,17,4,0.7470102150904641,up
CEP128,17,4,0.8175071184361687,up
ERN1,17,4,0.3125387863215776,up
F5,17,4,0.7825713218331538,up
HDAC7,17,4,0.7608604912043092,up
IRF1,17,4,0.8172239764191561,up
LAMB1,17,4,0.6457763503698667,up
LILRB3,17,4,0.7526932033615562,up
MAP3K8,17,4,0.7722536928823756,up
NOD2,17,4,0.6925429419969059,up
PITX1,17,4,0.6992129818365762,up
RAMP3,17,4,0.6558073313991869,up
SDK1,17,4,0.5215336922486978,up
TMEM258,17,4,0.4509715086376828,up
TPRG1,17,4,0.8402928721617173,up
TSPAN18,17,4,0.80562149846845,up
CCL20,18,4,1.6386863302640202,up
COL28A1,18,4,0.9079069130310254,up
DCBLD1,18,4,0.3009860621601801,up
HELZ2,18,4,0.721152917618535,up
ICAM2,18,4,0.8805237024488507,up
IL10RA,18,4,0.8757843787323042,up
IL7R,18,4,1.7001007105821577,up
JAZF1,18,4,0.5418248911490728,up
MUC1,18,4,2.0136279761695888,up
