gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
MEN1,3,2,0.4821986594333841,0.7995640695153101,True
MET,3,2,-0.9516783883745811,-1.3493620636318813,True
MITF,3,3,-1.1656862040717522,-1.1656862040717522,True
MME,3,3,-2.6484201704864527,-2.6484201704864527,True
MN1,3,3,-0.8126946970561523,-0.8126946970561523,True
MRPS30,3,3,0.8758365130206537,0.8758365130206537,True
MRTFA,3,2,0.06339397357394017,0.10520111547658972,False
MSH6,3,3,0.5846636751858677,0.5846636751858677,True
MTMR11,3,2,0.13454280286626874,0.26988638935284937,True
MUC1,3,2,2.19502342701823,3.2352961127790305,True
MYO5A,3,2,-0.4235723041886672,-0.5440557979559273,True
NCAM1,2,2,-0.46893570894981385,-0.46893570894981385,True
NCOA1,3,2,-0.3378126450357953,-0.5095377538934138,True
NCOA4,3,2,-0.5591443849354635,-0.7853628549820408,True
NFKB2,3,2,0.15219417572082902,0.26549714229143806,True
NR2F6,3,3,0.7682141913531284,0.7682141913531284,True
NREP,3,3,0.9365800358428352,0.9365800358428352,True
NUAK2,2,2,0.13625463505872393,0.13625463505872393,False
NUDT17,2,2,0.3065986213617484,0.3065986213617484,True
PAK4,3,2,0.6286715218353844,0.9924511799636546,True
PALB2,3,2,0.38458714064547433,0.3863591865557008,True
PCM1,3,2,-0.21475336326976802,-0.40436336786300053,True
PEG10,3,2,0.8475428843653038,1.2300883945872565,True
PHLDA3,3,2,-0.8327732928374653,-1.100154457582029,True
PHLDB3,2,2,1.2349695823159614,1.2349695823159614,True
PID1,3,3,-2.350959286016713,-2.350959286016713,True
PIDD1,3,2,0.2857096380565925,0.49039752523978297,True
PIK3CA,3,2,-0.7008413896147688,-1.112132587033099,True
PIK3R1,3,3,-0.5413777028793074,-0.5413777028793074,True
PKNOX2,3,2,-0.3069359633327733,-0.37323144442189027,True
PLAUR,3,3,0.4902212379391804,0.4902212379391804,False
PLCG1,3,2,0.07973114460192872,0.2516769475678151,False
PLK1,2,2,-0.05165475025769961,-0.05165475025769961,False
PLK2,3,2,0.7238416094940398,1.059091378870979,True
PNPLA2,3,2,-0.6539955530254448,-0.9284023480674097,True
POGLUT3,2,2,-0.9126955026248322,-0.9126955026248322,True
POT1,3,2,0.3644027894821293,0.4140910040103081,True
PPP2R1B,3,3,-1.930393473642794,-1.930393473642794,True
PPP2R3C,3,2,-0.8407355123108818,-1.1556136289969872,True
PRC1,3,3,2.4332183841507624,2.4332183841507624,True
PRLR,3,2,1.8025948934131704,2.7650470785988834,True
PSIP1,3,2,-0.5676167038220177,-0.8391549775708644,True
PSME4,3,2,0.45515204305840423,0.6328350985732856,True
PTCH1,3,2,-0.7995583193380206,-1.207067328216501,True
PTEN,3,3,-1.0146039470320407,-1.0146039470320407,True
PTPN11,3,3,-0.793261820593297,-0.793261820593297,True
PTPRK,3,2,0.7613359045000608,1.1090731752881666,True
RALB,3,2,-0.3019932386756829,-0.3710738875626851,True
RALY,3,2,0.48721107942738523,0.6856712007448227,True
RFC1,3,2,-0.3344450112265216,-0.530006322019624,True
RNF115,3,2,0.387736279814827,0.5336641375069675,True
RPN1,3,3,0.4675609433087464,0.4675609433087464,True
RPS23,3,2,-0.1278496030498554,-0.24952777453833708,True
SAV1,3,2,-0.6140348306739964,-0.6020009893616733,True
SERINC1,3,3,-1.199368065596439,-1.199368065596439,True
SERPINF1,3,3,-1.8965069095704568,-1.8965069095704568,True
SGCE,3,3,-1.3131660772058007,-1.3131660772058007,True
SGCG,3,3,-2.698371134921491,-2.698371134921491,True
SGSM3,3,2,0.42992121299551983,0.6083037203024246,True
SIAH2,3,2,0.601747067295426,0.9657706049101242,True
SLC22A5,3,2,0.3678899098069121,0.5038386041552676,True
SLC25A15,3,2,0.7067152687903938,1.0345583471062443,True
SLC35E3,3,3,0.5244080090805058,0.5244080090805058,True
SLC4A7,3,2,0.603869943282516,0.8441836970266428,True
SLITRK6,2,2,1.9605672014442552,1.9605672014442552,True
SMAD7,3,2,-0.48158957454964274,-0.5114570933872469,True
SOX4,3,3,1.353360221239633,1.353360221239633,True
SPCS3,3,2,0.24522455502820803,0.29806308103908385,True
SRGAP2C,3,2,-0.3438068618697138,-0.44274605811931744,True
SSBP2,3,2,-0.5107738788602019,-0.7063599320828726,True
STRADB,2,2,-1.342857143450101,-1.342857143450101,True
SYNE1,3,2,-0.6083176292339854,-0.8970726248879437,True
TAB2,3,2,-0.4090413102594977,-0.5631627787831146,True
TACC3,3,2,0.7601882606569816,1.1828035717562857,True
TAF5L,3,2,0.21009136586140809,0.29208946813798287,True
TASOR2,3,3,0.8553705007789052,0.8553705007789052,True
TBX5,3,2,-0.6469221715739168,-0.9347618555198811,True
TCF25,3,3,0.026781858630367122,0.026781858630367122,False
TCF7L2,3,3,-0.8928199308001675,-0.8928199308001675,True
TDG,3,3,0.836457022009756,0.836457022009756,True
TEFM,3,3,0.8935567245095504,0.8935567245095504,True
