gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
TRMT112,3,2,0.041497092657900685,0.020244718750859363,True
TRMT13,3,3,-0.017974273805998364,-0.017974273805998364,False
TRMT1L,3,2,-0.007514486580997529,-0.044832121248932565,True
TRMT2A,3,2,0.002178593406343285,0.011604762132830161,True
TRMT2B,3,2,0.059162587481276306,0.03769938106218895,True
TRMT44,3,2,0.012880985635139465,0.019303344759804598,True
TRMT5,3,2,-0.08539640430390166,-0.08350431976848541,True
TRMT6,3,3,-0.12976886236871188,-0.12976886236871188,True
TRMT61B,3,2,-0.13937652303478235,-0.197247139858917,True
TRMT9B,3,2,-0.12510422754155293,-0.09787431211627667,True
TRMU,3,2,-0.011927355901307576,0.0269066955735959,True
TRNAU1AP,3,2,0.047493566478703196,0.058197927490489,True
TRO,3,3,-0.1183949304213631,-0.1183949304213631,True
TRPC1,3,2,-0.04671362699903583,-0.06383003533542667,True
TRPC3,3,2,-0.1252311965802631,-0.20446274314062127,True
TRPC4,3,2,0.015254048474973603,0.03280947818686506,True
TRPC4AP,3,2,0.04496750869116004,0.07051669270977329,False
TRPC5,3,2,-0.06126033776520312,-0.08273391265746116,True
TRPC6,3,2,-0.03115447121696115,-0.08633126640544911,True
TRPM3,3,3,0.1118108640890098,0.1118108640890098,True
TRPM4,3,2,0.03374912409599884,0.06775398750931416,True
TRPM7,3,2,0.05138289877543243,0.10805315320197287,True
TRPM8,3,2,-0.061395131609285884,-0.07105462047485982,True
TRPS1,3,3,0.04024003776368009,0.04024003776368009,False
TRPV1,3,3,-0.0680688628629282,-0.0680688628629282,False
TRPV2,3,3,0.061294070702418935,0.061294070702418935,False
TRPV3,3,2,0.0025784221543636945,-0.032736624147155335,True
TRPV6,3,2,0.015231845235158477,-0.02294699105754901,True
TRRAP,3,3,0.0904566790134008,0.0904566790134008,True
TRUB1,3,2,-0.13349075219528947,-0.1402189383963564,True
TRUB2,3,2,-0.10793115202177883,-0.14406358398748448,True
TSACC,3,2,0.08928326337799031,0.12954521272883734,True
TSC1,3,3,-0.07430295435142505,-0.07430295435142505,True
TSC22D2,3,2,-0.030905633702041108,-0.056384023218614146,True
TSC22D3,3,2,0.08621319801004745,0.11155082734295128,True
TSC22D4,3,2,0.09478392169584611,0.12626532747797065,True
TSEN15,3,3,-0.11518823842879866,-0.11518823842879866,True
TSEN2,3,2,-0.057265235915388985,-0.03563770919147925,True
TSEN34,3,2,0.009338280959731604,0.045846780006432025,True
TSEN54,3,2,0.08804318460155049,0.07878398503180392,True
TSFM,3,2,-0.06391213480999401,-0.11071830568487527,True
TSG101,3,2,0.013820829169567504,-0.014375314577349477,True
TSHB,3,2,0.10787431510554517,0.14526099457315436,True
TSHZ2,3,3,0.14427258767696718,0.14427258767696718,True
TSHZ3,3,2,-0.011302650235058507,-0.08217869551691477,True
TSKU,3,2,0.1581229283086693,0.18228943478323226,True
TSLP,3,2,0.14814059650406416,0.2324933029498747,True
TSN,3,2,-0.05798027052576225,-0.04935235612414493,True
TSNARE1,3,2,0.05212678556727266,0.08398961652330748,False
TSNAX,3,2,-0.12119888387690127,-0.16548542248040007,True
TSPAN1,3,3,-0.1734315516712858,-0.1734315516712858,True
TSPAN11,3,3,-0.10013230577869414,-0.10013230577869414,False
TSPAN12,3,3,0.14381603070890453,0.14381603070890453,True
TSPAN13,3,2,-0.24833670353335893,-0.25189616904556345,True
TSPAN14,3,2,0.03076921028921605,0.0925765684891861,True
TSPAN17,3,2,-0.03663064157987933,-0.029374937153216624,True
TSPAN18,3,2,0.046390126213403465,0.05321955072675348,True
TSPAN19,3,2,0.037134867453852305,0.12389415774278012,True
TSPAN3,3,2,-0.017322627651513517,-0.07610849412082281,True
TSPAN32,3,2,0.05749879651330717,0.06989293837781224,True
TSPAN33,3,2,0.08622665888469914,0.12296426309719416,True
TSPAN5,3,3,-0.2395196332848694,-0.2395196332848694,True
TSPAN6,3,2,0.050688223357851725,0.09354648445386143,True
TSPAN7,3,3,-0.24993401470331364,-0.24993401470331364,True
TSPAN9,3,3,-0.09673475234585559,-0.09673475234585559,False
TSPEAR,3,2,-0.011640518809389114,-0.012689523211258068,True
TSPO,3,3,0.2912954163392976,0.2912954163392976,True
TSPOAP1,3,3,-0.09458971501287479,-0.09458971501287479,True
TSPY2,3,2,-0.06022013975026977,-0.09476414521484783,False
TSPYL1,3,3,-0.22507848935780664,-0.22507848935780664,True
TSPYL4,3,2,-0.12259059904160181,-0.16869310155102596,True
TSPYL5,3,2,-0.18549577085474003,-0.17714233787076822,True
TSPYL6,3,2,0.09917341726539812,0.15533863632025927,False
TSR1,3,2,-0.005008798301089625,-0.035901937964895894,True
TSR2,3,3,-0.11098763803186885,-0.11098763803186885,True
TSR3,3,3,0.017517381395442757,0.017517381395442757,False
TSSC4,3,2,0.00022715583197407963,0.03177919271238322,True
TSSK3,3,2,0.09292116937899751,0.12778460043388884,True
TSSK4,3,3,-0.03157825927946934,-0.03157825927946934,False
TST,3,2,0.10870963445856341,0.1087000031095847,True
TTBK1,3,3,0.09222431261421515,0.09222431261421515,True
TTBK2,3,3,-0.11567348665361617,-0.11567348665361617,True
TTC1,3,2,-0.020479763393779455,-0.036622640342597906,True
TTC12,3,2,0.02056504490209957,0.031148104246509094,True
TTC13,3,2,0.004152603461486909,-0.05876794125330535,True
TTC14,3,2,-0.047012018997220247,-0.038721812142329545,True
TTC16,3,3,0.05126327009538195,0.05126327009538195,False
TTC17,3,2,0.03223221224952275,0.0645732596233555,True
TTC19,3,3,-0.11094917324994023,-0.11094917324994023,True
TTC21A,3,2,0.03951059551521142,0.04012732243325119,True
TTC21B,3,2,-0.04093445074962735,-0.058738627498663765,True
TTC22,3,2,-0.022238184102287468,-0.03751947502719,True
TTC23,2,2,0.09975052688557158,0.09975052688557158,True
TTC23L,3,3,-0.07231297584721623,-0.07231297584721623,True
TTC24,3,3,-0.09797643129507501,-0.09797643129507501,True
TTC27,3,2,0.017629436355775338,0.033893927165088995,True
TTC28,3,2,0.039831568852498334,0.08481760535755725,True
TTC3,3,3,-0.17901586070099784,-0.17901586070099784,True
TTC31,3,2,0.057920921027815965,0.12494302345506922,True
TTC33,3,2,-0.036416621437554385,-0.11735425763049656,True
TTC38,3,3,0.20748653537568193,0.20748653537568193,True
TTC39B,3,2,-0.020608064801183785,-0.020084773394250965,True
TTC39C,3,2,-0.046378261060031394,-0.04894498688079173,True
TTC5,3,2,-0.005410008269148915,-0.02191271992659994,True
TTC7A,3,3,0.1657201038370074,0.1657201038370074,True
TTC7B,3,2,-0.06789432085635076,-0.06081764137405803,True
TTC8,3,2,-0.021617907852510183,-0.08603968744129983,True
TTC9,3,2,-0.11664125333162471,-0.19161508386999992,True
TTC9B,3,2,-0.08115697559488477,-0.14099197675617986,True
TTC9C,3,2,-0.06326317694792767,-0.08377231062436247,True
TTF1,3,2,-0.0363741425158235,-0.02701096798534587,True
TTF2,3,3,0.038464214800006453,0.038464214800006453,False
TTL,3,3,-0.11890527232588995,-0.11890527232588995,True
TTLL1,3,2,-0.02939570473741553,-0.05047712727374133,True
TTLL10,3,3,0.035293967405715505,0.035293967405715505,False
TTLL3,3,3,0.12154900212618402,0.12154900212618402,True
TTLL4,3,2,-0.011392833562366788,0.027314620167580524,True
TTLL5,3,2,-0.03262822674869251,-0.06616067778653388,True
TTLL7,3,2,-0.05531925979796023,-0.07033291166713074,True
TTLL9,3,3,0.1024031792136682,0.1024031792136682,True
TTPA,3,2,-0.14793955735719153,-0.23591830491723634,False
TTPAL,3,3,0.01723529856694735,0.01723529856694735,False
TTR,3,2,0.19095232266636328,0.3043911055111498,True
TTYH2,3,2,-0.01535788304186953,-0.013537168901801913,False
TTYH3,3,3,-0.12563841632118503,-0.12563841632118503,True
TUB,3,2,-0.010819579985820948,-0.08390975398548378,True
TUBA1A,3,3,-0.19081399824038062,-0.19081399824038062,True
