gene,cluster_id
FBXL15,158
FBXL7,41
FBXO11,123
FBXO33,115
FBXO40,25
FBXO8,80
FBXO9,116
FCGBP,44
FCGRT,139
FEN1,8
FERMT2,71
FERMT3,6
FEZ2,131
FEZF2,77
FGF2,29
FGF9,132
FGFRL1,119
FGR,34
FH,145
FHL1,136
FIBP,31
FKBP14,33
FLII,36
FLNA,164
FLRT3,95
FNBP1L,120
FNDC4,16
FNDC5,94
FOCAD,9
FRG1,170
FRMPD4,133
FRS3,146
FSTL3,166
FTL,87
FTO,23
FUCA1,127
FUT1,-1
FXR2,12
FZD9,14
G3BP2,134
GABPB2,163
GABRA1,161
GABRD,9
GABRG2,144
GAD1,161
GADD45A,82
GADD45B,62
GAL3ST4,125
GALNT17,100
GAPVD1,103
GAR1,92
GAREM1,120
GARNL3,160
GARS1,115
GAS7,117
GATAD2A,176
GATM,109
GBA2,141
GBGT1,178
GBP2,55
GBP3,59
GCFC2,17
GDAP1L1,-1
GET3,26
GET4,127
GFER,36
GFM1,38
GHDC,117
GHITM,128
GHR,7
GINS1,25
GLCE,14
GLIS3,11
GLMN,156
GLS,147
GLS2,168
GMPR2,142
GNA12,97
GNA13,90
GNAI2,120
GNAI3,175
GNAZ,149
GNB4,177
GNG11,11
GNG5,93
GNPDA1,11
GOLGA8B,85
GOPC,105
GOT1,144
GOT2,8
GPAT3,95
GPC4,178
GPCPD1,18
GPI,99
GPNMB,63
GPR137B,20
GPR22,132
GPRASP2,89
GRM6,139
GRPEL2,45
GSS,16
GSTA4,46
GSTM4,37
GTF2H5,136
GTF3C3,86
GTPBP3,67
H2AC18,11
H2AC20,50
H2AJ,162
H2AX,4
H2AZ1,1
H2BC11,2
H2BC12,2
H2BC21,42
H2BC26,25
H2BC5,53
H4C11,25
HACL1,16
HAGH,155
HAPSTR1,179
HAS3,33
HAVCR2,87
HCCS,105
HCK,7
HCLS1,11
HCST,47
HDAC1,81
HDHD2,141
HEATR5B,114
HEBP1,59
HEBP2,48
HECTD1,39
HECW2,130
HENMT1,140
HERC3,156
HERC5,164
HEY2,90
HIBCH,121
HILPDA,177
HK1,100
HK2,97
HLA-DRB1,7
HLA-F,3
HLTF,46
HMBS,77
HMCES,141
HMG20A,145
HMG20B,97
HMGB3,100
HMGN1,33
HNRNPUL2,76
HOXD13,26
HPRT1,14
HPS6,99
HSD17B4,64
HSDL1,74
HSF2,19
HSP90AA1,27
HSP90B1,176
HSPA1A,70
HSPA1B,62
HSPA5,21
HSPB1,7
HSPB3,137
HSPD1,81
HYLS1,156
IAH1,1
IBTK,64
ICA1,168
ICAM1,91
ID3,119
IDH1,42
IDH3A,154
IDH3B,89
IDH3G,168
IFI35,-1
IFI44,48
IFIH1,61
IFIT2,10
IFITM1,10
IFITM2,82
IFITM3,55
IFRD1,54
IFT52,40
IGIP,105
IK,123
IL10RB,83
IL13RA1,151
IL17RA,43
IL17RD,47
IL1R1,61
IL4R,10
IMMT,115
IMP3,85
INA,144
INIP,36
INO80C,14
INPP5D,110
INTS10,107
INTS2,107
INTS5,100
INTU,54
IPCEF1,143
IRAK2,111
IRF1,163
IRF7,10
IRF8,61
IRF9,33
IRX1,148
ISCU,157
ISG15,48
ITGA5,62
ITGAV,176
ITGB2,69
ITGB5,97
ITPR1,143
ITPRIP,62
JADE1,158
JAG1,33
JAM2,15
JUN,53
KALRN,-1
KANK1,149
KAT7,-1
KATNAL1,65
KBTBD11,117
KCNAB1,156
KCNB2,114
KCNE4,62
KCNG1,58
KCNIP4,114
KCNN3,139
KCNS1,161
KCNS2,144
KCTD5,109
KCTD8,140
KCTD9,32
KDM1A,40
KIAA0232,56
KIAA0513,167
KIAA0930,78
KIF17,35
KIF1C,3
KIF21A,104
KIFBP,31
KIFC3,41
KLB,166
KLC2,35
KLF4,151
KLF6,83
KLF9,67
KLHDC2,167
KLHDC9,156
KLHL12,14
KLHL28,102
KLHL42,101
KLHL9,123
KMT5A,-1
KRT222,132
KYAT3,144
LAGE3,64
LAMB1,75
LAMC1,173
LAPTM4A,123
LAPTM5,69
LARS1,64
LCMT1,84
LCMT2,100
LCP1,70
LDHB,128
LGALS3,164
LHFPL2,82
LHX2,97
LHX6,135
LILRA4,174
LIMD1,138
LIMD2,138
LIMS1,29
LIN54,57
LIN7B,100
LMAN2L,149
LMBR1,104
LMBRD1,126
LMO3,64
LNX1,134
LPAR6,166
LPCAT4,141
LPP,43
LPXN,36
LRP10,4
LRPPRC,11
LRRC20,144
LRRC32,59
LRRC4,25
LRRC42,61
LRRC47,115
LRRC49,104
LRRN1,22
LRRN3,95
LRRTM3,19
LSM1,1
LTA4H,36
LTAP1,77
LUC7L2,17
LUZP1,46
LY96,83
LYAR,97
LYN,97
LYRM9,74
LYSMD2,89
LZIC,51
MAD2L1BP,46
MAD2L2,109
MADD,116
MAGED1,66
MAGED2,45
MAGEE1,168
MALSU1,102
MAMLD1,163
MANF,90
MANSC1,156
MAP2K1,30
MAP2K5,117
MAP3K20,41
MAP3K9,19
MAP7D2,134
MAPK10,94
MAPK13,131
MAPK4,41
MAPK9,144
MAPKAPK2,87
MAPKAPK3,97
MAPRE1,3
MARF1,16
MAT2A,10
MAT2B,84
MATN2,44
MBD1,17
MBTPS1,38
MCCC1,107
MCEE,105
MCF2,171
MCL1,20
MCM4,157
MCMDC2,-1
MCUB,96
MDFIC,120
MDGA2,101
MDH1,89
MDH2,31
MDK,61
ME3,32
MED14,26
MED22,79
MEF2C,36
MERTK,71
METTL21A,178
METTL2A,-1
MFN2,38
MFSD11,130
MGST1,0
MICAL2,147
MICU3,134
MIDEAS,179
MINDY3,136
MIPEP,12
MIS18A,26
MKKS,128
MKNK2,71
MKRN2,37
MLC1,176
MLLT11,36
MMP14,34
MMS19,118
MORC4,177
MORF4L1,129
MPC2,36
MPP1,156
MPZL1,174
MRAP2,104
MRC2,33
MRPL1,28
MRPL11,102
MRPL15,75
MRPL2,167
MRPL22,153
MRPL50,137
MRPS18B,137
MRPS27,56
MRPS28,102
MRPS33,60
MRPS9,28
MRRF,66
MSI2,120
MSN,69
MSX1,44
MT2A,63
MTIF3,64
MTMR11,125
MTMR2,100
MTMR7,32
MTRES1,57
MTX2,68
MTX3,116
MVB12A,120
MYCBP2,11
MYEF2,25
MYG1,24
MYH11,65
MYH9,4
MYL12A,33
MYOF,61
N4BP2L1,23
NAA60,3
NAE1,23
NAP1L3,144
NAP1L5,95
NAPA,103
NAPB,114
NAPEPLD,89
NARS1,46
NAV1,162
NAV2,121
NBEA,18
NBPF10,82
NBPF3,126
NBPF9,44
NCBP2,178
NCKIPSD,169
NDEL1,12
NDRG3,144
NDRG4,157
NDUFA8,65
NDUFA9,30
NDUFAB1,74
NDUFAF5,16
NDUFB8,56
NDUFS2,142
NDUFS3,38
NDUFS5,86
NDUFV1,35
NECAP1,115
NECAP2,90
NEDD8,102
NEFH,154
NEFM,36
NEGR1,132
NEK6,92
NELL1,37
NES,162
NET1,72
NEURL4,106
NEUROD6,161
NFE2L2,50
NFE2L3,34
NFIL3,88
NFKBIZ,88
NFS1,142
NGEF,156
NGFR,91
NIBAN1,62
NIBAN2,49
NIF3L1,89
NIPA2,102
NIPSNAP2,100
NKD2,94
NKIRAS1,30
NKIRAS2,91
NLRC3,162
NLRC5,33
NME4,120
NME5,135
NMNAT2,134
NMT2,118
NOMO1,157
NOP58,60
NOS2,25
NPAS3,174
NPC2,78
NPEPPS,106
NPL,33
NPPA,33
NPRL2,118
NPTN,147
NPTX1,104
NQO1,55
NR2E1,81
NR3C1,45
NR3C2,160
NRDC,107
NRN1,118
NSF,85
NSG1,143
NSMCE2,38
NT5C2,51
NTAQ1,157
NTHL1,31
NTN4,144
NUDT5,129
NUMB,87
NUP133,57
NUP210L,82
NUP54,60
NUP93,117
OAS2,10
OAS3,63
OBI1,46
OCIAD1,130
ODAD4,130
ODC1,110
OGA,65
OGDHL,154
OLA1,155
OLR1,11
ORC2,141
ORC5,98
OSBP,115
OSBPL10,147
OSMR,48
OTULIN,34
OXNAD1,25
OXR1,172
P3H2,21
P4HA1,54
PABPC1,174
PABPC4,174
PACRG,103
PAFAH1B1,11
PAICS,33
PAIP2,15
PAK1,172
PALLD,96
PAM,1
PAPOLA,71
PAPSS1,131
PARL,145
PARM1,137
PARN,145
PARP14,138
PARP2,89
PARP4,78
PARP9,29
PAX7,117
PBX3,150
PCGF3,41
PCID2,27
PCNT,122
PCSK1,155
PDCD4,113
PDHB,75
PDIA5,173
PDIA6,22
PDS5B,146
PDYN,69
PEA15,91
PECAM1,166
PEF1,86
PEG3,13
PELI3,35
PER2,1
PEX11B,156
PEX14,52
PFDN4,45
PFKFB2,118
PFKFB4,63
PFKM,89
PFKP,157
PFN1,3
PGAP4,146
PGGHG,61
PGLS,80
PGM2L1,122
PGP,31
PHACTR3,33
PHB1,59
PHB2,38
PHF11,111
PHF21A,175
PHKG2,154
PHLDA1,91
PHLDB3,163
PHLPP2,24
PHYH,31
PICALM,87
PIEZO1,139
PIGZ,170
PIK3AP1,7
PIK3CB,32
PIK3R3,17
PIK3R4,16
PIK3R5,53
PIP4P2,74
PITPNA,24
PITPNC1,50
PITRM1,103
PKM,75
PKN2,58
PLA2R1,26
PLAA,77
PLAC9,42
PLCD3,79
PLCE1,97
PLCH1,18
PLCXD2,26
PLEKHO2,150
PLIN2,70
PLIN3,163
PLK3,88
PLOD1,90
PLOD2,96
PLOD3,173
PLPP6,100
PLPP7,57
PLSCR1,0
PLSCR4,178
PLTP,111
PLXDC2,42
PLXND1,81
PMP2,6
PMPCB,130
PMS1,23
PNKD,168
PNMA2,130
PNMA3,172
PNP,70
PNPO,86
POLDIP2,116
POLE3,128
POLR2C,12
POLR3F,100
POLR3GL,1
POMGNT2,31
PON2,151
POP7,31
POU3F2,174
PPA2,36
PPARA,166
PPARGC1A,18
PPDPF,150
PPIH,36
PPL,171
PPM1K,36
PPME1,75
PPOX,167
PPP1R14B,50
PPP1R2,114
PPP1R3F,39
PPP1R7,101
PPP2R1A,98
PPP2R5D,56
PPP3CA,144
PPT1,13
PPTC7,169
PRC1,142
PRDX4,58
PREP,18
PREPL,172
PREX1,81
PRKCB,137
PRKCE,144
PRKD1,42
PROS1,82
PRPF19,19
PRPF3,67
PRPS1,73
PRR14,173
PRR14L,-1
PRR15,175
PRR5,20
PRRG4,121
PRRX1,138
PRSS35,176
PRXL2A,36
PSEN2,45
PSMA4,13
PSMC1,116
PSMD1,75
PSME1,4
PSME2,97
PSMG3,46
PSTK,11
PTAFR,138
PTBP3,51
PTGR2,162
PTGS2,82
PTH2R,143
PTK2B,8
PTN,162
PTPN1,97
PTPN12,22
PTPN13,88
PTPN3,147
PTPN4,146
PTPRM,-1
PTPRZ1,20
PTTG1IP,96
PVALB,143
PWP1,28
PXN,162
PYCR1,139
PYGB,154
PYGL,7
PYM1,103
QPRT,112
QRICH1,12
RAB11FIP5,158
RAB13,87
RAB22A,64
RAB26,156
RAB27A,61
RAB29,90
RAB31,96
RAB3GAP1,129
RAB3IL1,139
RAB9A,67
RABEPK,105
RABL2A,127
RAC3,105
RAD54L,164
RALGPS1,152
RAMAC,117
RAMP1,175
RANBP1,117
RAP1B,149
RARB,30
RARS1,140
RASA1,23
RASGEF1B,139
RASSF6,164
RBFOX1,52
RBFOX2,28
RBM12B,22
RBM14,82
RBM38,121
RBSN,39
RC3H1,22
RC3H2,77
RCAN2,144
RCOR3,12
RDH10,70
RDH11,137
REEP2,52
RELL2,155
RETREG2,99
REXO4,175
RFLNA,107
RFX5,89
RFXANK,121
RGN,141
RGS7,73
RHBDF2,0
RHBDL3,132
RHOBTB3,5
RHOC,139
RHOT1,64
RHPN2,0
RIN2,3
RIOK1,23
RIPPLY2,32
RITA1,65
RMC1,36
RMND1,160
RMP64,86
RNASEH1,116
RNASET2,4
RNF14,24
RNF144A,65
RNF166,41
RNF175,36
RNF20,76
RNF215,89
RNF26,16
RNF34,12
RNF41,75
RNFT2,99
RNGTT,60
RNMT,160
ROM1,21
RPA1,60
RPA3,130
RPH3A,135
RPIA,79
RPL12,165
RPL18A,80
RPL23A,91
RPL27A,41
RPL30,174
RPL32,79
RPL35,80
RPL36,91
RPL39,91
RPLP1,54
RPP25,98
RPRD1A,64
RPS11,108
RPS16,174
RPS19,92
RPS2,20
RPS28,51
RPS6KB1,86
RPS9,91
RRAGD,34
RRAS2,91
RRBP1,79
RRM1,60
RRP15,129
RSL24D1,113
RSU1,41
RTCB,117
RTN4IP1,100
RUNX1,6
RUSC1,89
RUSF1,102
RWDD2A,30
RWDD2B,156
RYBP,108
S100A10,43
S100A16,87
S100A8,43
S1PR1,110
S1PR3,82
SAAL1,64
SAE1,131
SAMD1,51
SAMD9L,43
SAMM50,158
SAP30L,12
SARAF,112
SARNP,83
SARS1,52
SAT1,69
SAT2,38
SATB1,52
SAYSD1,56
SBF2,21
SCAMP5,99
SCARA3,138
SCARB2,64
SCCPDH,112
SCFD1,136
SCG5,144
SCMH1,51
SCN1B,35
SCN2B,143
SCN4B,156
SCUBE2,110
SDF2L1,93
SDHA,142
SEC11A,54
SEC14L1,149
SEC14L2,50
SEC61A1,176
SEC61B,108
SEH1L,105
SELENOK,2
SELENON,177
SELENOS,63
SEMA3E,30
SENP2,159
SENP3,77
SERF2,21
SERGEF,160
SERINC1,130
SERP1,91
SERPINA3,62
SERPINE2,151
SERPINF1,95
SERPINH1,62
SERPINI1,130
SERTAD1,125
SERTAD4,144
SEZ6L2,9
SF3A3,103
SFMBT2,53
SGCB,127
SGIP1,64
SH2B3,163
SH3BGRL2,130
SH3BGRL3,111
SH3BP5L,77
SH3GL2,144
SH3GLB1,165
SH3PXD2B,162
SH3TC1,6
SHC1,150
SHD,35
SHLD1,19
SHMT2,110
SIK1,10
SIPA1,87
SLA,54
SLC12A5,157
SLC15A3,71
SLC16A14,8
SLC16A3,7
SLC16A9,10
SLC17A6,-1
SLC1A6,17
SLC20A1,19
SLC22A17,32
SLC25A1,176
SLC25A12,145
SLC25A27,156
SLC25A3,72
SLC25A37,138
SLC25A4,9
SLC25A5,68
SLC26A6,67
SLC2A5,139
SLC30A5,153
SLC30A9,74
SLC33A2,45
SLC35A1,113
SLC35A5,13
SLC35B3,152
SLC35B4,18
SLC37A4,141
SLC38A1,86
SLC38A11,147
SLC39A1,124
SLC43A1,79
SLC45A1,114
SLC49A4,27
SLC6A15,144
SLF1,36
SLITRK3,16
SLITRK4,135
SLX4IP,176
SMARCC1,51
SMARCD1,151
SMIM7,112
SMO,163
SNAP23,49
SNAP25,8
SNAP47,12
SNAPIN,122
SNCA,36
SNCG,35
SNPH,77
SNRPA,108
SNRPA1,115
SNRPG,97
SNRPN,74
SNU13,141
SNX14,23
SNX17,100
SORL1,19
SOWAHC,49
SOX2,50
SOX4,93
SOX9,81
SP110,96
SPAG9,86
SPARC,4
SPATA7,157
SPIN2B,12
SPINDOC,41
SPINT2,9
SPIRE1,65
SPOCK2,170
SPOP,86
SPP1,62
SPR,3
SPRY1,78
SPRYD3,19
SPRYD7,19
SPTAN1,159
SRGAP1,6
SRGAP3,116
SRGN,42
SRP54,116
SRP68,153
SRP72,57
SRRM4,147
SRRT,29
SRSF2,60
SSX2IP,114
STAB1,62
STAMBPL1,95
STAT3,4
STAT4,145
STAU2,146
STEAP2,172
STK38,0
STK39,86
STK40,110
STMN1,131
STMN2,172
STMN4,17
STN1,31
STOML2,40
STPG1,25
STRADB,64
STX2,51
STX3,115
STX4,33
STXBP1,135
STYXL1,92
SUCLA2,127
SUDS3,103
SUN1,66
SUPT16H,115
SUPV3L1,57
SUV39H1,153
SV2A,73
SV2B,171
SVIL,33
SVOP,172
SWT1,51
SYK,33
SYNGR1,169
SYNGR3,102
SYP,132
SYT11,152
SYT13,114
SYT17,176
SZRD1,90
TAGLN2,88
TAGLN3,114
TAL1,173
TAP1,10
TARBP1,145
TBC1D10A,149
TBC1D2B,166
TBC1D4,156
TBCC,9
TBK1,23
TBP,40
TBR1,52
TCAF1,36
TCEA2,153
TCEA3,53
TCEAL2,85
TCEAL6,133
TCEAL9,3
