gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
C10orf88,3,2,-0.06606384191367749,-0.2477895548979867,True
C14orf119,3,3,0.13863836361026097,0.13863836361026097,False
C1QA,2,2,0.9185509473231607,0.9185509473231607,True
C1QB,3,3,1.2419780277641732,1.2419780277641732,True
C1QC,3,2,0.9826890784487089,1.1459454651770686,True
C1QL1,3,2,0.5867569962423743,0.484905067100722,True
C1QTNF1,3,2,0.7353299452417655,0.8123443104544652,True
C1orf115,3,2,0.2650858601828728,0.38812449335700094,False
C1orf74,3,2,-0.11553766004702015,-0.3715927832025462,True
C2CD5,3,2,0.04753732957631248,-0.3775042344757038,True
C3orf62,3,2,0.29482269622858376,0.4004309896701499,True
C3orf70,3,2,0.4933040262472191,0.2794843981160966,True
C6orf120,3,2,-0.09737718308373229,-0.2513930296473239,True
C6orf136,3,2,0.2335606704577291,0.44443278788653107,False
C9orf78,3,2,0.32768025313213806,0.47642025456359116,False
CACHD1,3,3,0.7161416247155135,0.7161416247155135,True
CACNG2,3,2,-0.021730617368090382,-0.36115414093439346,True
CADM1,3,2,0.5466440245457193,0.8102036299568338,True
CADPS,3,2,-0.1900307582989651,-0.5017736859645092,True
CADPS2,3,2,-0.32034674119615286,-0.9564520062909203,True
CALM2,3,2,0.29290440212115126,0.46123756074262445,False
CALML4,3,2,0.21711870379580622,0.30473379516742694,False
CALR,3,2,0.4657991481593706,0.3669173639688923,True
CALU,3,2,0.4289988526365936,0.23187949085689485,True
CAMK1G,3,2,-0.1868495447489155,-0.48451071957657543,True
CAMK2G,3,2,0.00806496041429335,0.10532087562784964,False
CAMSAP2,3,2,0.3383275959721317,0.5303862936569166,False
CAMTA1,3,2,-0.013083650620616302,-0.42969198362711225,True
CAND2,3,2,0.20890348372257161,-0.21989313686666678,True
CAP2,3,2,0.0995368763011489,0.2647505141023636,False
CAPG,2,2,0.6943707319212973,0.6943707319212973,True
CAPZB,3,2,0.19040249356633096,0.2930745593441326,True
CARD8,3,2,0.478421239381543,0.6423119753086786,True
CARD9,3,2,0.6448542827993008,0.9608322246598477,True
CARHSP1,3,2,0.5594433337849072,0.4775314624485043,True
CBARP,3,2,0.3181399775351415,0.46387147428668607,True
CBFB,3,2,0.38554733283393783,0.5249943109895324,True
CBL,3,2,0.3064431689250104,0.18800841660356227,True
CBLN2,3,2,-0.353244543295171,-0.8227699976255187,True
CBLN4,3,2,-0.29483825045961937,-0.7295609637441101,True
CBX5,3,2,-0.07008608089398975,-0.03155037501621161,False
CBX7,3,2,-0.009486585707818426,-0.2691092744787653,True
CCAR2,3,2,0.23475690449628375,0.3823183236115195,False
CCDC120,3,2,0.4196461510806033,0.5827285469782768,True
CCDC121,2,2,0.47303932798026754,0.47303932798026754,True
CCDC167,3,2,0.3837479208135936,0.25540058826247547,True
CCDC18,2,2,0.753533935399437,0.753533935399437,True
CCDC184,3,2,-0.17198121896734145,-0.5797165803073385,True
CCDC25,3,2,0.030463513065308295,-0.3974587871347999,True
CCDC50,3,2,0.5069294939391398,0.7433023966262207,True
CCDC51,3,2,-0.034781327175638456,-0.3236939720980503,True
CCDC77,3,2,0.5493956956971218,0.7662276095485687,True
CCDC90B,3,2,0.36945083346534346,0.1902812241973555,True
CCK,3,2,-0.20636995582748993,-0.6951976852866837,True
CCL20,2,2,0.5617006480666915,0.5617006480666915,True
CCN1,2,2,1.430493484144666,1.430493484144666,True
CCNB1IP1,3,2,0.1744988978590795,-0.21259960922190024,True
CCNE1,3,2,0.1331291026277975,-0.21961841205545696,True
CCNI,3,3,0.43927538139092154,0.43927538139092154,False
CD14,3,3,1.1477238826406753,1.1477238826406753,True
CD151,3,2,0.6257878529374329,0.44471027815869135,True
CD44,3,2,1.3540982896450107,1.8021375706687992,True
CD63,3,3,0.4226282268750016,0.4226282268750016,True
CD68,2,2,0.6665941958245623,0.6665941958245623,True
CD79B,2,2,0.6296990548643171,0.6296990548643171,True
CD84,3,2,0.5509844205519027,0.7624343863377896,True
CD93,2,2,1.5098445440197916,1.5098445440197916,True
CD99,3,3,0.5719956763109796,0.5719956763109796,True
CDAN1,3,2,0.40153846430637774,0.5858292494499522,True
CDC123,3,2,0.10840183027813784,-0.28241454559899726,True
CDC14A,2,2,0.8628906460502571,0.8628906460502571,True
CDC27,2,2,-0.05785124759671145,-0.05785124759671145,False
CDC42,3,2,-0.03735343645472463,-0.07798991609992134,False
CDC42EP4,3,2,0.6668083291634185,0.8241611296143674,True
CDC42SE2,3,2,0.2940434513594076,0.4821353072153931,False
CDC7,3,2,0.010983392036174303,-0.2858528118493955,True
CDCA5,3,2,-0.12630897912811845,-0.48898235295242043,True
CDH10,3,2,0.17174896407136112,0.248512363815375,False
CDH11,3,2,0.49781015533200473,0.728910935714032,True
CDIP1,3,2,0.09189790139988012,-0.02638109078580575,False
CDK14,3,2,-0.14703927592736132,-0.6021953571269791,True
CDK2AP2,3,2,0.46734948288015393,0.42331760008627106,True
CDK4,3,2,0.4943312416213718,0.6554502496699097,True
CDK5RAP2,3,2,0.5936840619798028,0.79735743174919,True
CDKN1A,3,3,1.3171104542010474,1.3171104542010474,True
CDS1,3,2,0.090769667317538,-0.39431362793038716,True
CEBPB,3,2,0.8850196076479525,1.1623058942059021,True
CEBPD,3,2,0.9232671110491425,0.9446171802076411,True
CELF3,3,2,0.4859775890935258,0.3764261863875378,True
CEMP1,2,2,0.24203841422275074,0.24203841422275074,True
CEND1,3,2,-0.11701121777224739,-0.34279380406532933,True
CEP20,3,2,0.24172778524389615,0.38264504442353764,False
CEP44,3,2,0.24051359776152884,0.36488190852306124,False
CERS4,3,2,0.2940576429800492,0.3938575509183502,True
CERS6,3,2,0.23128670014053831,0.3834827511402956,False
CES3,2,2,0.8479957942234333,0.8479957942234333,True
CFAP36,3,2,-0.1566847183991147,-0.2719381864199777,True
CFAP418,3,2,0.20547018294046912,0.27740206503570664,False
CHCHD2,3,2,0.2759247519033033,0.4253686751145702,False
CHCHD4,3,2,0.1450409177934834,-0.2835973719133382,True
CHCHD7,3,2,0.004211740522719332,-0.2909721327451016,True
CHIC2,3,2,0.450552296352746,0.1847068030623339,True
CHN1,3,2,0.0233658620431522,0.1560262130647283,False
CHRM1,3,2,-0.11554523780163588,-0.45188768048239414,True
CHRNB1,3,2,0.4139835998790309,0.29584586255305245,True
CHST11,2,2,0.4350553611027501,0.4350553611027501,True
CHST3,3,2,0.6788238169161706,0.6937323173285608,True
CHST7,3,2,0.6019809512137106,0.7889410971946043,True
CHSY1,3,2,0.5153773718276226,0.3836273291695136,True
CIAO1,3,2,0.2716429005459024,0.40757701591821194,False
CIRBP,3,2,-0.012431649009328657,-0.4156977362911771,True
CIRSR,3,2,0.11969744036632572,-0.142493694118218,True
CISD1,3,2,0.02974136724843716,-0.43771772500618367,True
CITED2,3,2,-0.1575616830321526,-0.3575658610153085,True
CKAP5,3,2,0.1850905347260984,-0.2482865182741123,True
CKB,3,2,0.1889599317436872,-0.2563765984631736,True
CKMT1A,3,2,-0.18080127990662564,-0.5871409222074009,True
CKS2,2,2,0.7400166008057978,0.7400166008057978,True
CLDN15,3,2,0.47806100930320833,0.34452170000404136,True
CLIC1,3,2,0.7515295102869627,0.7677938814606435,True
CLIC4,3,2,0.6939119386627404,0.9179237161928278,True
CLIP4,3,2,0.17160867592803766,-0.20112535047365965,True
CLMP,3,3,-0.2018857536200569,-0.2018857536200569,False
CLPX,3,2,0.20751750556436419,-0.1824287903915085,True
CLTC,3,2,-0.14129693987880346,-0.3731989740832713,True
CMC1,3,2,-0.13150920209843905,-0.2564425005253925,True
CMC2,3,2,0.30784062003715434,0.47106723678009077,False
CNIH3,3,2,-0.009200362321501565,-0.2937435401181365,True
CNKSR3,3,2,0.40670156671952934,0.6750109018835371,True
CNN3,3,3,0.9279821636024655,0.9279821636024655,True
CNOT3,3,2,0.2585722477159666,0.22444259320872462,False
CNOT8,3,2,0.2520853353064651,0.39351171123533746,False
CNST,3,2,0.21989792870615302,0.31020854127717934,False
CNTN6,3,2,-0.2238467247596582,-0.3724360987622144,False
CNTNAP1,3,2,-0.05267955000853005,-0.393553400077443,True
COA1,3,2,0.08332864515530207,-0.19331456149534,True
COA5,3,2,0.34254220418812614,0.4795635153270612,False
COIL,3,2,0.20064113993899216,-0.196124050971749,True
COL27A1,3,2,0.5535989783196339,0.7447432874794502,True
COL4A1,3,2,0.9017655517352563,1.204914814017626,True
COL4A4,2,2,0.8409330420741287,0.8409330420741287,True
COLGALT1,3,2,0.598030568229681,0.4430081049420238,True
COMMD3,3,2,0.42195568577522097,0.6411686652461663,False
COMMD6,3,2,0.48002240828477377,0.6823685090317797,True
COPG1,3,2,-0.06594249739109603,-0.42457111363317734,True
COPS3,3,2,0.19235119858974667,-0.2985762920555082,True
COPS4,3,2,0.17630957650246928,0.3782199363370369,False
COQ3,3,3,0.05307464503480378,0.05307464503480378,False
COQ5,3,2,0.48736425086437957,0.7624859873117398,True
COQ6,3,2,0.22799511741647382,-0.21533781161079224,True
CORO2A,3,2,-0.23940610817364436,-0.610684247178841,True
COX5A,3,2,0.26411171878706047,0.4792677414850779,False
COX6B1,3,2,0.24820507970926395,0.42386431352864085,False
COX6C,3,2,0.155487874558028,0.26014429061268274,False
COX7A1,3,2,-0.1503866685172325,-0.5222407232987285,True
COX7A2,3,2,0.2789976904855774,0.48001972843349283,False
COX7B,3,2,0.25931598023588887,0.43555482324165196,False
COX8A,3,2,0.16759166351345764,-0.2743166460705706,True
COXFA4,3,2,0.397159987940008,0.6401194033266773,False
CPEB1,3,2,-0.009109466746702951,-0.22322816199714546,True
CPLX1,3,2,-0.26370763628287336,-0.3668070408834647,True
CPLX2,3,2,-0.3378172958920261,-0.5023270260432877,True
CPNE3,3,3,0.6024400145533623,0.6024400145533623,True
CPNE4,3,2,-0.04965456724704106,-0.4939301909387761,True
CPQ,3,2,0.4146023420858184,0.47599159384912904,True
CREB3L2,3,2,0.6714425915670835,0.9427094609477411,True
CREG2,3,2,-0.14500128708659688,-0.7082645482515533,True
CRELD2,3,2,0.5175733861152056,0.333437798561681,True
CRIPT,3,2,0.5135302017112219,0.7754121517529091,True
CRISPLD2,3,3,0.7578626331715562,0.7578626331715562,True
CRYAB,3,2,0.7561994477408764,0.7229971423173607,True
CRYM,3,2,-0.45726952536909504,-0.8939597106103654,True
CS,3,2,0.08747860150169313,-0.20441886659817587,True
