Riker Engine — Stability Profiling Report
============================================================

Config: /home/kai001/riker-engine/disease_days/2026-04-28_asd_v033/blind_pc/config.yaml
Runs attempted: 50
Runs successful: 50
Total time: 18010.8s (300.2m)

Core gene counts across runs:
  Min: 410
  Max: 434
  Mean: 420.5
  Variance: ±12.0 genes (2.9%)

Unique genes seen: 457
  Iron-clad (>=90% of runs): 394
  Borderline (50-89%):       35
  Stochastic (<50%):         28

Iron-clad genes (394):
  PRPF19: 50/50 (100%)
  PRR14: 50/50 (100%)
  PSME2: 50/50 (100%)
  PSMG3: 50/50 (100%)
  PTAFR: 47/50 (94%)
  PTH2R: 50/50 (100%)
  PTPN13: 50/50 (100%)
  PTTG1IP: 50/50 (100%)
  PYGB: 50/50 (100%)
  QRICH1: 50/50 (100%)
  RAB29: 50/50 (100%)
  RAB31: 50/50 (100%)
  RALGPS1: 50/50 (100%)
  RASGEF1B: 50/50 (100%)
  RCAN2: 50/50 (100%)
  RCOR3: 50/50 (100%)
  RDH10: 50/50 (100%)
  RETREG2: 49/50 (98%)
  RFX5: 50/50 (100%)
  RHBDF2: 50/50 (100%)
  RHBDL3: 50/50 (100%)
  RHPN2: 50/50 (100%)
  RIOK1: 50/50 (100%)
  RMND1: 50/50 (100%)
  RNMT: 49/50 (98%)
  RPL12: 50/50 (100%)
  RPL36: 47/50 (94%)
  RPL39: 47/50 (94%)
  RPLP1: 50/50 (100%)
  RPS16: 50/50 (100%)
  RPS2: 50/50 (100%)
  RWDD2A: 50/50 (100%)
  RWDD2B: 50/50 (100%)
  S100A10: 49/50 (98%)
  S100A8: 50/50 (100%)
  SAYSD1: 50/50 (100%)
  SBF2: 50/50 (100%)
  SCN1B: 50/50 (100%)
  SCN2B: 50/50 (100%)
  SCN4B: 49/50 (98%)
  SDF2L1: 50/50 (100%)
  SDHA: 50/50 (100%)
  SEC11A: 50/50 (100%)
  SEC14L2: 50/50 (100%)
  SEC61A1: 47/50 (94%)
  SERF2: 50/50 (100%)
  SERGEF: 50/50 (100%)
  SERP1: 49/50 (98%)
  SERPINH1: 50/50 (100%)
  SERTAD1: 46/50 (92%)
  SEZ6L2: 50/50 (100%)
  SFMBT2: 50/50 (100%)
  SH3GL2: 49/50 (98%)
  SH3GLB1: 50/50 (100%)
  SHLD1: 50/50 (100%)
  SIPA1: 50/50 (100%)
  SLA: 50/50 (100%)
  SLC12A5: 50/50 (100%)
  SLC15A3: 50/50 (100%)
  SLC16A14: 50/50 (100%)
  SLC16A3: 50/50 (100%)
  SLC25A1: 47/50 (94%)
  SLC25A12: 50/50 (100%)
  SLC25A27: 50/50 (100%)
  SLC25A3: 50/50 (100%)
