Riker Engine — Stability Profiling Report
============================================================

Config: /home/kai001/riker-engine/disease_days/2026-04-29_ipf_v0332/blind_pc/config.yaml
Runs attempted: 50
Runs successful: 50
Total time: 33272.5s (554.5m)

Core gene counts across runs:
  Min: 2416
  Max: 2471
  Mean: 2442.6
  Variance: ±27.5 genes (1.1%)

Unique genes seen: 2545
  Iron-clad (>=90% of runs): 2309
  Borderline (50-89%):       180
  Stochastic (<50%):         56

Iron-clad genes (2309):
  CD209: 50/50 (100%)
  CD248: 50/50 (100%)
  CD27: 50/50 (100%)
  CD274: 50/50 (100%)
  CD28: 50/50 (100%)
  CD300LG: 50/50 (100%)
  CD36: 48/50 (96%)
  CD38: 50/50 (100%)
  CD3E: 50/50 (100%)
  CD3G: 50/50 (100%)
  CD4: 50/50 (100%)
  CD5: 49/50 (98%)
  CD55: 47/50 (94%)
  CD5L: 50/50 (100%)
  CD6: 50/50 (100%)
  CD79A: 48/50 (96%)
  CDC14B: 50/50 (100%)
  CDC25B: 50/50 (100%)
  CDCA7L: 45/50 (90%)
  CDCP1: 50/50 (100%)
  CDH11: 50/50 (100%)
  CDH13: 50/50 (100%)
  CDH19: 50/50 (100%)
  CDH2: 50/50 (100%)
  CDH26: 50/50 (100%)
  CDH3: 50/50 (100%)
  CDH5: 50/50 (100%)
  CDH6: 48/50 (96%)
  CDIN1: 50/50 (100%)
  CDK14: 50/50 (100%)
  CDK2: 49/50 (98%)
  CDK2AP2: 50/50 (100%)
  CDKL2: 50/50 (100%)
  CDKL5: 50/50 (100%)
  CDKN2A: 50/50 (100%)
  CDKN3: 46/50 (92%)
  CDO1: 50/50 (100%)
  CDON: 50/50 (100%)
  CEACAM4: 50/50 (100%)
  CEBPA: 50/50 (100%)
  CEBPB: 50/50 (100%)
  CEBPD: 50/50 (100%)
  CECR2: 50/50 (100%)
  CELSR1: 50/50 (100%)
  CELSR2: 50/50 (100%)
  CEMIP2: 50/50 (100%)
  CENATAC: 50/50 (100%)
  CENPF: 50/50 (100%)
  CENPV: 50/50 (100%)
  CENPW: 50/50 (100%)
  CEP126: 50/50 (100%)
  CEP20: 50/50 (100%)
  CEP41: 50/50 (100%)
  CEP43: 50/50 (100%)
  CEP55: 50/50 (100%)
  CEP78: 50/50 (100%)
  CEP83: 50/50 (100%)
  CERCAM: 50/50 (100%)
  CERS2: 50/50 (100%)
  CETN2: 50/50 (100%)
  CFAP69: 50/50 (100%)
  CFB: 50/50 (100%)
  CFH: 50/50 (100%)
  CFHR1: 50/50 (100%)
  CFHR3: 50/50 (100%)
  CFI: 50/50 (100%)
  CFL2: 50/50 (100%)
  CFLAR: 50/50 (100%)
  CGN: 50/50 (100%)
  CHAC1: 50/50 (100%)
  CHCHD7: 50/50 (100%)
  CHD3: 50/50 (100%)
  CHID1: 50/50 (100%)
  CHIT1: 50/50 (100%)
  CHKA: 50/50 (100%)
  CHL1: 50/50 (100%)
  CHN1: 50/50 (100%)
  CHP1: 47/50 (94%)
  CHPT1: 50/50 (100%)
  CHRAC1: 50/50 (100%)
  CHRDL2: 50/50 (100%)
  CHRM1: 50/50 (100%)
  CHST6: 50/50 (100%)
  CHSY3: 50/50 (100%)
  CHTF8: 50/50 (100%)
  CIB1: 50/50 (100%)
  CIMAP1B: 50/50 (100%)
  CIRSR: 50/50 (100%)
  CITED2: 50/50 (100%)
  CKMT1A: 50/50 (100%)
  CLCA2: 50/50 (100%)
  CLCN4: 50/50 (100%)
  CLCN6: 48/50 (96%)
  CLDN1: 50/50 (100%)
  CLDN10: 50/50 (100%)
  CLDN16: 50/50 (100%)
  CLDN18: 50/50 (100%)
  CLDN2: 50/50 (100%)
  CLDN5: 50/50 (100%)
  CLEC2D: 50/50 (100%)
  CLEC4E: 50/50 (100%)
  CLGN: 50/50 (100%)
  CLIC2: 50/50 (100%)
  CLIC3: 49/50 (98%)
  CLIC6: 50/50 (100%)
  CLMN: 49/50 (98%)
  CLMP: 50/50 (100%)
  CLOCK: 50/50 (100%)
  CLPP: 50/50 (100%)
  CLPTM1L: 50/50 (100%)
  CLSTN1: 50/50 (100%)
  CLSTN3: 50/50 (100%)
  CLTB: 50/50 (100%)
  CLU: 50/50 (100%)
  CMA1: 50/50 (100%)
  CMTM8: 50/50 (100%)
  CNIH3: 50/50 (100%)
  CNIH4: 50/50 (100%)
  CNN1: 50/50 (100%)
  CNNM2: 50/50 (100%)
  CNOT8: 50/50 (100%)
  CNPY4: 49/50 (98%)
  CNR1: 50/50 (100%)
  CNTN1: 50/50 (100%)
  CNTN3: 50/50 (100%)
  CNTNAP1: 50/50 (100%)
  CNTROB: 50/50 (100%)
  COCH: 50/50 (100%)
  COG6: 50/50 (100%)
  COL14A1: 50/50 (100%)
  COL15A1: 50/50 (100%)
  COL17A1: 49/50 (98%)
  COL18A1: 50/50 (100%)
  COL1A1: 50/50 (100%)
  COL1A2: 50/50 (100%)
  COL24A1: 50/50 (100%)
  COL3A1: 50/50 (100%)
  COL4A4: 48/50 (96%)
  COL5A1: 50/50 (100%)
  COL5A2: 49/50 (98%)
  COL6A2: 50/50 (100%)
  COL6A3: 50/50 (100%)
  COL7A1: 50/50 (100%)
  COL8A2: 50/50 (100%)
  COLEC11: 50/50 (100%)
  COMMD6: 50/50 (100%)
  COMMD9: 50/50 (100%)
  COMP: 50/50 (100%)
  CORIN: 50/50 (100%)
  CORO6: 50/50 (100%)
  CP: 50/50 (100%)
  CPA3: 50/50 (100%)
  CPA6: 50/50 (100%)
  CPB2: 50/50 (100%)
  CPE: 50/50 (100%)
  CPED1: 50/50 (100%)
  CPLANE1: 50/50 (100%)
  CPNE2: 50/50 (100%)
  CPNE4: 50/50 (100%)
  CPNE5: 50/50 (100%)
  CPT1C: 50/50 (100%)
  CPXM1: 50/50 (100%)
  CPXM2: 50/50 (100%)
  CRABP2: 50/50 (100%)
  CRACD: 46/50 (92%)
  CRACR2A: 46/50 (92%)
  CREB3L2: 50/50 (100%)
  CRIP1: 50/50 (100%)
  CRISPLD1: 50/50 (100%)
  CRISPLD2: 50/50 (100%)
  CROT: 50/50 (100%)
  CRTAC1: 50/50 (100%)
  CRYAB: 50/50 (100%)
  CRYM: 50/50 (100%)
  CSF3R: 50/50 (100%)
  CSGALNACT1: 49/50 (98%)
  CSPG4: 49/50 (98%)
  CSRNP1: 50/50 (100%)
  CSRNP3: 50/50 (100%)
  CST1: 50/50 (100%)
  CST2: 50/50 (100%)
  CTH: 50/50 (100%)
  CTHRC1: 50/50 (100%)
  CTNNBIP1: 50/50 (100%)
  CTSE: 50/50 (100%)
  CTSF: 50/50 (100%)
  CTSG: 49/50 (98%)
  CTSK: 50/50 (100%)
  CTSV: 50/50 (100%)
  CWH43: 50/50 (100%)
  CXCL12: 50/50 (100%)
  CXCL13: 50/50 (100%)
  CXCL14: 50/50 (100%)
  CXCL17: 50/50 (100%)
  CXCL2: 48/50 (96%)
  CXCL8: 48/50 (96%)
  CXorf65: 47/50 (94%)
  CYFIP2: 50/50 (100%)
  CYGB: 49/50 (98%)
  CYP24A1: 50/50 (100%)
  CYP27A1: 50/50 (100%)
  CYP27C1: 50/50 (100%)
  CYP2F1: 50/50 (100%)
  CYP2S1: 48/50 (96%)
  CYP3A5: 50/50 (100%)
  CYP51A1: 50/50 (100%)
  CYSLTR1: 50/50 (100%)
  DACT1: 50/50 (100%)
  DACT3: 50/50 (100%)
  DAGLB: 47/50 (94%)
  DAPK2: 48/50 (96%)
  DAPP1: 50/50 (100%)
  DBI: 50/50 (100%)
  DBN1: 50/50 (100%)
  DBP: 47/50 (94%)
  DCAF7: 50/50 (100%)
  DCLK1: 50/50 (100%)
  DCUN1D3: 50/50 (100%)
  DCUN1D4: 48/50 (96%)
  DCXR: 50/50 (100%)
  DDB2: 50/50 (100%)
  DDIT3: 50/50 (100%)
  DDIT4L: 50/50 (100%)
  DDR1: 50/50 (100%)
  DDT: 50/50 (100%)
  DDX39A: 45/50 (90%)
  DDX3X: 50/50 (100%)
  DEFA1B: 50/50 (100%)
  DENND1B: 47/50 (94%)
  DENND2A: 49/50 (98%)
  DENND2B: 50/50 (100%)
  DENND3: 50/50 (100%)
  DENND4B: 50/50 (100%)
  DENND5B: 50/50 (100%)
  DEPDC7: 50/50 (100%)
  DERL3: 50/50 (100%)
  DES: 48/50 (96%)
  DGAT1: 50/50 (100%)
  DGAT2: 50/50 (100%)
  DGKA: 45/50 (90%)
  DGKD: 50/50 (100%)
  DGKG: 50/50 (100%)
  DHCR24: 50/50 (100%)
  DHX58: 48/50 (96%)
  DIO2: 50/50 (100%)
  DIO3: 50/50 (100%)
  DIPK1A: 50/50 (100%)
  DISP1: 50/50 (100%)
  DLC1: 50/50 (100%)
  DLEC1: 50/50 (100%)
  DLG2: 50/50 (100%)
  DLG5: 50/50 (100%)
  DLGAP5: 50/50 (100%)
  DMAC2: 50/50 (100%)
  DMD: 50/50 (100%)
  DNAAF10: 50/50 (100%)
  DNAJC12: 50/50 (100%)
  DNER: 50/50 (100%)
  DNM1: 50/50 (100%)
  DNM2: 50/50 (100%)
  DNMBP: 50/50 (100%)
  DNPEP: 49/50 (98%)
  DOCK10: 50/50 (100%)
  DOCK5: 50/50 (100%)
  DOCK9: 50/50 (100%)
  DOK4: 50/50 (100%)
  DOK5: 49/50 (98%)
  DPT: 45/50 (90%)
  DPYS: 50/50 (100%)
  DPYSL3: 50/50 (100%)
  DRC4: 50/50 (100%)
  DRC7: 50/50 (100%)
  DRC9: 50/50 (100%)
  DSC3: 50/50 (100%)
  DSEL: 50/50 (100%)
  DSG3: 50/50 (100%)
  DTHD1: 50/50 (100%)
  DTWD1: 49/50 (98%)
  DTX3: 50/50 (100%)
  DUOX1: 50/50 (100%)
  DUOXA1: 50/50 (100%)
  DUOXA2: 50/50 (100%)
  DUSP1: 50/50 (100%)
  DUSP10: 50/50 (100%)
  DUSP14: 50/50 (100%)
  DUSP2: 50/50 (100%)
  DUSP4: 45/50 (90%)
  DUSP8: 47/50 (94%)
  DYNC1LI1: 50/50 (100%)
  DYNLL1: 50/50 (100%)
  DYRK2: 50/50 (100%)
  DZIP1: 47/50 (94%)
  DZIP1L: 50/50 (100%)
  E2F8: 50/50 (100%)
  EAF2: 50/50 (100%)
  EBF3: 50/50 (100%)
  EBP: 50/50 (100%)
