cluster_id,n_iron_clad_members,members,min_modal_count,max_modal_count,mean_modal_count
233,22,ADAMTSL3|ADGRF1|ANG|ARHGAP15|ATP13A4|C1QTNF2|CD38|COL7A1|COLEC11|CTSV|IL1RN|NSUN6|PEAK1|RAI14|RNF128|SELP|SHROOM4|SP140|SYTL1|TMEM190|TRO|ZNF106,2,3,2.0
234,6,CENPV|FGFR3|IPP|MAP3K7CL|TPM4|TRIM6,2,2,2.0
236,3,HDGFL3|TPD52L1|ZNHIT6,2,2,2.0
237,7,ARG1|BTNL9|IL1R2|IL1RL1|MT1M|S100A12|SLCO4A1,3,3,3.0
239,3,ADCY9|ARHGAP10|CENATAC,2,2,2.0
240,4,MYO9A|SELENBP1|TCEAL1|TSPAN13,2,2,2.0
241,7,ANO4|ARL14EP|DGKA|GOLPH3L|INTS6L|PLD1|PTK7,2,2,2.0
242,5,CHRAC1|FCHSD2|PCYOX1|RDX|TIPARP,2,2,2.0
243,5,MMP3|PYROXD2|RUNX1|SIT1|ZNF780B,3,3,3.0
246,9,AFMID|FLT3|MGST1|NCOA3|PRKCH|RYBP|SYTL4|TLCD1|TMEM150A,1,2,1.6
248,14,ADARB1|ATP2B1|CDH5|CORIN|FGR|KIAA0040|MASP1|MLPH|PKDCC|PPP1R14A|RNF144B|SUN2|TRA2A|ZBP1,2,2,2.0
249,12,AVPR1A|CACNA1C|COCH|FRMD5|HIVEP1|IRF4|ITGA11|NMNAT2|RUBCNL|ZNF302|ZNF512|ZNF713,2,2,2.0
250,6,ACVRL1|MME|PLA1A|PLA2G4F|SEC14L4|SLC19A2,3,3,3.0
251,7,ADAMTS1|ANXA3|GFOD1|HECW2|KLF15|MYZAP|TMEM204,3,3,3.0
253,11,ADM|ALKAL1|CCR6|DEFA1B|FCN3|ITLN2|PAQR7|PROK2|SLC6A4|TMEM100|VIPR1,2,3,2.3
254,13,CDH11|CEP55|FCRLA|ITGA4|LUZP2|NIBAN1|PTHLH|SLC16A14|SLC25A24|SLC35D2|SNAP25|SPRY1|ZNF300,2,3,2.2
255,5,ARL1|EFNB3|ETV6|PLXNB1|TMF1,2,2,2.0
256,3,ASB5|CACHD1|QSER1,3,3,3.0
257,5,PIEZO1|RAPGEF4|RASGRP2|RASIP1|WFDC12,2,2,2.0
258,3,PDLIM5|SLC16A4|TSNAXIP1,2,2,2.0
261,5,CENPF|CEP83|DIPK1A|MSI2|NET1,2,2,2.0
263,6,GBA2|HIPK2|MVD|RAB11FIP1|SPRING1|SPRYD7,1,1,1.0
265,3,CYP2S1|IFT27|PPIC,2,2,2.0
269,6,ADCY4|KHDRBS3|RNASE3|SENP2|STRAP|TMEM139,2,2,2.0
272,10,ADAMTS5|APOBEC3H|CA11|CPA6|GCC2|HERC6|ISOC2|SH3BGRL|SLC5A5|VOPP1,2,2,2.0
275,22,ARHGAP29|ARHGAP39|EPDR1|ERG28|GIMAP6|GPRASP1|HCST|HMGN1|MEF2C|MTRF1L|PBXIP1|PLCB1|PPP2CB|PTGER4|PTPN21|RPRD2|SCG2|SLC27A1|SMAD1|SNED1|ZFHX2|ZNF622,2,3,2.2
276,5,AMD1|CD55|DDX39A|IMPA2|PID1,2,2,2.0
278,1,PTGES,2,2,2.0
279,1,MLF1,2,2,2.0
280,2,DOCK10|SKAP1,2,2,2.0
281,20,AFAP1|CNTN1|COL6A3|HSPA4L|LTBP1|MFAP2|MMP11|NHS|PLN|PTGFRN|SLC16A9|SLC44A4|SOBP|STARD5|SVIL|TRAT1|TRIM2|TRIM29|WDR49|ZNF382,2,3,2.7
282,7,CAPN6|FN1|PAX9|PHTF2|TESPA1|TMEM117|ZFP82,2,2,2.0
283,11,ACTN1|ADA2|AFAP1L2|INPP5D|KLK13|MAGED1|NELL1|SACK1A|SERTAD2|SSC5D|TXLNB,2,2,2.0
284,6,CARD11|CCDC3|DLGAP5|PDK1|TPX2|ZBTB7C,2,2,2.0
285,6,CDK14|ESRRG|ICA1L|INPP4B|RAB9B|SYN2,2,2,2.0
286,6,AOC1|HLA-DPA1|LEO1|MXRA8|SLC24A3|TMEM176A,2,2,2.0
287,7,AP3S1|BEST4|LLGL1|MAP7D3|WBP1L|YIPF2|ZNF786,2,2,2.0
289,11,CD2|CEP20|GAB1|MTM1|PITPNM1|RNF185|RRBP1|SH3D19|SLC16A2|SLC7A8|STEEP1,2,2,2.0
292,5,ARAP1|CHRM1|H3C8|METRNL|SEMA6B,2,2,2.0
294,5,ADH1A|ATP6V1E1|NPC2|RCC2|ZNF284,2,2,2.0
295,4,IFNAR2|PPIL4|SLC60A2|STK38L,2,2,2.0
296,4,CCM2L|FAM43A|IER2|RGS16,2,2,2.0
297,17,ARMC1|ATIC|CALCOCO1|CNTNAP1|FBXO31|FGF7|GSN|LMF2|PRSS1|RAMP2|SIRPG|SNAPC1|STK36|UBE2Z|UTP25|ZNF211|ZNF322,2,2,2.0
301,3,DCUN1D4|NPAT|ZNF675,2,2,2.0
307,5,MDFIC|METRN|METTL8|RGS17|S100B,2,2,2.0
308,10,BEND5|DISP1|DZIP1L|HPGD|NSG1|SOD2|SORCS2|SULT1A1|SULT1A2|TRPV4,2,2,2.0
309,1,HIRIP3,2,2,2.0
311,7,ADAMTS14|ANKRD42|COG6|EDA2R|NOVA1|RUNX2|THSD7B,2,2,2.0
312,11,CHRDL2|CPNE5|CRACR2A|IGF1|INHBB|PBX3|RABEP2|SLC47A1|TCEAL7|TNFRSF17|ZNF667,2,3,2.1
313,2,S100A14|ST6GALNAC5,1,1,1.0
314,5,CCL23|CGN|GPR146|NXF3|TCN2,1,1,1.0
315,14,C2CD3|CA4|CEP78|CLEC4E|CLSTN3|E2F8|FKBP5|HIF3A|IL18RAP|LRRC18|MGAM|NRG4|PLA2G1B|TTLL5,2,2,2.0
316,3,CAMSAP3|LTAP1|RASGRP4,2,2,2.0
318,5,COMP|CTHRC1|FNDC1|KRT17|SERPIND1,2,2,2.0
320,16,ADGRA2|ALDH1B1|ANKRD29|ASPN|BMP2K|CCNB2|CELSR2|GABBR2|GZMK|HABP2|ISYNA1|LOXL1|MT1G|TRIL|VSTM2L|ZNF93,1,2,1.9
321,6,CDH3|COL15A1|PLPPR4|SPTBN1|THY1|TP63,1,2,1.8
322,5,CEMIP2|LAMP3|MT2A|NECAB1|TGFBR3,2,2,2.0
323,6,AGFG1|ATP1A1|MAN2A2|MCF2L|SESTD1|TDRD10,2,2,2.0
327,1,GGH,2,2,2.0
329,1,RAMP3,2,2,2.0
330,4,CXCL14|MMP1|MMP7|SFRP2,2,2,2.0
332,4,ASXL2|FAM162A|GOPC|KIF7,2,2,2.0
333,6,BOC|KCNMB2|NEK1|NUP62CL|PLEK2|WDR35,2,2,2.0
335,4,JAGN1|LONP1|PITPNM2|VMA12,2,2,2.0
336,17,ANKH|B3GALNT2|IGF2R|KIR3DL2|MPPED2|NEU1|P4HTM|PAK1|PAM|PDP2|RCL1|RYR3|SDHB|SPATS2|TTC9|TUFT1|USP32,2,3,2.5
337,4,ALS2CL|PLK3|S100A4|SLC35E3,2,2,2.0
338,8,ADRA2A|ALDH18A1|BHLHE22|CPXM1|EEIG1|KCTD1|LGALS7B|TOMM34,2,2,2.0
341,23,ARMCX2|ATP6AP1|BEAN1|C16orf89|CALML4|CSGALNACT1|EGFLAM|ENG|FDXR|HMBOX1|ILDR1|MITF|OSR2|PHC2|PIM1|PLOD3|RMDN3|SLC2A3|STAT4|TET1|TMEM178A|VASH1|ZKSCAN7,2,2,2.0
342,12,CAMK1D|CCND3|FBXO16|FERMT2|IKZF3|LGALSL|LRRC8A|MARCHF10|PRRX1|RILPL2|STX12|TMC4,1,2,1.7
343,18,ANKRD65|AR|C4B_2|CCL19|CYGB|IGDCC4|IL4I1|KCNE4|LGALS3BP|PKM|PLA2G7|RAB34|RAB7B|RTP4|SFRP1|SSBP4|TFF3|TUSC3,2,2,2.0
344,1,DUSP8,2,2,2.0
348,4,DYNC1LI1|KGD4|L3MBTL4|LPIN2,1,1,1.0
350,2,HSD17B12|VCL,2,2,2.0
351,8,BAIAP2|DBI|KCNK3|NFIL3|NHERF2|SLC25A25|SLC25A33|TNS1,3,3,3.0
352,6,CDK2AP2|HSD17B10|LAMA5|PCK2|PKN1|TRIP10,2,2,2.0
353,9,ADAM17|AMOTL2|BCKDHA|CDCA7L|FAM177A1|PKN3|SLC38A2|SOX13|USP44,2,2,2.0
354,3,CEBPB|OTUD7B|RMC1,2,2,2.0
356,9,ESYT3|INPP5K|ITPRIP|NIM1K|PCTP|PCYT2|ROBO4|SLC46A2|STARD4,1,1,1.0
357,5,ARAP3|C1orf210|DHCR24|FLVCR2|IL17RA,2,2,2.0
358,3,GNG2|SDC1|SMC6,2,2,2.0
359,10,ARL4C|CATSPERB|ESR2|GLIS3|GPR156|KCNJ5|NCS1|NFIX|PRC1|XBP1,2,2,2.0
361,5,ANGPTL2|HTR2B|MAP1A|SEMA3D|SERTAD4,2,2,2.0
362,5,EHD4|KIAA0930|PPM1M|RNF122|SLA2,2,2,2.0
364,3,LGI2|NME9|TOP2A,1,2,1.3
367,12,ADH7|C11orf96|FZD3|LAX1|MGAT1|PPP1R12B|PRKCD|SLC44A2|SOCS3|TNN|TRIM36|YBX3,2,2,2.0
368,5,BNC2|BTC|HTRA1|SANBR|TSPAN6,2,2,2.0
