gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
DCBLD2,3,2,0.3523285297136818,False
DCLK1,3,2,-0.06276682464897891,True
DCTN1,3,2,-0.16236984611158256,True
DCTN2,3,3,0.24677622080236805,False
DCUN1D2,3,2,-0.042361684509987896,True
DDAH2,3,2,0.49689415280044996,True
DDB1,3,3,0.22494033588723963,False
DDIT3,3,2,0.2883995956934875,True
DDIT4,3,3,0.716642233070797,True
DDX1,3,2,0.11901865397295157,True
DDX24,3,2,0.07932843486756447,True
DDX25,3,2,-0.24025307697861673,True
DDX27,3,2,0.27854822270575025,True
DENND2A,3,2,0.43552078411928424,True
DENND2C,2,2,0.36107879820091915,True
DENND5A,3,2,0.5379905841233761,True
DENR,3,2,0.2280093754293985,False
DEPDC5,3,2,0.018321273074113797,True
DEPP1,3,2,0.9225597113104563,True
DGAT2,2,2,0.37959013673532005,True
DHPS,3,2,0.23094106427366867,True
DHRS3,3,2,0.6197647594063774,True
DHRS7B,3,2,0.0011087896487536792,True
DHX30,3,2,0.07483354985482471,True
DHX35,3,2,0.08035342943062036,True
DHX38,3,2,0.18020823813428333,False
DIPK1B,3,2,0.014464900444779735,True
DIRAS1,3,2,-0.22310733922683093,True
DIRAS2,3,3,-0.14283580287934447,False
DKK3,3,3,0.14699466793929142,False
DLAT,3,2,-0.02428770460596456,True
DLD,3,2,0.007856207298812498,True
DLL1,3,2,0.6323672442999677,True
DLL4,2,2,0.699569827690026,True
DMXL1,3,2,-0.07811012120951884,True
DMXL2,3,2,0.003974021904117109,True
DNAAF2,3,2,0.03103996416388159,True
DNAJA1,3,2,0.550381214744761,True
DNAJA2,3,2,0.0620563001707047,True
DNAJA3,3,2,0.2407922041457707,True
DNAJB1,3,2,1.1009004077606257,True
DNAJB11,3,2,0.5848279491759792,True
DNAJB4,3,2,0.4015502756161215,True
DNAJC18,3,2,0.016680597752979292,True
DNAJC27,3,2,0.13529417734947438,True
DNASE1L1,3,2,0.014400638612876401,True
DNM1,3,2,-0.19056527219691333,True
DNM1L,3,2,0.046236034439716356,True
DOK1,2,2,0.509805998347024,True
DOP1A,3,2,0.07700143262975523,True
DPP10,3,2,-0.24350988825275235,True
DPP6,3,2,0.23966841046619317,True
DPP8,3,2,0.01739966438109075,True
DPYSL3,3,3,0.8338988347579891,True
DRG1,3,2,0.1406151776515069,True
DSE,3,3,0.6413088329487127,True
DSP,2,2,0.49201778582448696,True
DSTN,3,2,0.16042949685772948,False
DTD1,3,2,-0.008563541535823541,True
DTNA,3,2,0.6668572213037116,True
DTWD2,3,2,0.21471347212501968,False
DTX2,3,2,0.6836233822783832,True
DUSP18,3,2,0.6167962513027937,True
DUSP3,3,2,0.17687285677950695,False
DYNC1H1,3,2,0.09165506928664276,True
DYNC1I1,3,2,0.004696277744140905,True
DYNLRB1,3,2,0.20704070774533948,True
DYNLT1,3,3,0.6837544287618078,True
DYNLT5,3,2,-0.293883305684631,True
EBNA1BP2,3,3,0.15045877293729001,False
ECI2,3,2,0.5617976344217218,True
EEF1D,3,2,0.4225840684859878,True
EFCAB14,3,3,0.4705785196149093,True
EFR3A,3,3,0.16132101914295896,False
EHD4,3,3,0.7033896142682229,True
EID1,3,2,-0.11325680437080592,True
EID2B,3,3,0.22257474307996925,False
EIF2AK1,3,2,0.17427414746419748,True
EIF2S3,3,2,0.26549307086283314,False
EIF3K,3,2,0.06686007355778815,True
EIF3M,3,2,0.30213673168745636,False
EIF4A2,3,2,0.06343620071166978,False
EIF4B,3,2,0.2000401802352473,False
ELF1,3,2,0.5847911392275088,True
ELMOD1,3,2,-0.09186532719667835,True
ELOVL4,3,2,-0.022203075288304674,True
ELP2,3,2,0.12966669354886987,True
ELP5,3,2,0.049765315193532,True
EMC1,3,2,-0.051971667944302524,True
EMC4,3,2,0.008225317341080304,True
EMILIN1,2,2,0.6810164265736378,True
EMILIN2,2,2,0.6993016589805803,True
EMP1,2,2,1.0367003511833621,True
EMP3,2,2,0.7130347342933208,True
EMX2,3,2,0.5303023449105431,True
EN2,2,2,0.32790823643214795,True
ENO2,3,3,-0.038356628694890205,False
ENTPD6,3,2,0.04545947396596558,True
EPB41L2,3,2,0.4218036203881228,True
EPB41L3,3,2,0.06285621916242452,True
EPC2,3,2,0.05122026419323067,False
EPDR1,3,2,-0.0581603635152493,True
EPHX1,3,2,0.5485844162880733,True
EPM2AIP1,3,2,0.04488343938529541,True
EPS15,3,3,0.1498409049606432,False
ERAP2,3,2,0.5035734604649715,True
ERBB2,3,2,0.6547749631817742,True
ERGIC1,3,2,0.13452334160378113,True
ERICH1,3,2,0.4694418467675196,True
ERLEC1,3,3,0.12473453821385672,False
ERMARD,3,2,0.04371560977004559,True
ERRFI1,3,2,0.429651733232578,False
ESRRG,3,2,-0.25244356620477976,True
ESYT1,3,2,0.015905238495608504,True
ETNK2,3,2,0.3035352075184938,False
EXOC2,3,2,0.017980149978025512,True
EXOC3,3,2,0.0931959300119362,True
EXOSC1,3,2,0.301884352326375,True
EXOSC2,3,2,0.16250728787052182,True
EXOSC9,3,2,-0.10994300995706219,True
EXTL2,3,2,0.018489209565863973,True
F3,3,2,0.7853796075725668,True
FAAH,3,2,-0.08697721232991107,True
FAHD2B,3,3,0.08721153122710164,False
FAIM2,3,2,0.07123993610158053,True
FAM111A,3,2,0.5085993347332718,True
FAM131B,3,2,-0.3684301430276194,True
FAM133A,3,2,-0.005777226207812329,True
FAM162A,3,2,0.24314003256446823,False
FAM20C,3,2,0.5636000901545716,True
FAM216A,3,2,0.0339297117203133,True
FAM234B,3,2,-0.05548483243185073,True
FAM241B,3,2,-0.00949401122283966,True
FAM3C,3,2,-0.24000970103280425,True
FAM81A,3,2,-0.4250624316137929,True
FAR2,3,2,0.001129304399289784,True
FARSA,3,2,-0.0011328598616516434,True
FAT1,3,2,0.47049417870121363,True
FAT4,2,2,0.5143338062267975,True
FAU,3,2,0.39963896762672074,True
FAXC,3,2,-0.2971393323380565,True
FBLN2,3,2,0.4511743750867569,True
FBLN5,3,2,0.4658894704620011,True
FBLN7,3,2,-0.3198650698560505,True
FBXL15,3,2,0.0735807901398348,True
FBXL7,3,2,0.2982876931042278,True
FBXO11,3,2,0.2300790495185915,False
FBXO33,3,3,0.23384481872175833,False
FBXO40,2,2,-0.3907390015059853,False
FBXO8,3,2,0.28476993761148117,True
FBXO9,3,2,-0.07323292807008148,False
FCGBP,2,2,1.1425195089791487,True
FCGRT,3,2,0.64137571958794,True
FEN1,3,2,-0.023260151932637047,True
FERMT2,3,3,0.7512721128195037,True
FERMT3,2,2,1.427114885866268,True
FEZ2,3,2,0.3094206855288375,False
FEZF2,3,2,0.023624373889095256,False
FGF2,3,2,0.6880247685420516,True
FGF9,3,2,-0.07009012661984719,True
FGFRL1,3,2,0.4354122678679788,True
FGR,2,2,0.6840197028946813,True
FH,3,2,0.130909427414409,True
FHL1,3,2,0.26024091345030814,False
FIBP,3,2,-0.03402525666354972,True
FKBP14,3,2,0.5447621827460742,True
FLII,3,2,0.230104278329858,False
FLNA,3,2,0.4318077542616188,True
FLRT3,3,2,-0.08842604919883416,True
FNBP1L,3,2,0.4601682946360534,True
FNDC4,3,2,-0.039879216692119655,True
FNDC5,3,2,0.03492985000926888,False
FOCAD,3,2,-0.05069482439166192,True
FRG1,3,2,0.11182226023731283,True
FRMPD4,3,2,-0.19705374264671752,True
FRS3,3,2,0.050054619549150914,True
FSTL3,3,2,0.4782843613611112,True
FTL,3,2,0.594189357294551,True
FTO,3,2,0.030832370024916973,True
FUCA1,3,2,0.13183619583706566,False
FUT1,3,2,-0.18827489016623433,False
FXR2,3,2,0.12262311913294906,False
FZD9,3,2,0.18909493406057468,True
G3BP2,3,2,-0.1354104415756797,True
GABPB2,3,2,0.49692239443801817,True
GABRA1,3,2,-0.3796232571925244,True
GABRD,3,2,-0.21426695049676958,True
GABRG2,3,2,-0.16936471500584074,True
GAD1,3,2,-0.12419076377005507,True
GADD45A,3,2,0.7059599217518846,True
GADD45B,3,2,0.9788752058400059,True
GAL3ST4,3,2,0.4291678125133222,True
GALNT17,3,2,-0.05504723794941935,True
GAPVD1,3,2,0.26639726279187875,True
GAR1,3,2,0.48822544640712867,True
GAREM1,3,2,0.2325641377233172,True
GARNL3,3,2,-0.02707923699291559,True
GARS1,3,3,0.23909188297893133,False
GAS7,3,2,0.14995812850414167,True
GATAD2A,3,2,0.47504979501161354,True
GATM,3,2,0.4189846507312784,True
GBA2,3,2,0.00617253099357858,True
GBGT1,2,2,0.6967515257022827,True
GBP2,3,3,1.0918681026386914,True
GBP3,2,2,0.5513947536652852,True
GCFC2,3,2,0.08746927939859006,False
GDAP1L1,3,2,-0.1792446113910954,True
GET3,2,2,-0.032330193118409234,False
GET4,3,2,0.3832621637794455,False
GFER,3,2,0.11831310569648117,True
GFM1,3,2,0.2406007072470467,True
GHDC,3,2,-0.0007916990916300529,True
GHITM,3,2,0.2531205705989971,False
GHR,2,2,0.9516382874496573,True
GINS1,2,2,0.021641024471833692,False
GLCE,3,2,0.09892930547293204,False
GLIS3,3,2,0.78586750415306,True
GLMN,3,2,-0.08220995780828311,True
GLS,3,2,-0.08187177438215236,True
GLS2,3,2,-0.21304010621317845,True
GMPR2,3,2,0.12077998543521318,True
GNA12,3,3,0.7174568342790835,True
GNA13,3,2,0.634218744655048,True
GNAI2,3,2,0.3187819126090359,True
GNAI3,3,2,0.4354228178651976,True
GNAZ,3,2,0.14794043287263778,True
GNB4,3,2,0.39400165370659296,True
GNG11,3,2,0.40439969368556267,True
GNG5,3,2,0.7316728136854976,True
GNPDA1,3,2,0.28358066712412394,False
GOLGA8B,3,3,0.0534676387942928,False
GOPC,3,2,-0.020758271157657344,True
GOT1,3,2,-0.2875157093865062,True
GOT2,3,2,0.025367868374810715,True
GPAT3,3,2,-0.17954910868102947,True
GPC4,3,2,0.5212890739605375,True
GPCPD1,3,2,-0.0019928983619446803,True
GPI,3,2,-0.06734321929033331,True
GPNMB,3,2,0.5865514966461561,True
GPR137B,3,2,0.5219976471833211,True
GPR22,3,2,-0.30853588857565867,True
GPRASP2,3,3,0.007095836022115165,False
GRM6,2,2,0.5955976452121177,True
GRPEL2,3,2,0.08084674363272122,True
GSS,3,2,0.05376541047146214,True
GSTA4,3,2,0.0795555175517002,True
GSTM4,3,2,0.1744478252404648,False
GTF2H5,3,2,0.2599298527123155,False
GTF3C3,3,3,0.30180768231173377,False
GTPBP3,3,2,0.34236459747874753,False
H2AC18,2,2,0.7374819653521105,True
H2AC20,3,2,0.5451325989539498,True
H2AJ,3,2,0.5143427052087908,True
H2AX,3,3,0.3265000219401542,True
H2AZ1,3,2,0.33721382112431986,False
H2BC11,3,3,0.5530304561954079,True
H2BC12,3,3,0.5451932151846757,True
H2BC21,3,3,0.6956560608268275,True
H2BC26,2,2,0.04358786262819747,False
H2BC5,3,2,0.6032943497141714,True
H4C11,2,2,-0.14154926625442465,False
HACL1,3,2,0.024693570098906232,True
HAGH,3,2,0.11614116706640913,True
HAPSTR1,3,2,0.5081054635351375,True
HAS3,2,2,0.7603012885692141,True
HAVCR2,3,2,0.7848115748396678,True
HCCS,3,2,0.022386539360573554,True
HCK,2,2,1.247562828412471,True
HCLS1,3,2,0.747955690317764,True
HCST,2,2,0.8086445021860813,True
HDAC1,3,2,0.6011807919981341,True
HDHD2,3,2,-0.09251579261147287,True
HEATR5B,3,3,0.10080935013207792,False
HEBP1,3,2,0.4343420392542979,True
HEBP2,3,2,0.6594751325640423,True
HECTD1,3,2,0.2427982350045997,True
