gene,cluster_id,max_level_survived,mean_log2fc,direction
DNAJB6,633,4,0.5399993767748466,up
EHF,633,4,0.5387199235547665,up
HDAC1,633,4,0.5399246761378069,up
IL22RA1,633,4,0.5405846260142002,up
LAP3,633,4,0.5394958254310348,up
LSM10,633,4,0.5392751048744924,up
SARS2,633,4,0.5409827810122962,up
SRA1,633,4,0.5388809178815919,up
TDP2,633,4,0.5408205211713994,up
ZNF770,633,4,0.5426725712633117,up
CKMT1A,634,4,0.7807557867330113,up
OLFM1,634,4,0.7831525124873222,up
PIK3R5,634,4,0.7798666342070235,up
RAC2,634,4,0.7786857280679513,up
SPNS2,634,4,0.7780053151464239,up
TENM2,634,4,0.7782908550329621,up
AMPH,635,4,-0.241647035290948,down
ARHGAP29,635,4,-0.21560854150291625,down
CHRM1,635,4,-0.17831561660116602,down
GPT,635,4,-0.19888758820360053,down
MAGED1,635,4,-0.21002132139008609,down
ICE1,636,4,-0.11360355906123235,down
PTDSS1,636,4,-0.10327588861244755,down
ZNF500,636,4,-0.14370067975088735,down
ATG16L1,637,4,-0.19859412243281147,down
G6PC3,637,4,-0.2192713719257096,down
PAFAH2,637,4,-0.19747104703346863,down
PRKACB,637,4,-0.2347141134634886,down
SH3PXD2A,637,4,-0.17451994578790567,down
SUPT20H,637,4,-0.2822634337442952,down
CCNDBP1,638,4,-0.19201878638438177,down
CDCA7L,638,4,-0.1743984144745172,down
GNAQ,638,4,-0.1319744359787017,down
HEPN1,638,4,-0.2803992972711713,down
MSTN,638,4,-0.22384803170955883,down
PYROXD1,638,4,-0.20058931413222514,down
RHOT1,638,4,-0.156824955454488,down
SECISBP2L,638,4,-0.20757521878169366,down
SNUPN,638,4,-0.171904923713235,down
ST3GAL6,638,4,-0.18763062311422346,down
TRABD2B,638,4,-0.10681975253549669,down
CCDC32,639,4,-0.23616370710256068,down
PRPF3,639,4,-0.13896570290314458,down
RPL23A,639,4,-0.02735716338108621,down
RPS10,639,4,-0.04625434142051212,down
HSPB1,640,4,0.23591979387993942,up
NDUFAF8,640,4,0.2351964125253566,up
SRP68,640,4,0.23348655332467066,up
ATG3,641,4,0.23624207064528385,up
CNN2,641,4,0.23815264141734183,up
CTSB,641,4,0.237081759349642,up
GNG5,641,4,0.23911200857314882,up
KCTD1,641,4,0.23788158623859326,up
NAGPA,641,4,0.23724456346665865,up
PSMA2,641,4,0.24069603199480227,up
WASHC5,641,4,0.2373697924220333,up
ADGRA3,642,4,-0.3808604176914282,down
ATG12,642,4,-0.3137547017780165,down
FARP1,642,4,-0.4447506981173929,down
LENG8,642,4,-0.39182966249366086,down
XPC,642,4,-0.35037629793673924,down
COG8,643,4,-0.35268215778714535,down
PJA2,643,4,-0.3771129340929259,down
PLPP1,643,4,-0.3148107734374992,down
RRAS,643,4,-0.3836912192887933,down
SLC9D1,643,4,-0.34210702128232795,down
SMIM8,643,4,-0.3655480983297408,down
EDEM3,646,4,0.3492987376869936,up
MACROH2A2,646,4,0.258329790045005,up
MORN2,646,4,0.2940293173491389,up
MRPL34,646,4,0.23655506224644934,up
NDST1,646,4,0.24626286563450805,up
SPACA4,646,4,0.2519277797762424,up
SPIB,646,4,0.09085212907264198,up
UNC13D,646,4,0.2245765355920386,up
USP16,646,4,0.24993472152319968,up
VBP1,646,4,0.1429585813260669,up
ZBTB7C,646,4,0.2428800855096343,up
ARL8B,647,4,0.14958391281059927,up
BMPER,647,4,0.6261186931573276,up
CPNE7,647,4,0.21989331229399056,up
GPR143,647,4,0.5517523171114345,up
SACK1B,647,4,0.4315858391861064,up
TMEM258,647,4,0.1397758296146044,up
TRIP6,647,4,0.20160635647502598,up
VDAC1,647,4,0.1873722759729961,up
DMXL2,648,4,0.08795205364160683,up
PHETA2,648,4,0.07971897947832135,up
RNF111,648,4,0.0351755679988598,up
SOCS5,648,4,0.15542065281123282,up
ARRDC4,651,4,-0.014984837617265517,down
NDUFB7,651,4,-0.16550178911004015,down
ODAD4,651,4,-0.10161551079170883,down
ADPRS,652,4,0.32936581354589356,up
ATAD3A,652,4,0.32897903701825537,up
FGD2,652,4,0.32991244761029326,up
GLTP,652,4,0.32876015466531405,up
HAT1,652,4,0.3301354946279176,up
PPP1R14B,652,4,0.3298249098313882,up
PPP1R15B,652,4,0.3298799033500261,up
USB1,652,4,0.32847495176217023,up
BHLHE40,653,4,0.33251006267431604,up
CPTP,653,4,0.3328601540789798,up
GTF3C2,653,4,0.3326067907264193,up
HNRNPF,653,4,0.3310292106997969,up
KLF3,653,4,0.3322381445550209,up
KREMEN1,653,4,0.3323778394079602,up
NOP14,653,4,0.331782512281313,up
SLC7A1,653,4,0.33234610311549057,up
CREBBP,654,4,-0.19244439615555492,down
DYNLL2,654,4,-0.19420528820677252,down
FTO,654,4,-0.19951704427611378,down
HLA-E,654,4,-0.1952095213140197,down
LAPTM4A,654,4,-0.1939504591785011,down
NAP1L1,654,4,-0.198541021947892,down
NUCKS1,654,4,-0.1925142147724374,down
PPP3CB,654,4,-0.19177462978575033,down
SCAF8,654,4,-0.19642593206452993,down
TTC19,654,4,-0.19246549137930957,down
ZNF22,654,4,-0.1948862433126278,down
AGAP9,655,4,-0.8026085378264454,down
CA3,655,4,-0.801851215564782,down
CBX7,655,4,-0.8022481192317447,down
EFNB2,655,4,-0.8057140142304774,down
FAT3,655,4,-0.8025019524752784,down
KCNAB1,655,4,-0.8067513150830382,down
KLRG2,655,4,-0.8048878753010904,down
NTN4,655,4,-0.8000448958544637,down
OLFML3,655,4,-0.8027232101293101,down
PALM,655,4,-0.8010878504373736,down
PGR,655,4,-0.8042750516449035,down
S100A1,655,4,-0.8049500538634631,down
SAMD4A,655,4,-0.8034056181541585,down
TBC1D24,655,4,-0.8016947396361562,down
AKAP12,656,4,-0.7976078307872725,down
C8orf88,656,4,-0.7956072619643761,down
CAMSAP3,656,4,-0.7991265128834946,down
DAAM2,656,4,-0.7974844906503548,down
DPYSL3,656,4,-0.7982852076730489,down
DTX4,656,4,-0.7974508901179002,down
SHC4,656,4,-0.7972536352370684,down
ALDH3A2,657,4,-0.701893383715771,down
C22orf39,657,4,-0.7043067377662269,down
CAND2,657,4,-0.7034656692127279,down
CDH2,657,4,-0.7024197442158973,down
CFL2,657,4,-0.703761644095461,down
MMAA,657,4,-0.7022299220176225,down
NOSTRIN,657,4,-0.7036081679449794,down
NUDT11,657,4,-0.7035157855603449,down
SMIM10L2B,657,4,-0.7026405629120176,down
STARD9,657,4,-0.7049385343084429,down
CTSF,658,4,-0.7069292819789531,down
CYP27A1,658,4,-0.7073152075938145,down
HSPA12A,658,4,-0.7066066614794623,down
LYPD6B,658,4,-0.7066994699226673,down
MLXIP,658,4,-0.7076966821437632,down
TAFA5,658,4,-0.7055985646551725,down
THSD7A,658,4,-0.7082386876109281,down
ZNF844,658,4,-0.708170029950558,down
AP3D1,659,4,0.44926188563323904,up
CENPX,659,4,0.44799901028460865,up
CHCHD1,659,4,0.4476177668927487,up
CLCA2,659,4,0.44786260549251933,up
CLPP,659,4,0.4480047465770789,up
LACTB,659,4,0.44935924814591793,up
MAPK14,659,4,0.44810518862512677,up
SLC18B1,659,4,0.4486524975595848,up
TNFRSF10A,659,4,0.44749212351039597,up
CEP170B,660,4,0.44561157254690764,up
NAPRT,660,4,0.44666704728701817,up
SCNN1A,660,4,0.44625964880197855,up
SLC13A4,660,4,0.44615110717228784,up
TRMT1,660,4,0.4458127433601671,up
FURIN,661,4,0.4437931483741129,up
HOXC13,661,4,0.44332619493217473,up
KRT80,661,4,0.44197805150228053,up
LRRC8D,661,4,0.44429792526622813,up
PPP4C,661,4,0.44468633083481063,up
SOX15,661,4,0.4418612722172926,up
YARS1,661,4,0.4444719051407199,up
ANKRD40,662,4,-0.4426571151591034,down
ANP32A,662,4,-0.4424964969098637,down
ARNT,662,4,-0.44553108031186706,down
ATF7,662,4,-0.44359608928118754,down
MUCL1,662,4,-0.44564755129627037,down
PMP22,662,4,-0.44574173317064,down
PSIP1,662,4,-0.44431159866252545,down
RBMS2,662,4,-0.44284219900481736,down
SELENOP,662,4,-0.44303928622591193,down
SPARCL1,662,4,-0.4456990634508136,down
ANKRD6,663,4,-0.6547894537747204,down
ARHGEF10,663,4,-0.6554791378517997,down
COQ8A,663,4,-0.6554779712538026,down
P4HA1,663,4,-0.6539330026305773,down
RERG,663,4,-0.6542297325367659,down
TBX3,663,4,-0.656202803768383,down
TRPC1,663,4,-0.6562888111213232,down
ZKSCAN8,663,4,-0.655215038840644,down
ZNF397,663,4,-0.6548871718749993,down
CCND1,664,4,-0.6530667661637937,down
DAB2,664,4,-0.652090525228195,down
DORIP1,664,4,-0.6518474633462217,down
FGFR1,664,4,-0.6509709972743409,down
GNE,664,4,-0.6525081282961449,down
IGFBP5,664,4,-0.6517479988114865,down
ZNF346,664,4,-0.6510842529950563,down
ANO10,665,4,0.4924512179893509,up
CD6,665,4,0.49550210124556243,up
CSK,665,4,0.4929724257257856,up
FAHD1,665,4,0.49400495306161196,up
METAP1,665,4,0.49509924502408753,up
NIP7,665,4,0.4944850466531433,up
S100A16,665,4,0.4942071468845097,up
SPTSSA,665,4,0.4933646355856991,up
FTSJ3,666,4,0.2582002280837991,up
INHBC,666,4,0.1575914909514439,up
NDUFA8,666,4,0.26542363173491307,up
PDE8A,666,4,0.24503974679893392,up
CENPA,667,4,0.16193623450177513,up
MRPL32,667,4,0.28111685840834166,up
NAA10,667,4,0.21071566773897007,up
NKG7,667,4,0.3385781522724395,up
POLR1C,667,4,0.2715940224391483,up
PPA1,667,4,0.2387248046716554,up
WIPI2,667,4,0.1930664242995674,up
MT-ND4,668,4,-0.11021972271171387,down
RPL27,668,4,-0.0691978949828845,down
RPL34,668,4,-0.06927862723440777,down
RPL35A,668,4,-0.10639027407137387,down
RPL5,668,4,-0.09858037479398798,down
RPL7,668,4,-0.1119391320360042,down
RPL9,668,4,-0.09594850884254841,down
RPLP1,668,4,-0.06987252068014593,down
RPS27,668,4,-0.08617145938450722,down
RPS4X,668,4,-0.09553675711523696,down
RPS6,668,4,-0.08076005044054126,down
ATAD5,669,4,-0.06158318784863022,down
GIT1,669,4,-0.10967976469003475,down
HOXD9,669,4,-0.16047823378866724,down
MRPL41,669,4,-0.23559337416011714,down
ARHGEF18,670,4,0.30331673019143046,up
NHP2,670,4,0.30313231533658724,up
PDZD11,670,4,0.3028069548047659,up
PWWP2A,670,4,0.3032772118249259,up
TRAF3,670,4,0.3022659653587708,up
EEIG1,671,4,0.30190653576635446,up
HSPE1,671,4,0.301290378375379,up
LCMT1,671,4,0.30184596060471525,up
MAP2K2,671,4,0.30169966927611663,up
SP100,671,4,0.3013531502440425,up
STX10,671,4,0.3012256405933057,up
E2F5,672,4,-0.09837651082340275,down
RALA,672,4,-0.06609499568965553,down
RPL37A,672,4,-0.02479893334812195,down
CACNA1G,673,4,-0.18890058717355485,down
HVCN1,673,4,-0.19969704739794616,down
KLC1,673,4,-0.1948281322103193,down
MED13,673,4,-0.12374908329107283,down
SLN,673,4,-0.18935896992266715,down
ZMAT3,673,4,-0.19066981925076132,down
ZNF438,673,4,-0.1953435093021047,down
CDCA8,674,4,1.2944643634317954,up
CKS2,674,4,1.2914672143445736,up
CYP27B1,674,4,1.2865645516449034,up
DIAPH3,674,4,1.2890694531249995,up
GPR68,674,4,1.2843322685725158,up
MICALL1,674,4,1.288959368011537,up
VMP1,674,4,1.2918768339091034,up
ATG2A,675,4,0.6818224086745696,up
CCDC51,675,4,0.6837801564560095,up
CCNF,675,4,0.6784109702554519,up
DPH2,675,4,0.6800903965834164,up
LY6D,675,4,0.6785034184520773,up
PANX1,675,4,0.6843258840644031,up
