gene,cluster_id
B3GNT3,152
B3GNT9,175
B4GALNT2,-1
B4GALT4,215
B4GALT5,466
B4GAT1,68
BACE1,439
BACE2,-1
BACH1,295
BACH2,225
BAG2,505
BAG3,534
BAG5,441
BAG6,517
BAHD1,317
BAIAP2L1,266
BAIAP2L2,610
BAIAP3,687
BAK1,618
BAMBI,381
BANF1,598
BAP1,610
BARD1,606
BASP1,753
BATF,684
BATF2,21
BATF3,767
BAX,31
BAZ1A,444
BAZ1B,44
BAZ2B,186
BBIP1,578
BBS1,566
BBS10,768
BBS2,235
BBX,135
BCAM,369
BCAP29,279
BCAP31,108
BCAR1,179
BCAR3,251
BCAS4,-1
BCAT2,254
BCHE,89
BCKDHB,556
BCKDK,126
BCL11A,560
BCL11B,789
BCL2,183
BCL2A1,54
BCL2L10,133
BCL2L11,386
BCL2L12,239
BCL6,791
BCL9,541
BCLAF3,228
BCO1,547
BCO2,46
BCORL1,539
BDH2,192
BDKRB1,707
BDKRB2,565
BDP1,335
BEAN1,298
BEGAIN,558
BEND3,246
BEND5,504
BEND7,358
BET1L,572
BEX2,546
BEX3,85
BEX4,285
BEX5,82
BFAR,375
BGN,196
BHLHA15,381
BHLHE40,653
BHLHE41,574
BHMT2,119
BICDL1,354
BICDL2,722
BICRAL,282
BID,713
BIK,534
BIN1,224
BIN2,-1
BIN3,55
BIRC3,57
BIRC5,776
BIRC6,342
BIRC7,648
BIVM,127
BKGD,313
BLACAT1,150
BLM,169
BLMH,521
BLNK,221
BLOC1S1,-1
BLOC1S2,-1
BLOC1S3,167
BLOC1S4,774
BLTP1,804
BMAL1,556
BMAL2,736
BMERB1,170
BMP4,441
BMP6,185
BMP7,306
BMPER,647
BMPR1A,376
BMPR1B,378
BNC1,72
BNC2,610
BNIP1,152
BNIP2,778
BNIP3,773
BOC,436
BOD1,468
BOD1L1,204
BOK,716
BOLA2,614
BOLA2B,536
BOLA3,797
BORA,688
BORCS5,443
BORCS6,409
BORCS8,432
BPHL,485
BPIFC,761
BPNT2,201
BPTF,702
BPY2,209
BRCA1,594
BRD1,255
BRD10,523
BRD2,460
BRD3,277
BRD4,3
BRI3BP,307
BRIP1,720
BRK1,746
BRMS1,99
BRPF3,335
BRSK1,222
BRWD1,489
BRWD3,316
BSDC1,44
BSG,548
BST1,202
BST2,385
BTBD10,447
BTBD16,299
BTBD18,417
BTBD19,542
BTBD3,448
BTBD6,603
BTBD7,193
BTBD8,32
BTC,422
BTF3L4,543
BTG1,130
BTNL9,49
BUB1B,302
BUD13,327
BUD31,481
BYSL,184
BZW1,289
BZW2,338
C11orf21,431
C11orf68,224
C11orf71,195
C11orf96,418
C11orf98,535
C12orf54,688
C12orf56,54
C12orf57,230
C12orf75,262
C12orf76,60
C14orf119,771
C14orf132,168
C14orf93,622
C15orf61,357
C15orf62,761
C16orf46,592
C17orf67,483
C18orf54,55
C19orf18,84
C19orf33,335
C19orf53,398
C19orf73,311
C1GALT1,517
C1GALT1C1L,224
C1QB,620
C1QBP,690
C1QC,76
C1QTNF1,177
C1QTNF2,590
C1QTNF3,164
C1QTNF7,429
C1R,48
C1orf115,110
C1orf159,256
C1orf162,581
C1orf198,742
C1orf216,8
C1orf50,521
C1orf53,757
C1orf54,112
C1orf56,731
C1orf74,74
C2,581
C21orf58,459
C22orf39,657
C2CD2,101
C2CD4B,321
C2CD5,149
C2orf68,781
C2orf76,342
C3,495
C3AR1,-1
C3orf18,188
C3orf38,372
C3orf52,176
C3orf70,183
C3orf80,741
C4orf46,740
C5,327
C5orf15,438
C5orf46,299
C5orf58,560
C6,495
C6orf15,424
C6orf47,796
C6orf89,782
C7,756
C7orf25,515
C7orf57,796
C8orf48,533
C8orf76,456
C8orf82,211
C8orf88,656
C9orf152,478
C9orf85,191
CA11,693
CA3,655
CA6,426
CAB39,447
CAB39L,225
CABLES1,346
CABLES2,371
CABP4,78
CABP7,490
CACNA1C,559
CACNA1D,145
CACNA1G,673
CACNA2D1,576
CACNA2D2,764
CACNA2D3,721
CACNB1,1
CACNB2,486
CACNB3,538
CACNB4,92
CACNG6,217
CACNG8,558
CACYBP,543
CADM1,544
CADM2,592
CADM3,172
CADPS,89
CADPS2,682
CALB2,462
CALCOCO2,475
CALCRL,558
CALD1,801
CALHM2,548
CALHM5,505
CALHM6,736
CALM3,790
CALML3,57
CALML4,55
CALML5,688
CALR,12
CAMK1G,596
CAMK2N1,51
CAMK4,522
CAMP,709
CAMSAP3,656
CAMTA1,530
CAND1,323
CAND2,657
CAP1,338
CAP2,402
CAPG,709
CAPN1,324
CAPN13,556
CAPN15,480
CAPN7,265
CAPNS1,255
CAPNS2,719
CAPRIN1,509
CAPRIN2,601
CAPS,261
CARD10,621
CARD14,221
CARD6,156
CARD8,355
CARF,559
CARHSP1,760
CARM1,263
CARMIL2,647
CARMIL3,569
CASD1,32
CASK,190
CASP2,511
CASP3,93
CASP5,259
CASP6,555
CASP7,564
CASP9,256
CASQ2,214
CAST,362
CAT,283
CATSPERB,518
CATSPERG,334
CATSPERH,46
CAV1,566
CAV2,587
CAVIN1,378
CAVIN2,787
