gene,cluster_id
APOBEC3C,334
APOBEC3D,242
APOBEC3G,-1
APOBR,75
APOE,339
APOL3,251
APOL4,17
APOL6,515
APOLD1,326
APPL2,39
APRT,685
APTX,377
AQP1,530
AQP11,692
AQP8,73
AQP9,297
AR,683
ARAP3,11
ARCN1,246
AREG,535
ARF3,512
ARF4,543
ARF5,30
ARF6,395
ARFGAP1,660
ARFGAP3,333
ARFGEF2,92
ARFGEF3,459
ARFIP1,349
ARG2,186
ARHGAP11A,13
ARHGAP17,319
ARHGAP19,542
ARHGAP20,518
ARHGAP21,278
ARHGAP25,645
ARHGAP26,330
ARHGAP27,434
ARHGAP28,402
ARHGAP29,239
ARHGAP30,407
ARHGAP31,199
ARHGAP39,756
ARHGAP42,522
ARHGAP44,164
ARHGAP5,800
ARHGAP9,404
ARHGDIB,78
ARHGEF10,758
ARHGEF12,102
ARHGEF19,578
ARHGEF25,318
ARHGEF3,461
ARHGEF37,60
ARHGEF39,124
ARHGEF40,403
ARHGEF6,712
ARHGEF7,241
ARHGEF9,134
ARID3A,533
ARID4B,27
ARID5B,239
ARIH1,796
ARK2N,574
ARL13B,343
ARL14,766
ARL15,349
ARL17B,636
ARL3,705
ARL4C,295
ARL5B,600
ARL6IP5,293
ARL6IP6,341
ARL8A,277
ARMC1,221
ARMC10,156
ARMC6,563
ARMC8,350
ARMCX1,190
ARMCX2,412
ARMCX3,641
ARMCX4,683
ARMCX5,611
ARMCX6,23
ARNT2,233
ARPC1B,138
ARPC2,504
ARPC5,395
ARPC5L,124
ARPIN,51
ARRB1,482
ARRDC1,772
ARRDC4,400
ARSA,464
ARSF,346
ARSK,77
ARSL,270
ARV1,571
ASAH1,725
ASAP1,365
ASAP2,102
ASAP3,3
ASB2,751
ASB7,-1
ASB8,515
ASB9,214
ASCC1,528
ASCC2,468
ASCC3,358
ASCL2,673
ASF1B,737
ASIC1,593
ASIC4,318
ASNS,769
ASNSD1,324
ASPA,234
ASPH,317
ASPHD1,178
ASPM,641
ASPSCR1,772
ASRGL1,120
ASTE1,119
ASXL1,266
ATAD1,37
ATAD2,656
ATAD3A,745
ATAD3B,442
ATAD5,610
ATE1,693
ATF3,252
ATF4,20
ATF7IP,480
ATG101,138
ATG14,456
ATG16L1,731
ATG2A,279
ATG2B,349
ATG3,312
ATG4A,167
ATG4B,92
ATG4D,355
ATIC,5
ATL1,167
ATL2,246
ATL3,37
ATM,462
ATMIN,-1
ATOH1,405
ATOH8,771
ATOSA,423
ATOX1,442
ATP10B,646
ATP10D,292
ATP11A,180
ATP11B,456
ATP11C,-1
ATP13A1,551
ATP13A2,776
ATP13A3,789
ATP1A2,152
ATP1B3,693
ATP23,194
ATP2A2,169
ATP2A3,38
ATP2B1,523
ATP2C1,94
ATP2C2,587
ATP5F1A,571
ATP5F1B,319
ATP5F1C,402
ATP5F1D,478
ATP5F1E,94
ATP5IF1,468
ATP5MC2,127
ATP5MC3,781
ATP5MK,339
ATP5PB,696
ATP5PD,233
ATP5PF,786
ATP5PO,129
ATP6AP1,93
ATP6AP2,698
ATP6V0D1,135
ATP6V0D2,416
ATP6V0E2,552
ATP6V1B2,252
ATP6V1C2,264
ATP6V1D,574
