gene,cluster_id,random_effect,random_se,random_p,fixed_effect,fixed_se,fixed_p,i_squared,tau_squared,cochran_q,n_datasets,direction
FANCA,14,0.8533641823681873,0.11110371752653687,1.5811204311094267e-14,0.8533641823681873,0.11110371752653687,1.5811204311094267e-14,0.0,0.0,1.312387398205223,3,up
LEF1,14,1.2438369120207688,0.1405534307323762,8.786001068405414e-19,1.2438369120207688,0.1405534307323762,8.786001068405414e-19,0.0,0.0,1.1928699038754522,3,up
MKI67,14,1.3952363531026915,0.272610434790211,3.086956619237779e-07,1.3478305579933838,0.15290124096084567,1.196423183173957e-18,67.45421695428706,0.14988845850754667,6.145189369666888,3,up
MRE11,14,1.0612956290807516,0.20914407906171295,3.885748491539272e-07,0.9534972356830896,0.10134058063637842,5.016458255945195e-21,72.06554943491298,0.09045670838492398,7.159618175915141,3,up
PMS1,14,0.47076038289708494,0.13820935214185515,0.0006588841702589038,0.4212529681001723,0.05838421366030459,5.386025764268022e-13,64.225716670406,0.0337734711776457,5.59060815159787,3,up
RRM1,14,0.6959096860993552,0.08497958996963094,2.6310123995584977e-16,0.6959096860993552,0.08497958996963094,2.6310123995584977e-16,0.0,0.0,0.17632797404831033,3,up
TNFRSF10A,14,0.7092407594211326,0.1557182841174472,5.247531289742992e-06,0.7192149983972616,0.08904023555220107,6.61537193266267e-16,67.07464284064754,0.04876077553730674,6.074345648918493,3,up
CCL5,15,-1.3788133075612563,0.17718074997347938,7.141009093257402e-15,-1.34765596620446,0.1261764274865816,1.2528672205865923e-26,45.20221345681615,0.04246465027301064,3.649782456858697,3,down
CDKN1A,15,-0.9158580805487958,0.10256793823026107,4.287812179767989e-19,-0.9214990867437721,0.09298556151735116,3.761530114976917e-23,16.72443164853503,0.0053627377065444525,2.401664785473441,3,down
IGF1,15,-1.2303675296248744,0.38928922094033275,0.0015747229396431063,-1.1024225344771237,0.184725189459529,2.403179978207263e-09,74.29673131367707,0.33526137383192045,7.781111517011954,3,down
MAPK3,15,-0.5718500441430558,0.1698043303685614,0.0007579802530534947,-0.5458572504815566,0.06872760007685774,1.9841888306524217e-15,83.18815127736887,0.07180600372157939,11.896371618593715,3,down
RIPK3,15,-0.7958564107224402,0.11851561757119965,1.8780479626502664e-11,-0.8241462798568477,0.07274900041205158,9.467734547644423e-30,60.414329474866655,0.025356553789882646,5.052333264710471,3,down
TIAM1,15,-1.2674673033735577,0.1925017457317798,4.573841813961193e-11,-1.2145716361828225,0.1347020904596437,1.9379705188812193e-19,44.63899041897909,0.049339235615190845,3.6126508803510844,3,down
ASCL2,16,3.3787512120205485,0.34391466064521786,8.840900767579548e-23,3.408450890581419,0.1956216953219153,5.4547647009312096e-68,67.360888724721,0.23880801493755768,6.1276178236961005,3,up
CXCL1,16,3.1848630144148737,0.733857309436988,1.4255139099075125e-05,3.0890176512059404,0.21433386876829205,4.338176107761867e-47,91.41852261154852,1.4764810380638795,23.30601025286741,3,up
CXCL2,16,2.9892699893685064,0.9941717822699595,0.0026401840246252145,2.935950954889826,0.2293894023622128,1.6611338498543326e-37,94.62154690737731,2.804069511574348,37.18541308361104,3,up
CXCL5,16,3.0178482851120165,0.2945580401649338,1.2418305721939505e-24,3.0178482851120165,0.2945580401649338,1.2418305721939505e-24,0.0,0.0,0.2164816382003647,3,up
GDF15,16,2.95822769390166,0.26458288187030976,5.067591614978073e-29,3.023683137328845,0.14934221462365813,3.800498833639289e-91,64.89899091319722,0.1357408199358684,5.6978418912519455,3,up
MMP1,16,3.5174335188556927,0.8260352134893034,2.060679664971186e-05,3.2155546582966665,0.2434168675001923,7.674967183796435e-40,90.6927045344853,1.8505537493260313,21.48851948893619,3,up
PSAT1,16,2.864496444539061,0.38802535626351387,1.5564786950626533e-13,2.9138359062401804,0.14394799263517596,4.1547653814223685e-91,85.99701338581727,0.3879084218192794,14.28266737021892,3,up
REG1A,16,3.586304523190958,1.1159922069755457,0.00131101791889225,4.060272814400626,0.41846478428056094,2.9338615392138835e-22,84.79559278124054,3.151689993860752,13.154080729516142,3,up
ACVR2A,17,-0.39010654639959796,0.07649698181467897,3.40312356718553e-07,-0.3898487806197582,0.06935826619850248,1.9007778537304844e-08,13.592886981702327,0.002568902651599256,2.314624259667694,3,down
AXIN1,17,0.5356690792926702,0.09992742960834274,8.295472667919999e-08,0.5356690792926702,0.09992742960834274,8.295472667919999e-08,0.0,0.0,1.1502321891261047,3,up
CD3E,17,-0.483402884048596,0.09199625173280386,1.4835196101381158e-07,-0.483402884048596,0.09199625173280386,1.4835196101381158e-07,0.0,0.0,1.70066440217298,3,down
DNMT3A,17,0.570007666962643,0.07872308599833507,4.464827646177279e-13,0.570007666962643,0.07872308599833507,4.464827646177279e-13,0.0,0.0,0.897996750382134,3,up
KRAS,17,-0.5179157128877068,0.09212383655678565,1.8881261435855122e-08,-0.5179157128877068,0.09212383655678565,1.8881261435855122e-08,0.0,0.0,1.3552233600434482,3,down
MTAP,17,0.5915468542363004,0.2268331699975177,0.009111290401987096,0.5347316493342822,0.08722143817023786,8.747321197925653e-10,78.17651502328872,0.1092768279399008,9.164439144959111,3,up
NBN,17,0.37066945473336066,0.15137511244678448,0.014338012585507298,0.331699445898483,0.06660537155338413,6.356111509173949e-07,71.42327330143196,0.04390243376000812,6.998702199507749,3,up
RELA,17,0.579015635462091,0.19914751957587531,0.003643641408696641,0.544335042929112,0.08510226363950427,1.5924301722303314e-10,75.83578718700605,0.08672630761279704,8.276702475176553,3,up
CCL20,18,1.7191959406671866,0.5088833611448845,0.0007291707668911961,1.740425746944827,0.2517225794174307,4.709661908895313e-12,75.49705891881095,0.5864394309830451,8.162285471662841,3,up
MMP13,18,1.2161024362764759,0.21977466117815053,3.140712728443627e-08,1.2161024362764759,0.21977466117815053,3.140712728443627e-08,0.0,0.0,0.18272706083385037,2,up
RAD51C,18,0.7745834535903638,0.3170618660452882,0.014565569911311249,0.6420891809840986,0.13181805065042665,1.1102010431707886e-06,81.06510649139615,0.2417685693441425,10.562509892602336,3,up
RB1,18,0.4905329976975906,0.18107449614107607,0.0067483882336075865,0.40649302688517075,0.08281916502478767,9.191608927522312e-07,71.13717842906743,0.06260415284880644,6.9293294665764,3,up
TGFB2,18,0.5734814272760874,0.2174302393444689,0.008350923954368508,0.5067129453459991,0.091139607262917,2.7016961109452982e-08,76.32393619917124,0.10676681110397888,8.447350103567436,3,up
AKT2,19,0.49804401921239844,0.1983493318135566,0.012040887442701789,0.35474790093453296,0.07769247241839938,4.969945592549686e-06,78.59558765581038,0.08308830166377758,9.343867833600736,3,up
DKK3,19,0.6445623589669184,0.20663135940209812,0.001812301924204298,0.5901509601046413,0.1352492319253251,1.2803717339928071e-05,54.116242366459275,0.06928274771409924,4.358840912667565,3,up
DKK4,19,0.9845827097891603,0.20981705106766307,2.697846790595624e-06,0.9845827097891603,0.20981705106766307,2.697846790595624e-06,0.0,0.0,0.6396339689431982,2,up
DVL3,19,0.36949104364046226,0.14549934641584808,0.011102096244292212,0.38524474737838466,0.086124733115369,7.709284836538074e-06,51.50656735047908,0.0332436909520738,4.124269804644895,3,up
IRS1,19,0.6592779128278754,0.27403421942348927,0.0161360668689579,0.5554022415171869,0.14371184930002875,0.00011122880939313802,68.90721117607545,0.1513891577098129,6.432359642378195,3,up
CD44,21,0.8908853999808338,0.28732916007246617,0.0019314577093557986,0.8259733675890899,0.09601772887256067,7.813381905627394e-18,85.76804815396329,0.20550402453584654,14.052886221343961,3,up
CDC25A,21,1.247383018838378,0.736936067967107,0.09051999283521298,0.46479004548401837,0.09579526256633236,1.2227777179922304e-06,97.14102499786816,1.5736522020037573,69.95514121350001,3,up
CDKN2A,21,0.5513423589699787,0.2038904085397951,0.006848734368700102,0.516695693205872,0.07930414581995333,7.251166939785515e-11,84.31730966196851,0.10479017175891718,12.752913925424371,3,up
IGF2R,21,0.4691820257412871,0.18221445275998388,0.010027220371719622,0.433787504742565,0.0708388005451548,9.149229418328709e-10,68.59669999681121,0.06728963975446593,6.36875742293617,3,up
MSH2,21,0.6810550301237425,0.2299164040301312,0.0030546372666204365,0.7514804895334507,0.09727555898438962,1.1161171211908339e-14,79.14190022951367,0.12437454263050719,9.588601176555636,3,up
PFKFB3,21,0.8443336385571832,0.31407844330777523,0.007181919900605819,0.7310597331299356,0.09652389920539563,3.62259176800263e-14,84.08325899533492,0.24151776870477676,12.56538634016733,3,up
PTGES,21,0.7893101391093154,0.3048896750940196,0.009630023789925857,0.7127697451041968,0.11558816374095267,6.983590045378264e-10,84.7931937127113,0.23455867105398986,13.152005504744219,3,up
SERPINE1,21,1.3149378948504147,0.7058704569342678,0.06248195474854684,1.2762365684727892,0.16969485707208973,5.445315274115189e-14,93.87943873253334,1.400433396328672,32.676741766001705,3,up
B2M,22,-0.329853987292551,0.19134460636148884,0.08473059632693083,-0.18897006476868594,0.03685390432029387,2.9354432529529907e-07,95.18962929248147,0.1037799564894378,41.576837246119815,3,down
CD8A,22,-1.1918676679257048,0.3653876121099196,0.0011065768876831047,-1.2402960915404508,0.1571784957206452,2.9976576175850573e-15,80.70117840935855,0.32220020318819564,10.363327059149858,3,down
CSF1R,22,-0.8845792577571996,0.33580425634408745,0.008433306831513332,-0.8417303860392336,0.15165255040167586,2.8503745466164304e-08,78.06148558936671,0.260547726809315,9.116387566473634,3,down
GADD45A,22,-0.5925800982273833,0.24094796615373787,0.013918125692667987,-0.4930731902912744,0.07810773944656287,2.7415284289750694e-10,88.66177870661296,0.15278779284576707,17.63945109420726,3,down
