gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
C4A,3,3,0.20019253163168926,0.20019253163168926,False
CDK18,3,3,-0.12935008468548084,-0.12935008468548084,False
CELF1,3,2,0.06059252491198883,0.06749878160657499,True
COX6B1,3,3,-0.1280796416572881,-0.1280796416572881,True
CPLX1,3,2,-0.17915885839014054,-0.25574359243201406,True
CS,3,3,-0.14306115074104442,-0.14306115074104442,True
CSMD1,3,2,-0.02891819746830927,-0.07611620220951788,True
DAGLA,3,2,-0.1509193373778924,-0.14385390538699575,True
DAXX,3,3,0.13004015717825967,0.13004015717825967,True
DBI,3,3,0.21250038067354804,0.21250038067354804,True
DDB1,3,3,-0.10811056022285721,-0.10811056022285721,True
DHRS11,3,3,-0.1962400442379476,-0.1962400442379476,True
DLAT,3,2,-0.14546987001682346,-0.17193883483237934,True
DLGAP2,3,2,-0.2133774669521503,-0.1453221030405999,True
DNAJC6,3,3,-0.19725417527728042,-0.19725417527728042,True
DNM1,3,3,-0.1747490454838542,-0.1747490454838542,True
DPP6,3,3,-0.18284522214863216,-0.18284522214863216,True
ENO3,3,2,-0.05601385280685436,-0.11073662707401347,True
ERBB3,3,2,0.07925866493829144,0.08665728106457726,True
FARSA,3,3,-0.14882544714398088,-0.14882544714398088,True
FCER1G,3,2,0.20820116465178087,0.2586083760329577,True
FGF2,3,2,0.10655069299801974,0.15979888517827298,False
FOXO1,3,3,0.23723561557362605,0.23723561557362605,True
FRAT2,3,3,0.12607365770563023,0.12607365770563023,True
GABRA2,3,2,-0.04846954702905465,-0.12430269647737566,True
GAPDH,3,3,-0.10342884302251494,-0.10342884302251494,True
GCDH,3,2,-0.005825067594320189,0.026939553428264477,True
GRIA2,3,3,-0.3205024864602651,-0.3205024864602651,True
GSN,3,3,0.22843836800311354,0.22843836800311354,True
HABP4,3,3,-0.1598279819925272,-0.1598279819925272,True
HOMER1,3,2,-0.16092158560879208,-0.15977175685185463,True
HPR,3,3,0.06420208746661316,0.06420208746661316,False
HSPA2,3,2,0.18541048854379757,0.17107992402189084,True
HSPB2,3,3,0.24668793848724477,0.24668793848724477,True
IGFBP5,3,3,0.21979206949560767,0.21979206949560767,True
ISYNA1,3,3,0.2372795253507951,0.2372795253507951,True
ITGB2,3,3,0.31833503940131475,0.31833503940131475,True
ITPK1,3,3,0.11496320552433255,0.11496320552433255,True
KCNK4,3,3,-0.19826705589128948,-0.19826705589128948,True
KCNN3,3,3,0.30134689887019633,0.30134689887019633,True
LAIR1,3,2,0.17569491853458183,0.2359100893200284,True
LAMA4,3,3,0.09765120466457829,0.09765120466457829,True
LAPTM5,3,3,0.27005802298068143,0.27005802298068143,True
MAF1,3,3,0.15062137973587,0.15062137973587,True
MAP1B,3,3,-0.2653466209306249,-0.2653466209306249,True
MAP2,3,3,-0.1321227513640948,-0.1321227513640948,True
MDH2,3,3,-0.22036996278367607,-0.22036996278367607,True
MEF2C,3,2,-0.18754487162304959,-0.23534085373687189,True
MRPL37,3,2,-0.03325186101140624,-0.044813385012838707,True
MSN,3,3,0.22600843554303954,0.22600843554303954,True
MTHFD1,3,2,-0.03229502667365083,0.028893781345484558,True
MYO1D,3,3,0.18625086888802767,0.18625086888802767,True
NDUFA13,3,2,-0.07559489488133926,-0.09104222622579504,True
NDUFS3,3,3,-0.14391738881773866,-0.14391738881773866,True
NDUFV1,3,2,-0.13891841347047199,-0.17352119562606766,True
NGFR,3,2,0.12119464650622432,0.19036369735844266,True
NLRC5,3,2,-0.009007318376066109,0.031929582632577364,True
NPM3,3,2,-0.09005431357141702,-0.10105873522004744,True
NRN1,3,3,-0.3718525503381496,-0.3718525503381496,True
NRXN3,3,3,-0.32801318178246713,-0.32801318178246713,True
NSF,3,3,-0.36929953680198374,-0.36929953680198374,True
NTRK2,3,3,0.034288170366645554,0.034288170366645554,False
NUPR1,3,3,0.37598076742965064,0.37598076742965064,True
OLFM3,3,2,-0.26177316716243687,-0.4183237465073246,True
PAK1,3,3,-0.5977480896771608,-0.5977480896771608,True
PCM1,3,3,-0.06009235791147253,-0.06009235791147253,True
PDHA1,3,3,-0.13755629926422422,-0.13755629926422422,True
PDHB,3,3,-0.15826551239479134,-0.15826551239479134,True
PGM5,3,2,-0.026893882669409064,-0.028038298143663265,True
PHYHD1,3,3,0.2638756866821708,0.2638756866821708,True
PICALM,3,3,-0.013250431794470349,-0.013250431794470349,False
PLEC,3,2,0.04061732691250186,0.10995271582547506,True
PLG,3,2,-0.05548868489611961,-0.09025021835639754,False
PLXNB1,3,3,0.38671400284156504,0.38671400284156504,True
POLR2G,3,2,-0.0021922639576490988,-0.03770077417340398,True
PRDX1,3,2,0.056632111973250944,0.09086665690674817,True
PRDX6,3,2,0.16711234924726015,0.1835150752162361,True
PREX1,3,2,0.1420390890873405,0.17173073804384045,True
PRPF31,3,3,0.08107885444318481,0.08107885444318481,True
PSMC3,3,3,-0.1735911057033754,-0.1735911057033754,True
PTPN6,3,3,0.18871374304765723,0.18871374304765723,True
PTPRC,3,3,0.2202541797590094,0.2202541797590094,True
PYGL,3,3,0.2660142058739878,0.2660142058739878,True
RAB27B,3,2,-0.19360764518763732,-0.16977565409460427,True
RAB3A,3,3,-0.1593011414738987,-0.1593011414738987,True
RABEP1,3,2,-0.07788667635053281,-0.1287593020791309,True
RABEP2,3,2,0.004281343558603157,0.05285296146911653,True
RAPGEF2,3,2,-0.06545933274365777,-0.010991498404337035,False
RHPN2,3,2,0.11007250174649985,0.09210500738501903,True
RPH3A,3,3,-0.43408762598560285,-0.43408762598560285,True
RTN1,3,3,-0.4764144995770838,-0.4764144995770838,True
RUFY3,3,3,-0.184804283263282,-0.184804283263282,True
SCARA3,3,3,0.3208142080491907,0.3208142080491907,True
SCG3,3,3,-0.24886150550970698,-0.24886150550970698,True
SEMA3F,3,3,0.0460975213015243,0.0460975213015243,False
SEPTIN10,3,3,0.20522727875420013,0.20522727875420013,True
SERPINI1,3,2,-0.3425007316829782,-0.343908875684209,True
SLC12A4,3,2,0.057829086907262926,0.15096181873268,True
SLC22A23,3,3,0.07870317226133666,0.07870317226133666,True
SLC25A11,3,2,-0.06663436834073293,-0.03920318141956696,True
SLC25A19,3,2,0.015057914072059161,0.033664283092995156,True
SLIT2,3,2,-0.11158503310066147,-0.09802969171656686,True
SPCS1,3,3,-0.14437680881103004,-0.14437680881103004,True
SPTB,3,3,0.12417516449456499,0.12417516449456499,True
STAU1,3,2,0.042253256002659174,0.04614881770727154,True
SULT1A3,3,3,0.1432879445431748,0.1432879445431748,True
SUMF1,3,2,0.1413980010466712,0.20536507203997262,True
SV2B,3,3,-0.3274688133846817,-0.3274688133846817,True
SYK,3,2,0.13441716173247442,0.2454849254652383,True
SYNGR4,3,2,-0.08268348908107026,-0.1461469225783087,True
SYT1,3,3,-0.6647598364972539,-0.6647598364972539,True
SYT7,3,3,-0.09840290543228773,-0.09840290543228773,True
TAGLN3,3,3,-0.3607201003847043,-0.3607201003847043,True
TARDBP,3,2,0.024628304532931383,0.05495976607230697,True
TKFC,3,3,-0.03970466057931151,-0.03970466057931151,False
TRIOBP,3,3,0.2346816649342829,0.2346816649342829,True
VGF,3,3,-0.6181731876306351,-0.6181731876306351,True
ADAM10,3,2,0.000347074422338232,-0.03715680602865702,True
ADAMTS17,3,2,0.06237633070935631,0.021209371901418334,True
ADAMTS2,3,2,0.05615403987718243,0.09810996833278465,True
ADAMTS20,3,2,-0.013149710017767305,0.02105831181736076,True
ADARB2,3,2,0.07150320399897903,0.17754796374454468,True
ADGRF2P,3,2,0.0634428200275033,0.10413933827557455,False
ADGRL2,3,2,-0.025351610012436864,-0.09731494959339297,True
AFF1,3,3,0.19004901281740372,0.19004901281740372,True
AFF3,3,2,0.005606192741246141,0.03066482184425089,True
AGAP1,3,2,0.009472823917287848,-0.038196994795938674,True
AHNAK,3,3,0.11045920050268787,0.11045920050268787,True
AKAP6,3,3,-0.19490921055192836,-0.19490921055192836,True
ALCAM,3,2,0.013815673206813381,-0.05582562438360884,True
ALDH1A2,3,2,0.08487783228982847,0.06817424636055999,True
AMPH,3,2,-0.17131117559597672,-0.18989551752520917,True
