gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
ITPR1,3,2,-0.2830043346949604,-0.7561466547870586,True
KANK1,3,2,0.40341050428446995,0.29654755780338604,True
KATNAL1,3,2,0.27170257823411365,0.44939570900501646,False
KDM1A,3,2,0.3149609594140446,-0.12385291917753749,True
KIAA0232,3,2,0.12094080695335278,-0.2304060879950165,True
LAMB1,3,2,0.0055945824584933135,-0.3327719282663901,True
LHX2,3,3,0.6756608768470093,0.6756608768470093,True
LIN7B,3,2,-0.08337552770471879,-0.28228999812807953,True
LRRC4,2,2,-0.14365602139187317,-0.14365602139187317,False
MBD1,3,2,-0.0072565366944286796,0.019335370105735272,False
MCM4,3,2,-0.09173288156995785,-0.36614675426023746,True
MDGA2,3,2,-0.011369755449441262,-0.30687220222562406,True
MEF2C,3,2,0.04670906427791325,0.08199209335981816,False
MYCBP2,3,2,0.25624972466005974,0.44544530776573055,False
MYH9,3,3,0.7759351317322688,0.7759351317322688,True
NAV2,3,2,0.5525778612018929,0.37688027800836776,True
NBEA,3,2,-0.14304614647817124,-0.3734515268305998,True
NEGR1,3,2,-0.3779446907379252,-0.6160962730713222,True
NFE2L3,2,2,0.6969255044582612,0.6969255044582612,True
NIPA2,3,2,0.13748023923650296,-0.20801489058458555,True
NPAS3,3,2,0.43596387126978325,0.3087010008871882,True
NPTN,3,2,-0.07054808201313634,-0.38653632378325753,True
NR3C2,3,2,0.03757899306343878,-0.30808432996589197,True
NUP133,3,2,0.22083357557506625,-0.21162504613130828,True
PABPC1,3,2,0.5171121141134218,0.2621102598637126,True
PAK1,3,2,-0.22122237714781492,-0.6600264555656521,True
PCDHA11,3,2,0.06297681012386036,0.07196026300397218,False
PCDHAC2,3,2,-0.2650860415759239,-0.4803813385213447,True
PER2,3,2,0.47612487380926566,0.615199687014365,False
PHF21A,3,2,0.46339885520926344,0.20280994493016946,True
PLAA,3,2,-0.020129406382041637,-0.05632888907763034,False
PHB1,3,2,0.4019454845604932,0.5689642954778886,True
PPP2R5D,3,2,0.09538188562029444,-0.2419322271741744,True
PPP3CA,3,2,-0.011051797295164553,-0.5174357198741291,True
PREX1,3,2,0.42303525260844044,0.48921834532653596,True
PRKCB,3,2,0.2006200620551611,0.3855092920122267,False
PRKD1,3,3,0.6427957893086381,0.6427957893086381,True
PRPF19,3,2,-0.10564300803958915,-0.36035083625773057,True
PRR14L,2,2,0.5380010509474809,0.5380010509474809,True
PTGS2,3,2,0.8374874833411218,1.0189570266401269,True
PTPN4,3,2,-0.0025047462759264505,-0.34905979522494146,True
QRICH1,3,2,0.033018744514012134,-0.18021878844793626,True
RAB11FIP5,3,2,0.07171447548958139,-0.2621419542708656,True
RBFOX1,3,2,-0.4105691511330513,-0.4695665470493915,True
RGS7,3,2,-0.014085711183797459,-0.42191076724476995,True
RPH3A,3,2,-0.26034159646507266,-0.5439118108855281,True
SAE1,3,2,0.32608500842389443,0.5325371173505853,False
SATB1,3,2,-0.22201517625095177,-0.2849742433662259,True
SEZ6L2,3,2,-0.2735071993985774,-0.4820854248276607,True
SIK1,2,2,0.9811114121175042,0.9811114121175042,True
SLC12A5,3,2,0.017919026513596375,-0.45088520377105556,True
SLC25A12,3,2,-0.13393152641041764,-0.6633811431832073,True
SLC45A1,3,3,-0.04806255805905598,-0.04806255805905598,False
SNAP25,3,2,-0.145858356474332,-0.45084993522007544,False
SNX14,3,2,0.1657591540444742,-0.27415390903181835,True
SPTAN1,3,2,-0.08854810282657806,-0.2673299754410561,True
SRGAP3,3,2,0.14696782491417792,-0.2433601742610847,True
SLC25A27,3,2,-0.20903003126377762,-0.4710183189153154,True
STXBP1,3,2,-0.054501764774049256,-0.4783913175200789,True
STK39,3,3,0.3322939932014292,0.3322939932014292,False
SUPT16H,3,3,0.26395950877841184,0.26395950877841184,False
SYP,3,2,-0.2033797626688537,-0.5950951509501436,True
SYT17,3,2,0.5157138534598303,0.31836742665255846,True
TBR1,3,2,-0.5721419345747147,-0.7956906570939317,True
TOP2B,3,2,0.10457010337975643,-0.23364364206766108,True
TRIM23,3,2,-0.06910662249335105,-0.4412579604584672,True
TRPC5,3,2,-0.0809099697676648,-0.19288745463515067,False
