Riker Engine — Stability Profiling Report
============================================================

Config: /home/kai001/riker-engine/disease_days/2026-05-02_crc_v0332/blind_pc/config.yaml
Runs attempted: 50
Runs successful: 50
Total time: 70764.4s (1179.4m)

Core gene counts across runs:
  Min: 5994
  Max: 6057
  Mean: 6027.4
  Variance: ±31.5 genes (0.5%)

Unique genes seen: 6192
  Iron-clad (>=90% of runs): 5748
  Borderline (50-89%):       393
  Stochastic (<50%):         51

Iron-clad genes (5748):
  ANXA7: 50/50 (100%)
  ANXA9: 50/50 (100%)
  AOC1: 50/50 (100%)
  AOC3: 50/50 (100%)
  AP1AR: 48/50 (96%)
  AP1M1: 45/50 (90%)
  AP1S1: 50/50 (100%)
  AP1S2: 50/50 (100%)
  AP1S3: 50/50 (100%)
  AP2S1: 50/50 (100%)
  AP3D1: 50/50 (100%)
  AP3M2: 50/50 (100%)
  AP4S1: 46/50 (92%)
  AP5M1: 49/50 (98%)
  APBB1IP: 50/50 (100%)
  APBB2: 50/50 (100%)
  APC: 50/50 (100%)
  APCDD1: 50/50 (100%)
  APEX1: 50/50 (100%)
  APEX2: 50/50 (100%)
  API5: 48/50 (96%)
  APLF: 50/50 (100%)
  APLP2: 50/50 (100%)
  APMAP: 50/50 (100%)
  APOBEC1: 50/50 (100%)
  APOBR: 50/50 (100%)
  APOE: 50/50 (100%)
  APOL3: 50/50 (100%)
  APOL6: 50/50 (100%)
  APOLD1: 50/50 (100%)
  APPL2: 50/50 (100%)
  APTX: 50/50 (100%)
  AQP1: 50/50 (100%)
  AQP11: 50/50 (100%)
  AQP8: 50/50 (100%)
  AQP9: 50/50 (100%)
  ARCN1: 49/50 (98%)
  AREG: 50/50 (100%)
  ARFGAP1: 50/50 (100%)
  ARFGEF2: 48/50 (96%)
  ARFIP1: 46/50 (92%)
  ARG2: 50/50 (100%)
  ARHGAP11A: 50/50 (100%)
  ARHGAP20: 50/50 (100%)
  ARHGAP21: 50/50 (100%)
  ARHGAP26: 50/50 (100%)
  ARHGAP27: 48/50 (96%)
  ARHGAP28: 45/50 (90%)
  ARHGAP30: 50/50 (100%)
  ARHGAP31: 50/50 (100%)
  ARHGAP39: 49/50 (98%)
  ARHGAP42: 50/50 (100%)
  ARHGAP5: 50/50 (100%)
  ARHGAP9: 50/50 (100%)
  ARHGDIB: 50/50 (100%)
  ARHGEF10: 50/50 (100%)
  ARHGEF12: 48/50 (96%)
  ARHGEF19: 50/50 (100%)
  ARHGEF25: 50/50 (100%)
  ARHGEF3: 50/50 (100%)
  ARHGEF37: 50/50 (100%)
  ARHGEF39: 50/50 (100%)
  ARHGEF9: 50/50 (100%)
  ARID3A: 50/50 (100%)
  ARID5B: 50/50 (100%)
  ARIH1: 50/50 (100%)
  ARK2N: 50/50 (100%)
  ARL14: 50/50 (100%)
  ARL15: 50/50 (100%)
  ARL3: 49/50 (98%)
  ARL4C: 50/50 (100%)
  ARL5B: 50/50 (100%)
  ARL6IP6: 50/50 (100%)
  ARL8A: 50/50 (100%)
  ARMC1: 50/50 (100%)
  ARMC10: 48/50 (96%)
  ARMC6: 50/50 (100%)
  ARMC8: 50/50 (100%)
  ARMCX1: 50/50 (100%)
  ARMCX3: 50/50 (100%)
  ARMCX5: 50/50 (100%)
  ARMCX6: 50/50 (100%)
  ARPC1B: 50/50 (100%)
  ARPC5: 50/50 (100%)
  ARPC5L: 50/50 (100%)
  ARPIN: 50/50 (100%)
  ARRDC1: 49/50 (98%)
  ARRDC4: 50/50 (100%)
  ARSA: 50/50 (100%)
  ARSK: 48/50 (96%)
  ARSL: 50/50 (100%)
  ARV1: 50/50 (100%)
  ASAH1: 50/50 (100%)
  ASAP1: 50/50 (100%)
  ASAP3: 50/50 (100%)
  ASB2: 50/50 (100%)
  ASB7: 45/50 (90%)
  ASB8: 50/50 (100%)
  ASB9: 50/50 (100%)
  ASCC1: 50/50 (100%)
  ASCC2: 50/50 (100%)
  ASCC3: 50/50 (100%)
  ASCL2: 50/50 (100%)
  ASF1B: 50/50 (100%)
  ASIC1: 50/50 (100%)
  ASNS: 50/50 (100%)
  ASNSD1: 50/50 (100%)
  ASPA: 50/50 (100%)
  ASPHD1: 50/50 (100%)
  ASPM: 50/50 (100%)
  ASPSCR1: 50/50 (100%)
  ASXL1: 50/50 (100%)
  ATAD2: 50/50 (100%)
  ATAD3A: 49/50 (98%)
  ATAD3B: 47/50 (94%)
  ATAD5: 50/50 (100%)
  ATE1: 50/50 (100%)
  ATF4: 50/50 (100%)
  ATG101: 50/50 (100%)
  ATG2B: 50/50 (100%)
  ATG3: 48/50 (96%)
  ATG4D: 50/50 (100%)
  ATIC: 50/50 (100%)
  ATL1: 50/50 (100%)
  ATL2: 50/50 (100%)
  ATOH1: 50/50 (100%)
  ATOSA: 50/50 (100%)
  ATOX1: 50/50 (100%)
  ATP11A: 50/50 (100%)
  ATP11B: 48/50 (96%)
  ATP13A1: 50/50 (100%)
  ATP13A2: 50/50 (100%)
  ATP13A3: 50/50 (100%)
  ATP1A2: 50/50 (100%)
  ATP23: 50/50 (100%)
  ATP2A2: 50/50 (100%)
  ATP2A3: 50/50 (100%)
  ATP2B1: 50/50 (100%)
  ATP2C1: 49/50 (98%)
  ATP5F1A: 50/50 (100%)
  ATP5F1B: 50/50 (100%)
  ATP5F1E: 50/50 (100%)
  ATP5MC3: 50/50 (100%)
  ATP5MK: 50/50 (100%)
  ATP5PB: 50/50 (100%)
  ATP5PF: 50/50 (100%)
  ATP5PO: 50/50 (100%)
  ATP6AP1: 50/50 (100%)
  ATP6V0D1: 50/50 (100%)
  ATP6V0D2: 50/50 (100%)
  ATP6V0E2: 50/50 (100%)
  ATP6V1C2: 50/50 (100%)
  ATP6V1E2: 49/50 (98%)
  ATP6V1G1: 46/50 (92%)
  ATP6V1H: 50/50 (100%)
  ATP7B: 50/50 (100%)
  ATP8A1: 50/50 (100%)
  ATP8B1: 50/50 (100%)
  ATP8B2: 50/50 (100%)
  ATP8B3: 47/50 (94%)
  ATP8B4: 50/50 (100%)
  ATP9B: 50/50 (100%)
  ATPAF2: 49/50 (98%)
  ATR: 50/50 (100%)
  ATXN7: 50/50 (100%)
  AUH: 50/50 (100%)
  AUNIP: 50/50 (100%)
  AURKA: 50/50 (100%)
  AURKB: 50/50 (100%)
  AUTS2: 50/50 (100%)
  AVL9: 45/50 (90%)
  AVPI1: 50/50 (100%)
  AXIN1: 50/50 (100%)
  AXIN2: 50/50 (100%)
  AZGP1: 49/50 (98%)
  AZI2: 50/50 (100%)
  B2M: 50/50 (100%)
  B3GALNT2: 50/50 (100%)
  B3GALT2: 50/50 (100%)
  B3GALT4: 50/50 (100%)
  B3GALT5: 50/50 (100%)
  B3GALT6: 50/50 (100%)
  B3GNT5: 50/50 (100%)
  B3GNT6: 50/50 (100%)
  B3GNT7: 50/50 (100%)
  B3GNT8: 50/50 (100%)
  B4GALNT2: 50/50 (100%)
  B4GALT4: 49/50 (98%)
  B4GALT6: 49/50 (98%)
  B9D1: 50/50 (100%)
  BACE1: 50/50 (100%)
  BACE2: 50/50 (100%)
  BAD: 50/50 (100%)
  BAG2: 50/50 (100%)
  BAG6: 50/50 (100%)
  BAIAP2L1: 50/50 (100%)
  BAIAP2L2: 50/50 (100%)
  BAIAP3: 46/50 (92%)
  BAK1: 49/50 (98%)
  BANF1: 50/50 (100%)
  BANP: 50/50 (100%)
  BARD1: 49/50 (98%)
  BAZ1B: 50/50 (100%)
  BBIP1: 50/50 (100%)
  BBLN: 50/50 (100%)
  BBOF1: 50/50 (100%)
  BBS12: 50/50 (100%)
  BCAP31: 50/50 (100%)
  BCAR3: 50/50 (100%)
  BCAS1: 50/50 (100%)
  BCCIP: 50/50 (100%)
  BCHE: 45/50 (90%)
  BCKDHB: 50/50 (100%)
  BCKDK: 50/50 (100%)
  BCL10: 46/50 (92%)
  BCL11B: 50/50 (100%)
  BCL2: 50/50 (100%)
  BCL2L1: 50/50 (100%)
  BCL2L12: 46/50 (92%)
  BCL2L2: 50/50 (100%)
  BCL6: 50/50 (100%)
  BCL7A: 49/50 (98%)
  BCO1: 50/50 (100%)
  BCOR: 50/50 (100%)
  BCR: 47/50 (94%)
  BCS1L: 50/50 (100%)
  BDH1: 50/50 (100%)
  BDH2: 50/50 (100%)
  BDKRB1: 50/50 (100%)
  BDKRB2: 50/50 (100%)
  BECN1: 48/50 (96%)
  BEND3: 50/50 (100%)
  BEST2: 50/50 (100%)
  BEST4: 50/50 (100%)
  BET1: 50/50 (100%)
  BEX1: 50/50 (100%)
  BEX4: 50/50 (100%)
  BFAR: 46/50 (92%)
  BFSP1: 50/50 (100%)
  BGN: 49/50 (98%)
  BHLHE40: 48/50 (96%)
  BHLHE41: 50/50 (100%)
  BICD1: 49/50 (98%)
  BICD2: 50/50 (100%)
  BICDL1: 50/50 (100%)
  BID: 50/50 (100%)
  BIK: 50/50 (100%)
  BIN2: 50/50 (100%)
  BIRC2: 50/50 (100%)
  BIRC3: 50/50 (100%)
  BIRC5: 50/50 (100%)
  BIVM: 47/50 (94%)
  BKGD: 50/50 (100%)
  BLACAT1: 50/50 (100%)
  BLCAP: 50/50 (100%)
  BLM: 50/50 (100%)
  BLNK: 50/50 (100%)
