cluster_id,n_iron_clad_members,members,min_modal_count,max_modal_count,mean_modal_count
195,22,CNNM4|CPED1|EFEMP1|FRMD4B|HNRNPU|HOXD4|KCTD1|LIMA1|LRRK2|MTM1|NOPCHAP1|NUDT12|PABPC1|PAG1|PAIP1|PDE8A|PER3|PJA2|RECQL|RP9|TCEAL7|TNFAIP8L1,1,2,1.7
196,10,LPIN2|NBL1|NDUFAF8|PIAS4|SMG7|SMIM12|THAP10|TRIM52|TRIP6|ZNF408,1,2,1.9
197,5,APTX|GABPB1|PALB2|PCYOX1L|SWI5,1,2,1.8
199,1,ZNF658,2,2,2.0
201,15,CDCA7|FEN1|GPSM2|PROX1|PYCR3|RAE1|RTKN|RUVBL1|SLC7A1|TPD52L1|VARS1|WDR77|XPOT|ZC3HAV1L|ZNF239,2,2,2.0
202,4,C12orf57|FLVCR2|HMOX1|MS4A6A,2,2,2.0
205,15,C3orf70|CAPN9|CKB|COL17A1|CPNE8|DENND2A|DQX1|EMP1|KCNG3|KLHL6|LPAR1|MB|PRKACB|RAB27A|RCAN2,1,2,1.4
206,18,ATP5F1B|C11orf71|CBFA2T3|CITED2|DLD|EIF2AK3|ENDOD1|ERBIN|FEZ2|PTN|PTX3|RETSAT|SCOC|SIDT1|SLC9A9|SPARCL1|TOGARAM1|YPEL5,2,2,2.0
207,19,AP3D1|ARHGEF39|ARPC5L|C1orf174|ENPP3|FAM156B|FBXL3|GPR35|MFSD11|NDUFA5|NRBF2|PHF8|PNRC2|POLE|RAD21|RALB|RUSF1|SLC35B3|TSC22D3,2,2,2.0
209,10,CCDC9B|CDK20|LIAS|METRNL|NAA38|P2RY2|SRP14|TMEM98|VTI1B|XCL1,2,2,2.0
212,14,ABI2|ALG1|AP1S1|COL4A2|CUEDC1|ICMT|IDH2|LRCH1|NFYA|PELO|SLC35B4|TUBGCP4|USP11|WDR62,2,2,2.0
213,5,GALNT5|JRK|LRCH4|MAGEE1|MMP19,2,2,2.0
216,1,CARTPT,2,2,2.0
217,8,AQP11|C2orf72|CAPN5|DSC2|RELN|SLC25A20|SLC30A4|VPS35L,2,2,2.0
218,4,BHLHE41|FAM149A|PPP1R3C|PRICKLE2,2,2,2.0
219,6,A2M|BEX1|ID2|MORF4L1|RMND5A|ZNF91,2,2,2.0
221,8,GOLGA1|GPD2|ISG20|NDEL1|NDUFA10|PKIG|PYROXD1|SENP7,1,1,1.0
222,8,CHD9|DNAJC13|DSG2|FAM114A2|PELI2|PIAS2|RIPK1|TTC19,1,2,1.1
223,7,ANXA9|BMAL2|DGAT2|FOXM1|HOMER1|LPCAT1|VSNL1,2,2,2.0
224,5,CD96|EPHA3|JAML|MEIS1|SPMIP4,2,2,2.0
226,6,ARHGAP31|ETFB|MAPDA|SLC35A4|TNFRSF14|ZCCHC2,2,2,2.0
227,4,LAIR1|LNPK|SAT2|TMEM74,2,2,2.0
229,2,GUCD1|ING4,2,2,2.0
230,7,ACSF2|ADCY6|BTK|CNNM2|KRCC1|NTAN1|SGCE,2,2,2.0
235,9,ATP5PO|FAM120AOS|MYL12A|NRIP1|OPN3|PTPRF|TBC1D10C|TRIM25|UBL3,2,2,2.0
236,1,RELA,2,2,2.0
238,3,NMT2|SNX3|WNK3,2,2,2.0
239,7,ENPP5|HUNK|KCNMB4|LRRC32|MATN3|MMP13|XAB2,2,2,2.0
240,1,USP8,1,1,1.0
