hgnc_symbol,ensembl_id,tier,cluster_id,dominant_direction,average_log2fc,neg_log10_min_p,n_datasets_sig,direction_score,n_pathways
RAB27B,ENSG00000041353,2,28,down,-0.34252761117834235,10.0,2,1.0,1
RAB3A,ENSG00000105649,2,24,down,-0.16270517568149842,5.96629326460904,2,1.0,4
RABEP1,ENSG00000029725,2,15,down,-0.3929762648958068,10.0,3,1.0,1
RABEP2,ENSG00000177548,2,10,up,0.12408683215282001,10.0,2,0.5,0
RAPGEF2,ENSG00000109756,2,7,down,-0.24316622231026422,10.0,3,0.6666666666666666,6
RHPN2,ENSG00000131941,2,25,up,0.38374241836390127,10.0,3,1.0,2
RPH3A,ENSG00000089169,2,13,down,-0.4689938434512773,10.0,3,1.0,0
RTN1,ENSG00000139970,2,7,down,-0.3119788729273866,10.0,3,0.6666666666666666,0
RUFY3,ENSG00000018189,2,31,down,-0.24092295998756022,10.0,2,1.0,0
SCARA3,ENSG00000168077,2,25,up,0.33416022691274067,10.0,3,1.0,0
SCG3,ENSG00000104112,2,28,down,-0.39571216093766026,10.0,3,1.0,3
SCRN2,ENSG00000141295,2,32,up,0.008901094150190702,4.635030605678226,3,0.6666666666666666,0
SEMA3F,ENSG00000001617,2,25,up,0.4225348920318916,10.0,3,1.0,1
SEPTIN10,ENSG00000186522,2,25,up,0.1660817086632774,10.0,3,1.0,0
SERPINI1,ENSG00000163536,2,13,down,-0.7282894682865353,10.0,4,1.0,0
SLC12A4,ENSG00000124067,2,25,up,0.23751396274827777,10.0,3,1.0,0
SLC25A11,ENSG00000108528,2,14,down,-0.13213172276819646,9.157794876949954,2,1.0,3
SLC25A19,ENSG00000125454,2,7,up,-0.03203767016023181,7.560928727230542,3,0.6666666666666666,0
SLIT2,ENSG00000145147,2,29,down,-0.42365707424130783,10.0,2,1.0,3
SLIT3,ENSG00000184347,2,29,down,-0.26736966316228494,10.0,2,1.0,2
SPCS1,ENSG00000114902,2,0,down,-0.47585749076397765,10.0,3,1.0,6
STAU1,ENSG00000124214,2,10,up,-0.032363756461471216,10.0,2,0.5,1
SV2B,ENSG00000185518,2,13,down,-0.7077368298964181,10.0,3,1.0,0
SYK,ENSG00000165025,2,28,up,0.2791520891181032,10.0,4,1.0,13
SYN1,ENSG00000008056,2,23,down,-0.37521095813759475,8.364984659673507,2,1.0,2
SYNGR4,ENSG00000105467,2,31,down,-0.0011615023245025256,10.0,2,1.0,0
SYT1,ENSG00000067715,2,24,down,-0.9104013057036865,10.0,3,1.0,5
SYT7,ENSG00000011347,2,20,up,0.04074957012995362,5.40643757526008,2,0.5,2
TAGLN3,ENSG00000144834,2,13,down,-0.7785796225564431,10.0,3,1.0,0
TARDBP,ENSG00000120948,2,10,up,-0.10743558579103485,10.0,2,0.5,2
TRIOBP,ENSG00000100106,2,25,up,0.3307060730103929,10.0,4,1.0,0
VGF,ENSG00000128564,2,13,down,-0.7199989860055007,10.0,3,1.0,2
ADAM10,ENSG00000137845,3,11,up,0.11405768919130925,3.1621505788576254,2,0.5,8
ADAMTS17,ENSG00000140470,3,33,up,0.09468094825252302,7.141836102917765,3,0.6666666666666666,1
ADAMTS20,ENSG00000173157,3,11,up,0.05892987785781907,6.404373479679741,2,0.5,1
ADARB2,ENSG00000185736,3,4,up,0.2848471006097111,10.0,3,1.0,0
ADGRL2,ENSG00000117114,3,32,down,-0.12554031678771782,10.0,2,1.0,1
AFF1,ENSG00000172493,3,17,up,0.3377137099033264,10.0,4,1.0,1
AFF3,ENSG00000144218,3,5,down,-0.2656793809164968,10.0,4,0.75,0
AGAP1,ENSG00000157985,3,12,up,0.053630735400108244,10.0,2,0.5,1
AHNAK,ENSG00000124942,3,4,up,0.5518677557054591,10.0,3,1.0,1
AKAP6,ENSG00000151320,3,16,down,-0.45805208022505867,10.0,3,1.0,0
ALCAM,ENSG00000170017,3,32,down,-0.031311701340148795,2.874081744863436,3,0.6666666666666666,2
AMPH,ENSG00000078053,3,15,down,-0.6418304406537159,10.0,3,1.0,4
ANO1,ENSG00000131620,3,32,down,0.015598867829364533,10.0,2,1.0,2
ANO3,ENSG00000134343,3,32,down,-0.48621241070664983,10.0,2,1.0,1
ANTXR1,ENSG00000169604,3,4,up,0.24071510644427677,10.0,3,1.0,0
APOC4,ENSG00000267467,3,18,up,0.0241748283744005,5.915932893512612,2,1.0,1
ARHGAP45,ENSG00000180448,3,1,up,0.34277795457767324,10.0,4,1.0,4
ARID4B,ENSG00000054267,3,32,up,0.13448313110388044,10.0,3,0.6666666666666666,3
ARIH2,ENSG00000177479,3,18,down,-0.10739072210505608,2.1193979212212897,2,1.0,1
ARMH3,ENSG00000120029,3,4,up,0.05612543848107295,10.0,3,1.0,0
ASB3,ENSG00000115239,3,3,up,0.22870890250312015,10.0,3,1.0,2
ATP6V0E2,ENSG00000171130,3,6,down,-0.22556037923515046,10.0,3,1.0,5
BANK1,ENSG00000153064,3,12,up,0.06522183900934579,10.0,2,0.5,1
BCAM,ENSG00000187244,3,32,up,0.08006693292763235,6.679698666694219,3,0.6666666666666666,0
BCAR3,ENSG00000137936,3,32,up,0.2504100110427558,10.0,2,1.0,0
BCL3,ENSG00000069399,3,32,up,0.17345269459430437,10.0,2,1.0,0
BORCS5,ENSG00000165714,3,12,up,0.22011904342913216,10.0,2,0.5,1
C12orf42,ENSG00000179088,3,32,down,-0.21625176861561912,10.0,2,1.0,0
CABLES1,ENSG00000134508,3,32,up,0.13473506323163945,10.0,2,1.0,1
CACNA2D3,ENSG00000157445,3,23,down,-0.43916321883393833,10.0,3,1.0,3
CADM2,ENSG00000175161,3,0,down,-0.26222369001969575,10.0,3,1.0,6
CAMK1D,ENSG00000183049,3,12,up,-0.10871122807931016,9.000372354046668,2,0.5,1
CASTOR3P,ENSG00000239521,3,18,up,0.24661079557324359,7.4569144483162475,2,1.0,0
CCDC91,ENSG00000123106,3,9,down,-0.24069588058606212,5.356786648521651,3,1.0,0
CD33,ENSG00000105383,3,26,up,0.042958693918917754,10.0,2,1.0,3
CDCA7,ENSG00000144354,3,11,up,0.060196532974203076,2.5654899542478073,2,0.5,0
CDH13,ENSG00000140945,3,0,down,-0.6088293987749994,10.0,3,1.0,7
CDH4,ENSG00000179242,3,0,up,0.0242404407513767,1.5628668477550711,2,1.0,7
CDKAL1,ENSG00000145996,3,12,up,-0.024481349617052,10.0,2,0.5,0
CEACAM19,ENSG00000186567,3,5,up,0.14946294981348296,10.0,4,0.75,0
CEACAM22P,ENSG00000230666,3,11,up,-0.0815474030021255,5.719494617412989,2,0.5,0
CHID1,ENSG00000177830,3,28,down,-0.18772368030670253,10.0,2,1.0,1
CHRM3,ENSG00000133019,3,16,down,-0.5609056741721186,10.0,3,1.0,6
CHST10,ENSG00000115526,3,32,down,-0.034452243410664406,2.7866528450799035,3,0.6666666666666666,0
CHST12,ENSG00000136213,3,4,up,0.2713389233341643,10.0,3,1.0,1
CKAP5,ENSG00000175216,3,5,down,-0.21912123222409557,10.0,4,0.75,2
CLASRP,ENSG00000104859,3,4,up,0.1574116469358759,9.460870523965097,3,1.0,0
CLPTM1,ENSG00000104853,3,32,up,-0.09680286213348702,4.295997277367457,3,0.6666666666666666,0
CLYBL,ENSG00000125246,3,18,down,-0.20844575465514328,3.945151528123179,2,1.0,0
CNGB1,ENSG00000070729,3,11,up,0.052600455550852826,10.0,2,0.5,1
CNN2,ENSG00000064666,3,32,up,0.16471298398460993,10.0,2,1.0,3
CNTNAP2,ENSG00000174469,3,32,down,-0.42729434972409414,10.0,2,1.0,2
COL25A1,ENSG00000188517,3,18,up,0.004942644381329275,6.4229428984801435,2,1.0,2
COL6A3,ENSG00000163359,3,32,up,0.04067382521012237,10.0,2,1.0,5
COLQ,ENSG00000206561,3,18,down,-0.15205818042676167,2.8095409660371335,2,1.0,0
CST4,ENSG00000101441,3,9,up,0.1610607112974588,3.5742002844339686,3,1.0,0
CTNNA2,ENSG00000066032,3,7,down,-0.14876857338486973,10.0,3,0.6666666666666666,1
CTNND2,ENSG00000169862,3,11,up,-0.025848915071171995,4.464583658891368,2,0.5,1
CUL3,ENSG00000036257,3,3,down,-0.4060178362530891,10.0,2,1.0,10
CYB561,ENSG00000008283,3,32,down,0.003109094121564575,9.710444318728298,2,1.0,0
CYCS,ENSG00000172115,3,8,down,-0.2502077225483499,10.0,3,1.0,10
CYRIA,ENSG00000197872,3,6,down,-0.18808177598286477,10.0,3,1.0,1
