cluster_id,gene,GSE33000_p,GSE33000_q,GSE5281_p,GSE5281_q,GSE132903_p,GSE132903_q,GSE63060_p,GSE63060_q,n_datasets_nominal,n_datasets_stringent,n_datasets_fdr
14,MDH2,0.0,1e-300,6.817037006001669e-07,2.834807467842278e-06,7.771561172376096e-15,2.1760371282653068e-13,0.0613220699458489,0.19811745674812722,3,3,3
14,PDHA1,0.0,1e-300,0.0364905149185381,0.05634564803597795,0.0006792316199251,0.0011549687464313442,0.0191892010882841,0.08395275476124293,4,2,4
14,PDHB,0.0,1e-300,7.926032408178686e-08,3.8263604729138484e-07,1.389999226830696e-13,2.538259457690836e-12,6.7051870722423246e-09,3.1290873003797515e-07,4,4,4
14,SLC25A11,6.953526643371787e-10,9.899936238020848e-10,0.000121863267761,0.00033672745039223684,0.4202516171087227,0.47320557422429904,0.6325401412715013,0.8851875375104986,2,2,2
16,AKAP6,0.0,1e-300,0.0,1e-300,2.564853440745196e-09,1.238205109325267e-08,,1.0,3,3,3
16,CHRM3,0.0,1e-300,4.354604585232735e-05,0.00012971162594310276,6.403849246439108e-07,1.8808508276254723e-06,,1.0,3,3,3
16,DACH2,0.0,1e-300,2.805220825852217e-06,1.0614349070792173e-05,4.2283954115873706e-11,3.350803911069237e-10,,1.0,3,3,3
16,FAR2,0.0,1e-300,0.0,1e-300,4.423356125826672e-09,2.0415489811507715e-08,0.677862207181211,0.9121517946501443,3,3,3
16,NECAB1,0.0,1e-300,1.5852157364548702e-08,8.785376215987646e-08,2.847388991256139e-11,2.391806752655157e-10,0.6405045174616584,0.8851875375104986,3,3,3
16,NPY,0.0,1e-300,0.0085191974643223,0.015500781980072726,1.7343426694793607e-09,8.776191821461825e-09,,1.0,3,3,3
16,PTPRN2,0.0,1e-300,0.0,1e-300,7.704947790898586e-14,1.4709445782624575e-12,0.5803257253256762,0.843379946840083,3,3,3
16,RBFOX1,0.0,1e-300,4.6963278155232047e-08,2.405436198194812e-07,3.153921568355145e-12,3.896020760909297e-11,0.933126878406758,1.0,3,3,3
16,RIMBP2,0.0,1e-300,6.128431095930864e-14,1.514082976641743e-12,1.4839462991744767e-11,1.4285118542612838e-10,0.3978645487915291,0.6604866027369258,3,3,3
16,SLC2A13,0.0,1e-300,6.300975952999721e-06,2.0837873230392777e-05,0.000650075957747,0.0011098857815192685,,1.0,3,3,3
16,STMN4,1.2212453270876722e-14,2.027363784098112e-14,3.2469890713926475e-06,1.1858568782477494e-05,8.598599037235033e-06,2.0175483774517956e-05,,1.0,3,3,3
16,TMEM132D,0.0,1e-300,0.0001890392799313,0.0005122354682009419,3.227484945966808e-11,2.657928779031489e-10,0.3004353962807289,0.5633163680263668,3,3,3
16,TMEM163,0.0,1e-300,1.9984014443252818e-13,4.196643033083092e-12,2.0872192862952943e-14,4.87017833468902e-13,0.1015097431690938,0.26822951685302593,3,3,3
24,TSPOAP1,8.696891615755931e-07,1.1450452911026618e-06,0.3084213292890159,0.37765877055797864,0.0023818493645091,0.003775006539976687,0.0020348138301187,0.013784222720158935,3,3,3
24,AP2A2,0.0,1e-300,4.1789824933857744e-09,2.7424572612844145e-08,0.6032749617175464,0.6598319893785664,0.0007475952725326,0.00563593683431325,3,3,3
24,CPLX1,1.9775195976290405e-06,2.563451330259867e-06,2.949296709520155e-06,1.0961987769897921e-05,1.6445866890535401e-10,1.1140748538749788e-09,0.0232721676605318,0.09398375401368611,4,3,4
24,NSF,0.0,1e-300,5.919709167301335e-11,5.650631477878546e-10,1.496536228273726e-11,1.4285118542612838e-10,0.2452960018355192,0.48826692308491976,3,3,3
24,RAB3A,1.0807039414473252e-06,1.4184239231496143e-06,0.019657849833234,0.032893613266766056,,1.0,0.9249055979568136,1.0,2,1,2
24,SYT1,0.0,1e-300,1.0073764045159804e-10,8.814543539514829e-10,9.969580716528979e-12,1.0736471540877361e-10,0.1819619214670589,0.39804170320919136,3,3,3
25,ABCA8,1.851852005074761e-13,2.9573301982182495e-13,0.0002858204633473,0.0007549974503513584,0.0428564744780408,0.05555468913820104,0.4306756052649581,0.6917704363819325,3,2,3
25,APOC1,0.0,1e-300,5.897551841327342e-05,0.0001685014811807812,3.613990218198637e-09,1.7054785299364357e-08,0.8252659299896818,0.9787391975538614,3,3,3
25,CELF1,0.0,1e-300,0.000825969921995,0.0020169032978947675,3.02232030513494e-07,9.198366146062861e-07,0.5469541222979628,0.8204311834469442,3,3,3
25,FRAT2,5.773159728050814e-15,9.66026727402925e-15,0.2586066959768163,0.32715304912729776,1.1146140121987005e-07,3.8059990660443433e-07,0.0003146459663887,0.0029366956862945334,3,3,3
25,GSN,0.0,1e-300,2.9269312591395646e-06,1.0961987769897921e-05,0.0044803701683482,0.006696638685787346,0.0252613332700561,0.10104533308022441,4,3,3
25,HPR,0.0,1e-300,0.0282682160710527,0.04480245565978164,7.560885384449989e-07,2.19004955963379e-06,0.2311259586758489,0.47122768273716764,3,2,3
25,HSPA2,5.018208071305708e-14,8.169175930032549e-14,1.490800349834842e-08,8.461299282846402e-08,0.0285899304932244,0.03776028555708883,,1.0,3,2,3
25,HSPB2,0.0,1e-300,0.0172728863926556,0.029370899938928552,3.112621271839089e-12,3.896020760909297e-11,0.3193406286349058,0.58370681113436,3,2,3
25,ISYNA1,0.0,1e-300,0.0086406970491901,0.01557550541055726,1.949315215910019e-07,6.202366596077333e-07,0.0790826092966847,0.2306576104486637,3,3,3
25,MSN,0.0,1e-300,4.290599902034842e-07,1.8388285294435036e-06,0.0004454164108123,0.000779478718921525,0.0393929598258071,0.14513195725297354,4,3,3
25,PHYHD1,0.0,1e-300,1.2902514612278536e-08,7.423364571447925e-08,1.3549318111927278e-08,5.3685977424617515e-08,,1.0,3,3,3
25,PLEC,0.0,1e-300,0.002721046010023,0.005921447275697721,0.8275479937513923,0.8821577598365096,0.0114648510311452,0.05471860719410209,3,2,3
25,PLXNB1,0.0,1e-300,1.1450762116282933e-08,6.773690265970185e-08,0.0,1e-300,0.5717073554658427,0.8355257755308362,3,3,3
25,RHPN2,0.0001591355721117,0.00019774242688436097,2.499445095338615e-11,2.999334114406338e-10,3.256538136264808e-05,6.907808167834442e-05,0.9821677097919492,1.0,3,3,3
25,SCARA3,0.0,1e-300,5.621552969126142e-06,1.904074392768532e-05,0.0008350580762903,0.0013973083348283906,0.6135968254308248,0.8735954802743946,3,3,3
25,SEMA3F,0.0,1e-300,0.0,1e-300,0.038669956130958,0.05043907321429305,0.6442401669715188,0.8856196459876653,3,2,3
25,SEPTIN10,0.0,1e-300,0.0071158844202106,0.013523400255603855,0.0036700059326695,0.005605099969895236,0.9935039720226512,1.0,3,3,3
25,SLC12A4,0.0,1e-300,0.001939360980663,0.004287008483570842,0.0,1e-300,0.0521226996226118,0.1765446277540077,3,3,3
25,TRIOBP,0.0,1e-300,3.1145379608688013e-09,2.0763586405792008e-08,0.0001952770539153,0.00036290425948861066,0.0031705931195513,0.019296350457362398,4,4,4
26,CR1,0.0,1e-300,0.0072890893439669,0.013728329706126,0.0094707251598473,0.013483744295375816,4.921555200265715e-06,8.987187757006957e-05,4,4,4
26,CTSH,0.0,1e-300,0.0108154408981371,0.019006214130617496,5.3424390100698105e-06,1.3121780024732868e-05,0.0780022012036174,0.22909737416447068,3,2,3
26,GRN,0.0,1e-300,0.5858446345052473,0.6614374905704404,1.2878258459636527e-09,6.7610856913091766e-09,2.2441826672547904e-06,4.488365334509581e-05,3,3,3
26,LILRB2,0.0,1e-300,0.6808145776142633,0.7367373597219015,0.0221676051707504,0.02993695875149572,0.019030268818827,0.08395275476124293,3,1,3
26,TSPAN14,0.0,1e-300,0.2865781117530757,0.359950212651687,1.8130196615118168e-06,4.881206780993353e-06,0.0859531936679438,0.24192057639140588,2,2,2
26,LAIR1,0.0,1e-300,0.4546007865737338,0.5318449313675995,0.2945817675462727,0.3389708010121494,0.0070857231720022,0.03629272844196249,2,2,2
26,PRDX6,0.0,1e-300,7.73970709744276e-09,4.7111260593129846e-08,4.867613965631179e-05,9.972672514951684e-05,0.8334709072847497,0.980808654734061,3,3,3
26,PYGL,0.0,1e-300,0.9718236960877022,0.9955267130654512,0.0047012774745665,0.007001902621694787,0.6013918922095485,0.8620634632355302,2,2,2
26,CD33,0.0,1e-300,0.6993273400915556,0.7511956082824894,0.3597690530001007,0.41060598440228885,0.0422436244813533,0.15164378018947336,2,1,1
