gene,cluster_id,max_level_survived,mean_log2fc,direction
TSPAN14,40,4,0.03076921028921605,up
HBEGF,41,4,0.029236899085162322,up
NLRC5,41,4,-0.009007318376066109,down
RAD23B,41,4,-0.03211160569653518,down
RAPSN,41,4,0.015378646454743378,up
ZCWPW1,41,4,0.014901492947511577,up
AP2A2,42,4,-0.006664062504633102,down
BANK1,42,4,-0.012590747526565046,down
DCHS2,42,4,-0.013490418549975394,down
EXOC4,42,4,-0.003293500125661588,down
GRM8,42,4,-0.016099832727649144,down
LINGO2,42,4,-0.02011436988520171,down
MAGI2,42,4,-0.008198247535020367,down
MTMR2,42,4,-0.016596013381812852,down
PFDN1,42,4,-0.014756673911976223,down
ZNF689,42,4,-0.012042896137255657,down
ADGRL2,43,4,-0.025351610012436864,down
C12orf42,43,4,-0.0217847240116892,down
CSMD1,43,4,-0.02891819746830927,down
CTNNA2,43,4,-0.029476185864440674,down
SDK1,43,4,-0.02666218975993701,down
CS,44,4,-0.14306115074104442,down
FARSA,44,4,-0.14882544714398088,down
HABP4,44,4,-0.1598279819925272,down
ICA1,44,4,-0.1610654360967429,down
KCNH1,44,4,-0.15219539152555556,down
KCNN2,44,4,-0.14922483899011377,down
NDUFS3,44,4,-0.14391738881773866,down
PDHA1,44,4,-0.13755629926422422,down
PDHB,44,4,-0.15826551239479134,down
SMARCA2,44,4,-0.16110568892118535,down
SPATS2,44,4,-0.1516451414255745,down
SPCS1,44,4,-0.14437680881103004,down
TOMM40,44,4,-0.14451868017654837,down
AKAP6,45,4,-0.19490921055192836,down
CYRIA,45,4,-0.17956761363433246,down
DHRS11,45,4,-0.1962400442379476,down
DNAJC6,45,4,-0.19725417527728042,down
GRIK2,45,4,-0.1855769677278326,down
KCNK4,45,4,-0.19826705589128948,down
KRAS,45,4,-0.18186100679026707,down
LRFN2,45,4,-0.1898765856378051,down
RUFY3,45,4,-0.184804283263282,down
ANK3,46,4,-0.17171273864944805,down
ANKH,46,4,-0.1774216663235325,down
DLG2,46,4,-0.17185919128757396,down
DNM1,46,4,-0.1747490454838542,down
ENOPH1,46,4,-0.16682687438921562,down
PSMC3,46,4,-0.1735911057033754,down
STMN4,46,4,-0.17184595259559418,down
AMPH,47,4,-0.17131117559597672,down
CADM2,47,4,-0.1423260911834712,down
DAGLA,47,4,-0.1509193373778924,down
DLAT,47,4,-0.14546987001682346,down
DOC2A,47,4,-0.1526516518586208,down
HOMER1,47,4,-0.16092158560879208,down
LRRC4C,47,4,-0.13322309856259287,down
