hgnc_symbol,ensembl_id,tier,cluster_id,n_datasets_nominal,n_datasets_stringent,n_datasets_fdr_q10,n_datasets_fdr_q05,best_threshold_survived,average_log2fc,direction,GSE33000_log2fc,GSE33000_pvalue,GSE5281_log2fc,GSE5281_pvalue,GSE132903_log2fc,GSE132903_pvalue,GSE63060_log2fc,GSE63060_pvalue,n_brain_datasets_concordant,n_brain_datasets_discordant,n_brain_datasets_nonsig,blood_concordant,eliminated,elimination_reason
CHRM3,ENSG00000133019,3,16,3,3,3,3,4,-0.5609056741721186,down,-0.2888910648598508,0.0,-0.7619079215928597,4.354604585232735e-05,-0.6319180360636452,6.403849246439108e-07,,,3.0,0.0,0.0,,False,
DACH2,ENSG00000126733,3,16,3,3,3,3,4,-0.651939698413979,down,-0.200792914930717,0.0,-1.0083959440257146,2.805220825852217e-06,-0.7466302362855055,4.2283954115873706e-11,,,3.0,0.0,0.0,False,False,
FAR2,ENSG00000064763,3,16,3,3,3,3,4,-0.519715102947568,down,-0.2367740674695685,0.0,-1.6307923985168458,0.0,-0.2269516616019355,4.423356125826672e-09,0.0156577157980777,0.677862207181211,2.0,0.0,1.0,False,False,
NECAB1,ENSG00000123119,3,16,3,3,3,3,4,-0.6040065662251767,down,-0.1216530017373125,0.0,-1.1976227315839552,1.5852157364548702e-08,-1.0924453555620666,2.847388991256139e-11,-0.0043051760173726,0.6405045174616584,3.0,0.0,0.0,False,False,
NPY,ENSG00000122585,3,16,3,3,3,3,4,-0.4948736153084385,down,-0.2556706313632422,0.0,-0.5765233626837878,0.0085191974643223,-0.6524268518782854,1.7343426694793607e-09,,,3.0,0.0,0.0,,False,
PTPRN2,ENSG00000155093,3,16,3,3,3,3,4,-0.4942079080781729,down,-0.243444985161619,0.0,-1.1967882658294204,0.0,-0.526934808364822,7.704947790898586e-14,-0.0096635729568301,0.5803257253256762,2.0,0.0,0.0,True,False,
RBFOX1,ENSG00000078328,3,16,3,3,3,3,4,-0.3976767505677219,down,-0.2485697666636285,0.0,-0.8087811909954059,4.6963278155232047e-08,-0.5325103066920898,3.153921568355145e-12,-0.0008457379197635,0.933126878406758,2.0,0.0,0.0,True,False,
RIMBP2,ENSG00000060709,3,16,3,3,3,3,4,-0.5778012090042919,down,-0.2750807743697719,0.0,-1.290279057052011,6.128431095930864e-14,-0.7518813208038067,1.4839462991744767e-11,0.006036316208422,0.3978645487915291,2.0,0.0,0.0,,False,
SLC2A13,ENSG00000151229,3,16,3,3,3,3,4,-0.3607106316918473,down,-0.203025483219587,0.0,-0.7948357883573216,6.300975952999721e-06,-0.0842706234986332,0.000650075957747,,,2.0,0.0,1.0,,False,
STMN4,ENSG00000015592,3,16,3,3,3,3,4,-0.4279005909784583,down,-0.0879022698678734,1.2212453270876722e-14,-0.830948264127148,3.2469890713926475e-06,-0.3648512389403535,8.598599037235033e-06,,,3.0,0.0,0.0,,False,
TMEM132D,ENSG00000151952,3,16,3,3,3,3,4,-0.3700057321366008,down,-0.2628949897216018,0.0,-0.6519204560048806,0.0001890392799313,-0.5727902079024823,3.2274849459668076e-11,0.0075827250825613,0.3004353962807289,3.0,0.0,0.0,,False,
TMEM163,ENSG00000152128,3,16,3,3,3,3,4,-0.3850543576450926,down,-0.2229151678053174,0.0,-1.0165246150202094,1.9984014443252818e-13,-0.2860316013837582,2.0872192862952943e-14,-0.0147460463710853,0.1015097431690938,3.0,0.0,0.0,True,False,
TSPOAP1,ENSG00000005379,1,24,3,3,3,3,4,0.0104208560706335,down,-0.0474244954597554,8.696891615755931e-07,0.1347068321208659,0.3084213292890159,-0.129586085982222,0.0023818493645091,0.0839871736036457,0.0020348138301187,3.0,0.0,0.0,False,False,
AP2A2,ENSG00000183020,2,24,3,3,3,3,4,-0.1954061597771697,down,-0.1030432365345161,0.0,-0.7107621590365856,4.1789824933857744e-09,-0.0309316341463299,0.6032749617175464,0.0631123906087527,0.0007475952725326,2.0,0.0,1.0,False,False,
CPLX1,ENSG00000168993,2,24,4,3,4,3,4,-0.4173556075889523,down,-0.0579237253316889,1.9775195976290405e-06,-0.952239567378058,2.949296709520155e-06,-0.6783986637546828,1.64458668905354e-10,0.0191395261086206,0.0232721676605318,2.0,0.0,1.0,True,False,
NSF,ENSG00000073969,2,24,3,3,3,3,4,0.0032897351679324,down,-0.2523089473169262,0.0,1.1315637623402477,5.919709167301335e-11,-0.833997881369033,1.496536228273726e-11,-0.0320979929825586,0.2452960018355192,3.0,0.0,0.0,False,False,
SYT1,ENSG00000067715,2,24,3,3,3,3,4,-0.9104013057036864,down,-0.6792310297087939,0.0,-1.552694835665516,1.0073764045159804e-10,-1.4183311130399725,9.969580716528979e-12,0.0086517555995362,0.1819619214670589,3.0,0.0,0.0,,False,
ABCA8,ENSG00000141338,2,25,3,2,3,2,4,0.2850120706844021,up,0.1712181104531539,1.851852005074761e-13,0.7691034613757086,0.0002858204633473,0.1935962880905766,0.0428564744780408,0.0061304228181695,0.4306756052649581,3.0,0.0,0.0,True,False,
APOC1,ENSG00000130208,2,25,3,3,3,3,4,0.2846094002157802,up,0.1161445583113005,0.0,0.6056903207491517,5.897551841327342e-05,0.41868219896255,3.613990218198637e-09,-0.0020794771598815,0.8252659299896818,2.0,0.0,0.0,True,False,
CELF1,ENSG00000149187,2,25,3,3,3,3,4,0.1620247855858516,up,0.0659598336055208,0.0,0.4178045938645294,0.000825969921995,0.1569652656817801,3.02232030513494e-07,0.0073694491915761,0.5469541222979628,3.0,0.0,0.0,True,False,
FRAT2,ENSG00000181274,2,25,3,3,3,3,4,0.1592284156677039,up,0.0663332826178076,5.773159728050814e-15,0.2006281875917226,0.2586066959768163,0.210497654609826,1.1146140121987005e-07,0.1594545378514595,0.0003146459663887,3.0,0.0,0.0,True,False,
GSN,ENSG00000148180,2,25,4,3,3,3,4,0.3667043221054096,up,0.2312647205064577,0.0,0.922174589115854,2.9269312591395646e-06,0.2328298822556274,0.0044803701683482,0.0805480965436995,0.0252613332700561,2.0,0.0,0.0,True,False,
HPR,ENSG00000261701,2,25,3,2,3,3,4,0.2580080232327419,up,0.2227342852435381,0.0,0.52345855451963,0.0282682160710527,0.2760225585614355,7.560885384449989e-07,0.0098166946063642,0.2311259586758489,1.0,0.0,2.0,True,False,
HSPA2,ENSG00000126803,2,25,3,2,3,3,4,0.4469010438190549,up,0.1692050371309718,5.018208071305708e-14,0.954312578663874,1.490800349834842e-08,0.2171855156623188,0.0285899304932244,,,2.0,0.0,0.0,,False,
HSPB2,ENSG00000170276,2,25,3,2,3,3,4,0.2485133432114897,up,0.1818695115033223,0.0,0.461661226121719,0.0172728863926556,0.3577534558683979,3.112621271839089e-12,-0.0072308206474804,0.3193406286349058,3.0,0.0,0.0,,False,
ISYNA1,ENSG00000105655,2,25,3,3,3,3,4,0.2562558485574652,up,0.212315463913347,0.0,0.3546573924272262,0.0086406970491901,0.4306679926911441,1.949315215910019e-07,0.0273825451981437,0.0790826092966847,3.0,0.0,0.0,True,False,
MSN,ENSG00000147065,2,25,4,3,3,3,4,0.3603411353130727,up,0.2500883538694987,0.0,0.8314956237500333,4.290599902034842e-07,0.278009589364192,0.0004454164108123,0.0817709742685668,0.0393929598258071,3.0,0.0,0.0,True,False,
PHYHD1,ENSG00000175287,2,25,3,3,3,3,4,0.56103775969829,up,0.300383714513573,0.0,1.0905730604437007,1.2902514612278536e-08,0.292156504137596,1.3549318111927278e-08,,,1.0,0.0,1.0,,False,
PLEC,ENSG00000178209,2,25,3,2,3,2,4,0.1729628121320203,up,0.1196313752619026,0.0,0.4711109806018454,0.002721046010023,0.0131713431884072,0.8275479937513923,0.0879375494759262,0.0114648510311452,3.0,0.0,0.0,True,False,
PLXNB1,ENSG00000164050,2,25,3,3,3,3,4,0.6449084536412252,up,0.2239809429942264,0.0,1.458623368382649,1.1450762116282933e-08,0.8924170540029461,0.0,0.0046124491850791,0.5717073554658427,3.0,0.0,0.0,,False,
