gene,n_runs_in_phase6,median_random_effect,std_random_effect,iqr_random_effect,median_random_p,direction,direction_concordance
ERCC2,45,0.204951,0.000000,0.000000,2.708974e-02,up,1.0000
ERCC6L,50,0.205691,0.000000,0.000000,5.483759e-03,up,1.0000
ERCC6L2,50,-0.272496,0.000000,0.000000,1.835645e-16,down,1.0000
ERCC8,49,0.480747,0.000000,0.000000,2.565125e-01,up,1.0000
ERGIC1,50,-0.332533,0.000000,0.000000,7.478129e-02,down,1.0000
ERGIC2,50,-0.053826,0.000000,0.000000,8.269056e-01,down,1.0000
ERGIC3,49,-0.160434,0.000000,0.000000,5.099540e-09,down,1.0000
ERI2,50,0.246307,0.000000,0.000000,2.167920e-01,up,1.0000
ERLEC1,48,-0.101839,0.000000,0.000000,4.819885e-08,down,1.0000
ERLIN1,50,0.196149,0.000000,0.000000,1.329687e-01,up,1.0000
ERLIN2,50,-0.423551,0.000000,0.000000,4.090364e-26,down,1.0000
ERO1A,50,0.462139,0.000000,0.000000,3.265841e-03,up,1.0000
ERO1B,50,-0.289370,0.000000,0.000000,5.614183e-03,down,1.0000
ERP44,50,0.041361,0.000000,0.000000,8.752465e-01,up,1.0000
ERRFI1,50,0.280737,0.000000,0.000000,9.483968e-06,up,1.0000
ERVMER34-1,50,0.700101,0.000000,0.000000,1.699672e-01,up,1.0000
ERVW-1,50,-0.113797,0.000000,0.000000,1.003749e-01,down,1.0000
ESPL1,50,0.992429,0.000000,0.000000,1.917946e-01,up,1.0000
ESPN,50,-0.890726,0.000000,0.000000,1.894442e-01,down,1.0000
ESPNL,50,0.067676,0.000000,0.000000,3.054544e-01,up,1.0000
ESRP1,50,0.250256,0.000000,0.000000,1.473672e-21,up,1.0000
ESRRG,50,-1.442411,0.000000,0.000000,1.098236e-01,down,1.0000
ESYT2,49,-0.483792,0.000000,0.000000,9.689951e-05,down,1.0000
ETF1,50,0.298509,0.000000,0.000000,4.530419e-01,up,1.0000
ETFB,48,-0.168845,0.000000,0.000000,5.114366e-01,down,1.0000
ETHE1,50,1.041975,0.000000,0.000000,6.310960e-02,up,1.0000
ETS1,50,0.017329,0.000000,0.000000,9.284893e-01,up,1.0000
ETV1,50,-0.980832,0.000000,0.000000,1.802918e-02,down,1.0000
ETV4,50,0.261475,0.000000,0.000000,3.118675e-07,up,1.0000
ETV5,50,-0.517032,0.000000,0.000000,1.606571e-04,down,1.0000
EVA1C,50,0.358963,0.000000,0.000000,3.818432e-02,up,1.0000
EVC2,50,-0.241886,0.000000,0.000000,3.066959e-13,down,1.0000
EVI2A,50,0.476684,0.000000,0.000000,1.009801e-01,up,1.0000
EVI5,50,-0.207643,0.000000,0.000000,6.970375e-09,down,1.0000
EVI5L,50,0.318586,0.000000,0.000000,3.280607e-02,up,1.0000
EXO1,50,1.013157,0.000000,0.000000,2.020875e-01,up,1.0000
EXOC6,50,0.102748,0.000000,0.000000,5.604256e-01,up,1.0000
EXOG,50,0.828894,0.000000,0.000000,2.535216e-01,up,1.0000
EXOSC1,50,0.190488,0.000000,0.000000,1.096826e-01,up,1.0000
EXOSC4,48,0.574164,0.000000,0.000000,1.028097e-01,up,1.0000
EXOSC6,50,-0.237965,0.000000,0.000000,1.704159e-03,down,1.0000
EXOSC7,50,-0.682927,0.000000,0.000000,1.775981e-39,down,1.0000
EXPH5,50,-0.313603,0.000000,0.000000,4.575474e-04,down,1.0000
EXT1,50,0.185039,0.000000,0.000000,6.132987e-01,up,1.0000
EXTL3,50,0.502962,0.000000,0.000000,6.883793e-02,up,1.0000
EZH1,50,-0.392522,0.000000,0.000000,1.100772e-20,down,1.0000
EZH2,50,0.560742,0.000000,0.000000,3.135614e-30,up,1.0000
F10,50,-0.665466,0.000000,0.000000,4.173820e-03,down,1.0000
F12,50,0.999811,0.000000,0.000000,2.623183e-01,up,1.0000
F2R,50,-0.615662,0.000000,0.000000,7.338500e-02,down,1.0000
F3,49,-1.006678,0.000000,0.000000,5.444319e-16,down,1.0000
F8,49,-0.217461,0.000000,0.000000,7.611230e-04,down,1.0000
FA2H,50,-1.602387,0.000000,0.000000,6.763924e-03,down,1.0000
FAAH2,50,0.804538,0.000000,0.000000,6.809267e-02,up,1.0000
FABP3,50,-0.704448,0.000000,0.000000,1.626026e-01,down,1.0000
FABP4,50,-0.875269,0.000000,0.000000,1.242765e-01,down,1.0000
