gene,cluster_id,max_level_survived,mean_log2fc,direction
NAB1,37,4,0.526829940952107,up
PIBF1,37,4,0.6330790213581036,up
POLR3F,37,4,0.603651484370662,up
SETD7,37,4,0.5702515244623788,up
SKIC2,37,4,0.332304218353402,up
TRIM37,37,4,0.536163998545379,up
UFD1,37,4,0.3199398648181238,up
USP40,37,4,0.48116707772835127,up
ZC2HC1A,37,4,0.4518777349695773,up
BLCAP,38,4,0.41553147714210564,up
DENND4B,38,4,0.38759033443906404,up
ECD,38,4,0.3617707509650909,up
GLMP,38,4,0.41412737841213243,up
MRPL24,38,4,0.3496409695771921,up
MRPL32,38,4,0.4022608581724292,up
SCCPDH,38,4,0.34743069782145586,up
TJAP1,38,4,0.4950550910444316,up
BCL7A,39,4,0.6872756462356238,up
FHL3,39,4,0.6136218906868186,up
PIGA,39,4,0.5165679364839301,up
PRMT5,39,4,0.635420076131998,up
TMEFF2,39,4,0.734611548860487,up
UBA6,39,4,0.6273141878578613,up
WASF1,39,4,0.6345379320932714,up
BEST4,40,4,-3.8034001022215436,down
CA7,40,4,-3.8228183665556656,down
CLCA1,40,4,-3.86500947719237,down
HEPACAM2,40,4,-3.8069605736929937,down
HSD17B2,40,4,-3.885203493829883,down
LGALS2,40,4,-3.786909897163355,down
SST,40,4,-3.794705131762028,down
ACAA1,41,4,-0.8885160314197957,down
CERK,41,4,-0.8193999366714101,down
CHMP2A,41,4,-0.48653738836970345,down
GPRASP1,41,4,-0.8075479423953092,down
ID3,41,4,-0.7924092538409502,down
IL10RA,41,4,-0.8183098293044001,down
KAT6B,41,4,-0.5191681750293421,down
PINK1,41,4,-0.7970661929780576,down
RIPK3,41,4,-0.7777943781132413,down
SLC31A2,41,4,-0.8193648006617597,down
BHLHE41,42,4,-1.0869938868770068,down
CYB5D2,42,4,-0.609470552174297,down
DHRS4L2,42,4,-0.6057902131678216,down
FAM149A,42,4,-1.0319298720686494,down
FLI1,42,4,-0.8502645602552098,down
HECTD3,42,4,-0.7152934931463504,down
MAPK3,42,4,-0.5772926394244973,down
PPP1R3C,42,4,-1.091895850119898,down
PRICKLE2,42,4,-0.9839438208347578,down
SPAG7,42,4,-0.412507138819653,down
STPG1,42,4,-0.8867370926516434,down
ULK3,42,4,-0.7793248689820448,down
ZSCAN18,42,4,-0.5907582095610794,down
ABHD6,43,4,-0.5775367233655867,down
CADM1,43,4,-0.8296251880477014,down
COX4I1,43,4,-0.4214067700373671,down
DAAM2,43,4,-1.057953469988067,down
MYCT1,43,4,-0.5892864788079303,down
MYOM1,43,4,-0.8751309129749526,down
SASH1,43,4,-0.5619404727036903,down
AKR7A3,44,4,-0.7111428154791367,down
CNGA1,44,4,-1.1843729838281813,down
GFER,44,4,-0.6481055070164862,down
GPR34,44,4,-1.3524623433876537,down
HRCT1,44,4,-1.578543282600376,down
IGK,44,4,-1.0663581806193225,down
IRF4,44,4,-1.37784896798283,down
LTK,44,4,-1.1822885609105558,down
MAB21L2,44,4,-1.5800202671134833,down
RASD2,44,4,-0.6689750095123034,down
RNASE1,44,4,-1.2970057207051788,down
SLC13A2,44,4,-1.530424580053036,down
SLC16A7,44,4,-1.3605100341206997,down
TMEM61,44,4,-1.5561185487935394,down
VPREB3,44,4,-1.3762191868967608,down
ZDHHC7,44,4,-0.4066408061466256,down
CRYBA2,45,4,-1.2414390116713534,down
EVI2A,45,4,-1.2479673959855428,down
FCRLA,45,4,-1.0371480600877694,down
FERMT3,45,4,-1.0604333343655332,down
FYB1,45,4,-0.9272772726930677,down
GPAT2,45,4,-1.417777752567546,down
HMGN5,45,4,-0.8326094091267748,down
KCNS3,45,4,-0.9601603933469537,down
MYOCD,45,4,-1.3586262255485444,down
NEU4,45,4,-0.9813346772998415,down
BST1,46,4,-1.4133935423504511,down
BTNL8,46,4,-3.1165478248166565,down
DES,46,4,-1.6999759202520084,down
FDCSP,46,4,-2.74830199357114,down
IGLL5,46,4,-2.2262708590991704,down
SLC17A8,46,4,-1.7380677626114462,down
SLC60A1,46,4,-2.3362455306259102,down
TIAM1,46,4,-1.3831449023039954,down
TPSB2,46,4,-1.4456985671147164,down
TPSG1,46,4,-1.523919801898516,down
FCRL5,47,4,-0.7897385099245358,down
ISL1,47,4,-0.8989771417136719,down
MC3R,47,4,-0.9268006673349412,down
OPCML,47,4,-0.6896506317876379,down
PARP15,47,4,-0.9144949076357811,down
SLC12A3,47,4,-0.7506390421006386,down
SLC7A2,47,4,-0.7165833103635589,down
ADRA1A,49,4,-0.582784983048779,down
FCAMR,49,4,-0.6624204258756837,down
GABRB2,49,4,-0.8274887183168266,down
MPZ,49,4,-0.6679008753829154,down
MCEE,50,4,-0.3714291767770135,down
NCOA1,50,4,-0.33557858578853345,down
SRSF8,50,4,-0.18175470365220706,down
ADGRB3,52,4,-1.5748126987319386,down
AKAP5,52,4,-1.5339747816368814,down
CCL21,52,4,-1.50672714826156,down
GDPD2,52,4,-1.5306088915951317,down
PAPSS2,52,4,-1.4965804447824027,down
SGK1,52,4,-1.489538802187773,down
TMEM35A,52,4,-1.525634176598647,down
ENOX2,55,4,1.1356007147022371,up
HMMR,55,4,1.2824640129164286,up
RAD51AP1,55,4,1.2504529608931414,up
RBL1,55,4,1.2961357831008786,up
RCBTB1,55,4,1.1269395454117574,up
STK31,55,4,1.3071149847565162,up
TBC1D30,55,4,1.1434997624843144,up
VCAN,55,4,1.1573154276404993,up
CGREF1,56,4,1.725217008041043,up
COL9A3,56,4,1.3875403988965331,up
DSG3,56,4,1.4398081048878837,up
EPHB1,56,4,1.5796047900357684,up
HS6ST2,56,4,2.6352076099534023,up
IRX3,56,4,1.4484131512116487,up
KIF23,56,4,1.3342683008279346,up
MAD2L1,56,4,1.3396105722761176,up
PABPC1L,56,4,1.638511728297485,up
SPC25,56,4,1.4333176742478893,up
GOLGA8N,57,4,-0.5401615587149662,down
NTN1,57,4,-0.6351050091823787,down
PLEKHH2,57,4,-0.8587645872609281,down
RAB30,57,4,-0.4684464056473964,down
SH3BGRL,57,4,-0.45745771475970837,down
SLC35A5,57,4,-0.4578428491828375,down
USP8,57,4,-0.27452814030517647,down
AGTPBP1,58,4,0.7057859793605266,up
ARHGEF10,58,4,0.9132881971436602,up
HECW2,58,4,0.6979970897096036,up
SAP30,58,4,0.8060925403817351,up
CEP131,59,4,1.260895476124351,up
INSIG1,59,4,0.9421711598806498,up
MED17,59,4,0.5453181456130706,up
MTAP,59,4,0.7032841437155769,up
PRELID3A,59,4,1.1243539788127372,up
RNF213,59,4,0.7161904148309374,up
SEC16B,59,4,0.8433861532641078,up
TPP2,59,4,0.5224589738220269,up
ZNF251,59,4,1.2475197922873376,up
ZNF567,59,4,0.654821130819578,up
BCKDK,60,4,0.35985855102871483,up
CBX1,60,4,0.3807097204600609,up
TMED9,60,4,0.5436937403553296,up
WRAP53,60,4,0.450303744189602,up
ZW10,60,4,0.49694665750091893,up
ANO6,61,4,0.8854794721935845,up
CAMSAP1,61,4,0.719781841362798,up
FAM120C,61,4,0.6982822178412897,up
KHK,61,4,0.7917752089098871,up
PRRG1,61,4,0.7402807359221443,up
ADTRP,62,4,-3.6355506664807753,down
AKAP19,62,4,-3.6684840999524404,down
AKR1B10,62,4,-3.6578662287493895,down
HMGCS2,62,4,-3.6813405224452054,down
MAMDC2,62,4,-3.6483809496838036,down
PLP1,62,4,-3.6851669295208853,down
ANPEP,63,4,-3.720320333721856,down
B3GALT5,63,4,-3.7331637306162357,down
CHGA,63,4,-3.7130245669544313,down
GBA3,63,4,-3.7396909020862847,down
SLC51A,63,4,-3.7377721285673187,down
BTBD7,64,4,-0.31594580526601695,down
LMBRD2,64,4,-0.3191912703130055,down
TRAPPC11,64,4,-0.29647835356324165,down
ADGRG1,65,4,1.5036222997365591,up
CBX4,65,4,1.4797343924456205,up
DDIT4,65,4,1.4927286861918627,up
IFI6,65,4,1.4868653446644753,up
IFITM2,65,4,1.4729022849767788,up
IFITM3,65,4,1.4896312492236425,up
IRAK2,65,4,1.4854713637313033,up
JAG2,65,4,1.487023524033295,up
JPH1,65,4,1.4797609962098217,up
MZT1,65,4,1.4860272625133408,up
ORC6,65,4,1.500868492119715,up
PFDN4,65,4,1.4797278620068035,up
SERPINE2,65,4,1.4895701086834363,up
SFRP4,65,4,1.4780346109667561,up
SNTB1,65,4,1.4882505541298612,up
TTYH3,65,4,1.5128514352203488,up
WNT5A,65,4,1.4936031142057835,up
ASCL2,66,4,3.365563897372484,up
CHI3L1,66,4,3.484860767551673,up
COL11A1,66,4,3.4943221678904757,up
CTHRC1,66,4,3.5403653423012442,up
EPHX4,66,4,3.5966365612474376,up
FABP6,66,4,3.491932349961061,up
MMP1,66,4,3.5441565144151532,up
REG1A,66,4,3.511866726488355,up
SLCO4A1,66,4,3.4390191532982324,up
SRPX2,66,4,3.338733342496143,up
TRIB3,66,4,3.410119841178645,up
C2CD4A,67,4,4.011107942421893,up
CDH3,67,4,5.642636424583355,up
CEMIP,67,4,4.982107819264207,up
CLDN1,67,4,4.048364718174798,up
