gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
ADAMTSL4,3,2,0.0844123613888063,True
ADAP2,3,3,0.003509170418386609,False
ADAR,3,2,-0.06643745546964762,True
ADARB1,3,2,-0.1269353791753656,False
ADARB2,3,2,0.07150320399897903,True
ADAT1,3,3,0.041515099565965614,False
ADAT2,3,2,-0.02899136573005229,True
ADAT3,3,2,0.048892046836503944,True
ADCK1,3,2,-0.03030804465352203,True
ADCK2,3,3,-0.11324879808291899,True
ADCY1,3,3,-0.1791552692077695,True
ADCY2,3,2,-0.1691139110666642,True
ADCY3,3,2,-0.0025322177538654456,True
ADCY4,3,2,0.09316102195233222,True
ADCY6,2,2,0.016904760603880922,True
ADCY8,3,3,0.14227971607256618,True
ADCY9,3,3,-0.01685711714863608,False
ADCYAP1,3,3,-0.6195985005544487,True
ADD1,3,3,-0.046749001507169374,False
ADD2,3,2,-0.131997537362099,True
ADD3,3,2,0.126427740119561,True
ADGRA2,3,2,0.10770498965249185,True
ADGRB1,3,3,-0.12652483232863296,True
ADGRB2,2,2,-0.10465976889775305,True
ADGRB3,3,3,-0.19420636947480555,True
ADGRD1,3,3,0.19227907116192924,True
ADGRE1,3,2,0.03976780441356507,True
ADGRF1,3,2,0.05295560358163418,False
ADGRF3,3,2,0.01097362349778581,True
ADGRG1,3,3,0.26216554545376924,True
ADGRG2,3,3,-0.016985300511565594,False
ADGRG5,3,2,0.054062160543801384,True
ADGRG6,3,3,-0.047274565814128845,False
ADGRG7,3,2,0.003974973238146069,False
ADGRL2,3,2,-0.025351610012436864,True
ADGRL3,3,2,-0.06269897839870316,True
ADGRL4,3,3,0.23726624734677823,True
ADGRV1,3,3,0.26383766893922517,True
ADH1A,3,2,0.2357732557768378,True
ADH1B,3,2,0.3086379263157903,True
ADH1C,3,3,-0.0363674021499129,False
ADH4,3,3,-0.018434676935427538,False
ADI1,3,2,0.09757839117708021,True
ADIPOR1,3,2,-0.01570623221088947,True
ADIPOR2,3,3,0.26355011033124814,True
ADIRF,3,2,0.19666748158387845,True
ADK,3,2,0.04204547692375551,True
ADM,3,2,0.25280168548797,True
ADNP,3,2,0.055972644052871244,True
ADNP2,3,2,-0.07365234811789363,True
ADO,3,2,-0.14304418334876018,True
ADORA2A,3,3,0.20484831782647642,True
ADORA2B,3,3,0.2202447654097974,True
ADORA3,3,2,0.22355515865761202,True
ADPGK,3,3,-0.05679121102743573,True
ADPRHL1,3,3,-0.01728955699437183,False
ADPRS,3,2,-0.009883939524742374,True
ADRA1A,3,2,-0.01911822754700214,True
ADRA1B,3,2,-0.10069715327889671,True
ADRA2A,3,3,-0.04704575539251454,False
ADRA2B,3,2,-0.00015303004066368844,True
ADRA2C,2,2,0.04597324528737623,True
ADRB1,3,2,-0.049640440301720344,True
ADRB2,3,3,0.18219523103354815,True
ADRM1,3,3,-0.02018315034051749,False
ADSS2,3,2,-0.1845411343594753,True
ADTRP,3,2,-0.2432690861477181,True
AEBP1,3,3,0.6249588401220576,True
AEN,3,3,-0.05539895173325038,False
AFAP1L1,3,3,0.17323300829687752,True
AFAP1L2,3,2,0.02937674342405629,False
AFDN,2,2,0.029683899923810677,True
AFF1,3,3,0.19004901281740372,True
AFF2,3,3,-0.21183103470658815,True
AFF3,3,2,0.005606192741246141,True
AFG2A,3,2,0.06592348169163688,True
AFG3L2,3,3,-0.11082258543596764,True
AFMID,3,2,-0.05760552188541379,True
